年次及び種類,Year and kind,月次,Month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／機械工業 machinery,製造工業 Manufacturing／機械工業 machinery／一般機械工業 General machinery,製造工業 Manufacturing／機械工業 machinery／電気機械工業  Electrical machinery,製造工業 Manufacturing／機械工業 machinery／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／機械工業 machinery／電子部品・デバイス工業  Electronic  parts and  devices,製造工業 Manufacturing／機械工業 machinery／輸送機械工業 Transport equipment,製造工業 Manufacturing／機械工業 machinery／精密機械工業 Precision instruments,製造工業 Manufacturing／窯業・土石製品工業 Ceramics，stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／印刷業 Printing,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products,電気・ガス事業 Electicity and Gas,産業総合（製造工業、電気・ガス事業） Industries（Manufacturing，Electicity and Gas）
品目数,Items,,,169,11,4,5,77,18,19,17,4,10,9,12,12,4,3,4,19,3,15,2,2,3,5,3,2,171
ウェイト,Weight,,,10000,158,87.9,259.4,5592.9,1174.3,949.8,847,633.4,1353.1,635.3,189.3,880.3,363.4,74.1,95.2,522.6,1138.1,638.8,251.6,20.3,154.1,29.2,183.6,113.9,10113.9
平成19,2007,,,97.9,99.3,90,65.2,98.8,99.2,106.9,93.1,91.1,98,102.9,99.3,86.9,94,97.1,83.1,106.5,107.7,98.1,97.7,86.5,128,96.5,75.2,103,97.9
平成20,2008,,,95,91.4,77.4,59.7,98,74.6,98.4,100.9,112.6,102.3,112.8,88.9,82.5,77.3,106.6,78.3,104.1,103.7,93.7,95.8,76.3,128.1,87.9,64.7,103.3,95.1
平成21,2009,,,71.9,60.7,53.3,24.2,66.4,45.2,79.4,77.9,72.8,62.6,72.5,82.2,76.1,62.4,94.3,55.5,97.9,96.9,74.9,55.2,60.5,153,61.6,40.1,81.1,72
平成22,2010,,,84.1,72.8,76,24.4,86.1,65.3,96.3,83.6,83.6,98.8,87.9,79.9,71.8,73.6,95,74.3,99.9,103.6,71.3,56.2,51.9,139.7,58.1,38.8,86.6,84.1
平成23,2011,,,79.2,68.6,78.7,23.3,81.5,70,90.7,70.8,64.8,98.9,83,85,71.1,64.1,96.1,33.4,94.6,97.3,62.1,41.1,47.3,121.6,59.5,43,95,79.3
平成23,2011,1,Jan.,79.2,73.8,77.1,20.5,83.2,62.5,92.8,68.5,73.1,112.4,85.7,87.9,64.5,65.2,96.2,36.5,94.1,97.1,65.9,49,47.9,146,60.1,48.2,92.2,79.4
平成23,2011,2,Feb.,82.9,74.3,79.1,20.2,88.2,67.1,97.5,63.7,74.5,113.5,82.8,87.3,71.5,79,95.5,29.1,93.2,96.3,68.4,50.6,47.3,124.2,55.6,49.2,71.3,82.7
平成23,2011,3,Mar.,72.5,72.1,83.2,21,68.7,67,87.6,64,69.8,53.2,82.2,78.4,54.8,66.5,95,30.7,93.3,101,65.6,36.8,48,117.8,41.6,48.4,83.1,72.6
