年次,Year,月次,Month,旅客数 Passengers／国内線 Domestic／乗客 Boarding,旅客数 Passengers／国内線 Domestic／降客 Deboarding,旅客数 Passengers／国際線 International／乗客 Boarding,旅客数 Passengers／国際線 International／降客 Deboarding,旅客数 Passengers／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
平成19,2007,,,32422730,32571274,914417,911310,3683,349495,364580,3979,1841,68083,58732,845,4792
平成20,2008,,,32162793,32216775,1169238,1185756,1025,366029,395852,4662,6074,44132,25917,710,6030
平成21,2009,,,29610742,29733450,1273864,1314205,2041,339051,382163,4010,7954,33816,14497,628,7732
平成22,2010,,,30117242,30211527,1931918,1948115,2272,339814,385621,12502,23220,33286,13706,920,9740
平成23,2011,,,27741439,27788321,3542738,3507902,17951,323939,369833,55590,67494,33640,13658,2926,12330
平成23,2011,1,Jan.,2071793,2372964,283546,301897,1916,23075,25994,4039,4234,2677,1083,263,1049
平成23,2011,2,Feb.,2235920,2244120,295485,272517,909,23836,26396,4497,4524,2420,987,226,836
平成23,2011,3,Mar.,2077974,1989332,297451,261462,240,29247,33772,5507,7762,2786,1187,286,1078
平成23,2011,4,Apr.,1825808,1787877,211051,218192,666,25839,30148,4873,5267,2956,1160,248,1072
平成23,2011,5,May,2016607,2165389,240201,261013,1295,22400,27105,4703,5007,2618,1062,224,929
平成23,2011,6,June,2105699,2089873,277081,276472,2418,25071,27318,5388,4788,3168,1166,225,909
平成23,2011,7,July,2457527,2353868,314785,308488,3873,27166,32716,5078,5230,2717,1072,206,865
平成23,2011,8,Aug.,2815528,2906761,353539,343047,3008,26181,31108,4089,6391,2462,989,206,859
平成23,2011,9,Sept.,2549932,2566696,318791,327837,745,28983,31356,4213,5592,2608,1035,211,996
平成23,2011,10,Oct.,2633231,2654491,315354,319224,756,29446,33081,4070,6048,2944,1142,229,1186
平成23,2011,11,Nov.,2472759,2475333,311753,308489,981,28967,31487,4433,5937,2898,1297,237,1205
平成23,2011,12,Dec.,2478661,2181617,323701,309264,1144,33728,39352,4700,6714,3386,1478,365,1346
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (1)　東京国際空港 (羽田) (平成19～23年) 4-23 TRANSPORTATION BY ＡIR (1) TOKYO INTERNATIONAL AIRPORT ( HANEDA ) ( 2007-2011 ),,,,,,,,,,,,,,,,
資料：国土交通省航空局空港ネットワーク部空港ネットワーク企画課 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
