地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／強姦 Rape),凶悪犯 Felonious offenses／侵入強盗 Breaking & entering／Robbery／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／強姦 Rape),凶悪犯 Felonious offenses／非侵入強盗 Robbery without breaking and entering／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強姦 Rape),粗暴犯 Violent offenses／凶器準備集合 Unlawful assembly with dangerous weapons,粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 Bodily injury resulting in death,粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 Larcenous offenses／侵入窃盗 Breaking & entering／theft,窃盗犯 Larcenous offenses／非侵入窃盗 Theft without breaking and entering,知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 Moral offenses／賭博 Gambling,風俗犯 Moral offenses／わいせつ Indecency,その他 Others／占有離脱物横領 Embezzlement of lost properties,その他 Others／公務執行妨害 Obstructing the execution of official duties,その他 Others／住居侵入 Trespassing,その他 Others／盗品等 Stolen properties， etc.,その他 Others／器物損壊等 Damage or destruction of structure， etc.,その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,186432,117,5,24,6,137,1,192,3,197,97,178, -,4165,3152,9,332,602,8042,131185,6160,192,867,1,2,35,1307,8380,676,1185,177,18547,459
1,13100,区部,All ku,,,,135406,91,4,20,4,88,1,143,1,145,72,128, -,3429,2516,6,265,443,5605,94584,4855,158,715,1, -,33,1011,6349,551,844,133,12825,386
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,443, -, -, -, -,1, -, -, -, -, -, -, -,28,13, -,3,5,17,259,24,1,8, -, -, -,2,15,7,4, -,52,4
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,1003, -, -, -, -, -, -,2, -, -, -, -, -,69,24, -,1,1,4,745,38, -,5, -, -, -,7,57,2,2, -,40,6
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,630, -, -, -, -, -, -,1, -, -, -,1, -,47,10, -,2, -,30,410,40,5,3,1, -,2,7,24,5,4, -,37,1
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,1737, -, -, -, -,3, -,1, -,2,1,1, -,65,30, -,1,7,12,1319,64,2,16, -, -,2,20,87,9,7,1,81,6
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,912,1, -, -, -,2, -, -, -,3, -, -, -,40,16, -, -,10,32,565,51,5,9, -, -, -,3,77,6,2, -,80,10
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,355,1, -, -, -, -, -, -, -, -, -, -, -,19,11, -,3,2,19,196,24,1, -, -, -, -,3,30,3,2, -,37,4
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,1224, -, -, -, -, -,1,1, -, -, -, -, -,33,19, -,3, -,31,947,49,2,9, -, -, -,7,33,6,5, -,73,5
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,416,1, -, -, -, -, -, -, -, -, -, -, -,8,5, -,1,2,13,280,29, -,2, -, -, -,8,15,4,5, -,41,2
2,13103,港区,Minato-ku,9,愛宕署,Atago P. Sta.,837,2, -, -, -,1, -,1, -,4, -,1, -,49,20, -,5,4,51,503,60,9,9, -, -, -,5,52,4,3,1,47,6
2,13103,港区,Minato-ku,10,三田署,Mita P. Sta.,694, -, -, -, -, -, -, -, -, -, -,1, -,26,18, -,1,3,19,440,43,3,1, -, -, -,4,59,3,3, -,67,3
2,13103,港区,Minato-ku,11,高輪署,Takanawa P. Sta. ,851, -, -, -, -, -, -, -, -,3,1, -, -,40,37, -,9,2,17,537,45,1,10, -, -, -,9,61,9,6, -,61,3
2,13103,港区,Minato-ku,12,麻布署,Azabu P. Sta.,1650,1, -,1, -, -, -,2, -, -, -,2, -,110,111, -,9,12,39,964,85,6,8, -, -, -,8,49,18,9,1,208,7
2,13103,港区,Minato-ku,13,赤坂署,Akasaka P. Sta.,916, -, -, -, -, -, -,2, -, -, -,1, -,42,40, -,5,2,33,556,65,2,4, -, -, -,13,33,9,9, -,94,6
2,13104,新宿区,Shinjuku-ku,14,牛込署,Ushigome P. Sta. ,1013, -, -, -, -, -, -, -, -,1,2,1, -,25,36, -, -,2,73,624,42,1,6, -, -,2,12,47,4,8,3,122,2
2,13104,新宿区,Shinjuku-ku,15,新宿署,Shinjuku P. Sta.,5500,3, -,1, -,3, -,6, -,16,4,6, -,268,204, -,20,22,200,3708,240,8,55, -, -,2,58,262,34,27,11,298,44
2,13104,新宿区,Shinjuku-ku,16,戸塚署,Totsuka P. Sta.,1524,1, -, -, -,2, -,2, -, -, -,2, -,53,34, -,3,4,93,966,64,1,12, -, -, -,13,105,4,16,1,146,2
2,13104,新宿区,Shinjuku-ku,17,四谷署,Yotsuya P. Sta.,1400,1, -, -, -,2, -,1, -,5,1,2, -,39,45, -,5,3,50,939,63,2,5, -, -, -,12,81,10,11,2,117,4
2,13105,文京区,Bunkyo-ku,18,富坂署,Tomisaka P. Sta.,730, -, -,2, -,1, -, -, -, -, -, -, -,19,15, -,1,1,49,471,36,1,6, -, -, -,7,46,1,9, -,61,4
2,13105,文京区,Bunkyo-ku,19,大塚署,Otsuka P. Sta.,330, -, -, -, -, -, -, -, -, -, -, -, -,10,7, -,1, -,21,220,11, -,1, -, -, -,4,15,2,3, -,34,1
2,13105,文京区,Bunkyo-ku,20,本富士署,Motofuji P. Sta.,767,2, -, -, -, -, -,1, -, -, -,1, -,24,25,1,2,5,55,491,41,4,1, -, -, -,3,23,7,3, -,76,2
2,13105,文京区,Bunkyo-ku,21,駒込署,Komagome P. Sta.,342, -, -, -, -, -, -, -, -, -, -, -, -,6,3, -,1, -,25,215,27, -,5, -, -, -,2,12,1,5, -,39,1
2,13106,台東区,Taito-ku,22,上野署,Ueno P. Sta.,1540,2, -, -, -,1, -,5, -,4,1, -, -,58,36, -,1,11,26,1131,53,1,21, -, -, -,8,106,5,6,1,61,2
2,13106,台東区,Taito-ku,23,下谷署,Shitaya P. Sta.　,847, -, -,1, -,1, -,1, -,2,1,3, -,20,9, -, -,1,31,577,33, -,5, -, -, -,9,72,6,7,1,66,1
2,13106,台東区,Taito-ku,24,浅草署,Asakusa P. Sta.　,1440,4, -,1, -,2, -, -, -,1,1, -, -,44,34, -,5,4,44,1030,55,4,5, -, -, -,10,71,11,2,2,106,4
2,13106,台東区,Taito-ku,25,蔵前署,Kuramae P. Sta.,643, -, -, -, -,1, -,1, -,2, -, -, -,12,11, -, -,2,12,456,35,2,9, -, -,1,5,40,3,2, -,49, - 
2,13107,墨田区,Sumida-ku,26,本所署,Honjo P. Sta.,2534,5, -, -, -,2, -,3, -,2, -,2, -,85,68, -, -,12,60,1824,90,4,11, -, -,4,16,120,8,10,2,199,7
2,13107,墨田区,Sumida-ku,27,向島署,Mukojima P. Sta. ,1413,1, -, -, -,1, -,1, -, -,2, -, -,20,29, -,1,3,74,1004,40,1,3, -, -, -,8,49,6,9,2,156,3
