年度末,End of fiscal year,ラジオ Radio broadcasting facilities／総数 Total,ラジオ Radio broadcasting facilities／総数 Total／有線放送施設数（再掲） of whitch Numbers in parentheses for music wire broadcasting facilities(relisted),ラジオ Radio broadcasting facilities／共同聴取，告知放送用 For joint listening and notice announcement,ラジオ Radio broadcasting facilities／共同聴取，告知放送用 For joint listening and notice announcement／有線放送施設数（再掲） of whitch Numbers in parentheses for music wire broadcasting facilities(relisted),ラジオ Radio broadcasting facilities／告知放送用 For notice announcement,ラジオ Radio broadcasting facilities／告知放送用 For notice announcement／有線放送施設数（再掲） of whitch Numbers in parentheses for music wire broadcasting facilities(relisted),ラジオ Radio broadcasting facilities／街頭放送用 For street announcement ,ラジオ Radio broadcasting facilities／共同聴取用 For joint listening ,テレビTV broadcasting facilities／総数 Total,テレビTV broadcasting facilities／登録設備 Registered,テレビTV broadcasting facilities／届出設備 Filed
平成19,2007,1054,61,17,10,76,51,316,645,6547,223,6324
平成20,2008,1052,61,17,10,76,51,316,643,6561,216,6345
平成21,2009,1048,64,20,12,86,52,192,750,6602,213,6389
平成22,2010,975,49,12,9,69,40,156,738,6583,209,6374
平成23,2011,-,-,-,-,-,-,-,-,5473,115,5358
,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,
5-4  有線放送施設数 (平成19～23年度末) 5-4 CABLE BROADCASTING FACILITIES ( End of Fiscal Years 2007-2011 ),,,,,,,,,,,,
注) 平成23年６月の放送法改正により有線ラジオの取り扱いが変わり、施設数の把握はできない。,,,,,,,,,,,,
Note: Number of cable radio facilities is unknown due to revision of the Broadcast Act in June 2011,,,,,,,,,,,,
資料：総務省情報流通行政局地域放送推進室 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,
