年次,Year,男女,Gender,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees,1～4人 1-4 Persons／事業所数 Number of establishments,1～4人 1-4 Persons／従業者数 Number of employees,5～9人 5-9 Persons／事業所数 Number of establishments,5～9人 5-9 Persons／従業者数 Number of employees,10～19人 10-19 Persons／事業所数 Number of establishments,10～19人 10-19 Persons／従業者数 Number of employees,20～29人 20-29 Persons／事業所数 Number of establishments,20～29人 20-29 Persons／従業者数 Number of employees,30～49人 30-49 Persons／事業所数 Number of establishments,30～49人 30-49 Persons／従業者数 Number of employees,50～99人 50-99 Persons／事業所数 Number of establishments,50～99人 50-99 Persons／従業者数 Number of employees,100～299人 100-299 Persons／事業所数 Number of establishments,100～299人 100-299 Persons／従業者数 Number of employees,300～499人 300-499 Persons／事業所数 Number of establishments,300～499人 300-499 Persons／従業者数 Number of employees ,500人以上 500 Persons and over／事業所数 Number of establishments,500人以上 500 Persons and over／従業者数 Number of employees,派遣・下請従業者のみの事業所数 Only dispatch／subcontract worker's number of places of business
昭和61,1986,総数,Total,797483,7956726,493978,1145693,162276,1044282,74453,989526,24723,588186,20567,774477,12661,857458,6802,1097503,1067,399222,956,1060379,…
平成3,1991,総数,Total,777470,8777116,451092,1052373,166908,1078738,82904,1107563,29306,696936,22949,862864,14303,969883,7645,1232518,1218,460050,1145,1316191,…
平成8,1996,総数,Total,771655,8982413,449726,1028444,161437,1045227,82490,1104598,29872,710489,23293,875252,14331,973825,7942,1283371,1342,508854,1222,1452353,…
平成13,2001,総数,Total,724769,8608794,417745,954023,150051,972509,78771,1057368,29039,691515,22563,848769,13839,940990,8107,1309198,1383,520303,1186,1314119,2085
平成18,2006,総数,Total,690556,8704870,388436,872658,142192,925477,80069,1077987,29343,698080,22900,862105,14191,971309,8147,1314004,1371,518855,1254,1464395,2653
平成18,2006,男,Male,-,5381923,-,480668,-,526150,-,657421,-,424975,-,510960,-,614784,-,870209,-,347260,-,949496,-
平成18,2006,女,Female,-,3322947,-,391990,-,399327,-,420566,-,273105,-,351145,-,356525,-,443795,-,171595,-,514899,-
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　8 事業所 8  ESTABLISHMENTS,,,,,,,,,,,,,,,,,,,,,,,,
8-6  従業者規模別事業所数及び男女別従業者数 (昭和61～平成18年) 8-6  ESTABLISHMENTS AND WORKERS BY ESTABLISHMENT EMPLOYMENT SIZE( 1986-2006 ) ,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部経済統計課 「事業所 ・企業統計調査報告」 Source: Bureau of General Affairs， T.M.G.,,,,,,,,,,,,,,,,,,,,,,,,
