年次,Year,地域階層,地域コード,地域,District,項番 Item number,消防署,Fire station,出場件数 Number of dispatches,出場件数 Number of dispatches／うち従事 of which engaged,救助人員 Persons rescued／総数 Total,救助人員 Persons rescued／重症 Severe injury,救助人員 Persons rescued／中等症 Moderate injury,救助人員 Persons rescued／軽症 Minor injury,救助人員 Persons rescued／無症 No injury,救助人員 Persons rescued／死亡 Death,誘導人員 Persons guided to safety,出場車両数 Vehicles deployed／総数 Total,出場車両数 Vehicles deployed／ポンプ車 Pumpers,出場車両数 Vehicles deployed／救助車 Rescue trucks,出場車両数 Vehicles deployed／化学車 Foam pumpers,出場車両数 Vehicles deployed／はしご車 Aerial ladders,出場車両数 Vehicles deployed／救急車 Ambulances,出場車両数 Vehicles deployed／指揮隊車 Command vans,出場車両数 Vehicles deployed／その他 Others 1),従事台数 Vehicles engaged,出場人員 Persons deployed,従事人員 Persons engaged
平成21,2009,0,13000,総数,Tokyo-to,,,,22096,17836,19880,3269,6207,8972,824,608,424,69175,24333,6372,3495,634,24244,7645,2452,45573,278203,177051
平成22,2010,0,13000,総数,Tokyo-to,,,,23721,19258,21142,3620,6799,9136,962,625,180,72537,25321,6454,3668,694,25842,8294,2264,48975,291863,191089
平成23,2011,0,13000,総数,Tokyo-to,,,,23579,19262,20793,3727,6850,8500,980,736,171,70664,24711,6258,3645,576,25320,8135,2019,48196,283810,187926
平成23,2011,1,13100,区部,All ku,,,,16536,13392,14430,2657,4852,5702,678,541,130,50740,17523,5286,2446,520,17818,5880,1267,33922,205347,132855
平成23,2011,2,13101,千代田区,Chiyoda-ku,1,丸の内署,Marunouchi F. Sta.,67,45,56,7,16,32,-,1,-,246,96,32,2,-,82,28,6,125,1025,486
平成23,2011,2,13101,千代田区,Chiyoda-ku,2,麹町署,Kojimachi F. Sta．,144,118,181,23,43,99,15,1,-,499,199,37,-,15,176,34,38,359,2002,1416
平成23,2011,2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda F. Sta.,142,118,132,28,28,66,9,1,-,452,184,39,-,7,154,42,26,330,1903,1380
平成23,2011,2,13102,中央区,Chuo-ku,4,京橋署,Kyobashi F. Sta.,151,120,126,30,47,39,7,3,-,448,126,47,50,1,166,52,6,298,1894,1233
平成23,2011,2,13102,中央区,Chuo-ku,5,日本橋署,Nihonbashi F. Sta.,201,164,224,25,50,135,10,4,1,595,249,36,11,3,233,46,17,442,2330,1694
平成23,2011,2,13102,中央区,Chuo-ku,6,臨港署,Rinko F. Sta.,100,73,54,15,17,16,1,5,-,591,99,66,64,6,106,92,158,319,2761,1462
平成23,2011,2,13103,港区,Minato-ku,7,芝署,Shiba F. Sta.,297,248,279,30,86,154,8,1,-,878,329,80,41,2,333,79,14,618,3662,2509
平成23,2011,2,13103,港区,Minato-ku,8,麻布署,Azabu F. Sta.,168,116,132,14,29,82,6,1,3,519,207,55,-,4,187,58,8,276,2114,1083
平成23,2011,2,13103,港区,Minato-ku,9,赤坂署,Akasaka F. Sta.,156,130,145,17,43,79,3,3,-,458,176,40,-,22,169,46,5,312,1837,1220
平成23,2011,2,13103,港区,Minato-ku,10,高輪署,Takanawa F. Sta.,127,91,106,15,28,49,9,5,1,430,106,49,49,28,139,57,2,239,1779,972
平成23,2011,2,13109,品川区,Shinagawa-ku,11,品川署,Shinagawa F. Sta.,302,244,264,39,84,121,14,6,1,922,331,104,42,3,328,104,10,582,3788,2303
平成23,2011,2,13109,品川区,Shinagawa-ku,12,大井署,Oi F. Sta.,298,260,296,46,100,130,15,5,-,931,358,87,12,13,334,114,13,703,3843,2786
平成23,2011,2,13109,品川区,Shinagawa-ku,13,荏原署,Ebara F. Sta.,164,147,149,32,70,40,5,2,-,482,204,45,4,5,169,45,10,362,2008,1467
平成23,2011,2,13111,大田区,Ota-ku,14,大森署,Omori F. Sta.,460,384,385,63,163,128,14,17,-,1295,422,115,116,8,481,139,14,899,5157,3381
平成23,2011,2,13111,大田区,Ota-ku,15,田園調布署,Denencyofu F. Sta.,287,240,243,59,113,43,16,12,2,856,274,81,94,1,295,94,17,562,3374,2106
平成23,2011,2,13111,大田区,Ota-ku,16,蒲田署,Kamata F. Sta.,302,253,273,50,88,115,10,10,-,962,368,96,9,3,336,110,40,702,3936,2756
平成23,2011,2,13111,大田区,Ota-ku,17,矢口署,Yaguchi F. Sta.,148,122,118,27,50,28,7,6,-,415,126,38,42,2,156,48,3,290,1646,1102
平成23,2011,2,13110,目黒区,Meguro-ku,18,目黒署,Meguro F. Sta.,365,305,312,64,109,103,19,17,-,1110,433,110,20,11,396,116,24,780,4505,3100
