年次,Year,原因,Cause,区分,Classification,総数 Total／幼児 Toddler,総数 Total／小学生 Elementary school,総数 Total／中学生 Junior high school,死亡 Killed／幼児 Toddler,死亡 Killed／小学生 Elementary school,死亡 Killed／中学生 Junior high school,負傷 Injured／幼児 Toddler,負傷 Injured／小学生 Elementary school,負傷 Injured／中学生 Junior high school,
平成19,2007,総数,Total,,,1284,3054,1047,3,5, -,1281,3049,1047,
平成20,2008,総数,Total,,,1135,2846,983,2,4,2,1133,2842,981,
平成21,2009,総数,Total,,,950,2472,871,1,3,2,949,2469,869,
平成22,2010,総数,Total,,,965,2290,778,1,3, -,964,2287,778,
平成23,2011,総数,Total,,,850,2272,821, -,1, -,850,2271,821,
平成23,2011,歩行者の場合,Pedestrians,,,256,794,108, -,1, -,256,793,108,
平成23,2011,歩行者の場合,Pedestrians,信号無視,Ignoring traffic light signals,7,38,5, -, -, -,7,38,5,
平成23,2011,歩行者の場合,Pedestrians,通行区分違反,Lane violation ,1,2, -, -, -, -,1,2, -,
平成23,2011,歩行者の場合,Pedestrians,横断歩道外横断,Crossing outside pedestrian crossings ,4,50,5, -, -, -,4,50,5,
平成23,2011,歩行者の場合,Pedestrians,斜め横断,Diagonal crossing,5,14,3, -, -, -,5,14,3,
平成23,2011,歩行者の場合,Pedestrians,駐停車車両の直前 ・後横断,Crossing immediately in front of or behind a parked vehicle,3,16,3, -, -, -,3,16,3,
平成23,2011,歩行者の場合,Pedestrians,走行車両の直前・後横断,Crossing immediately in front of or behind a vehicle in motion,6,20,2, -, -, -,6,20,2,
平成23,2011,歩行者の場合,Pedestrians,横断禁止場所横断,Crossing at prohibited places, -,10,3, -, -, -, -,10,3,
平成23,2011,歩行者の場合,Pedestrians,幼児のひとり歩き,Toddlers walking alone,32, -, -, -, -, -,32, -, -,
平成23,2011,歩行者の場合,Pedestrians,踏切り不注意,Lack of caution at railroad crossings, -, -, -, -, -, -, -, -, -,
平成23,2011,歩行者の場合,Pedestrians,路上遊戯,Playing on road,6,29,1, -, -, -,6,29,1,
平成23,2011,歩行者の場合,Pedestrians,飛び出し,Rushing out into the street,73,254,14, -, -, -,73,254,14,
平成23,2011,歩行者の場合,Pedestrians,その他の違反,Other violations,7,31,8, -, -, -,7,31,8,
平成23,2011,歩行者の場合,Pedestrians,調査不能,Cause undetermined,1,2, -, -, -, -,1,2, -,
平成23,2011,歩行者の場合,Pedestrians,違反なし,No violation,96,314,58, -,1, -,96,313,58,
平成23,2011,歩行者の場合,Pedestrians,第3当事者以下,Third party involvement,15,14,6, -, -, -,15,14,6,
平成23,2011,自転車乗車の場合,Riding on bicycles,,,342,1249,637, -, -, -,342,1249,637,
平成23,2011,自転車乗車の場合,Riding on bicycles,信号無視,Ignoring traffic light signals, -,39,48, -, -, -, -,39,48,
平成23,2011,自転車乗車の場合,Riding on bicycles,通行区分違反,Lane violation ,1,4,3, -, -, -,1,4,3,
平成23,2011,自転車乗車の場合,Riding on bicycles,横断・転回禁止,Violation of rules prohibiting crossing or making U-turns, -,1, -, -, -, -, -,1, -,
平成23,2011,自転車乗車の場合,Riding on bicycles,右・左折違反,Right or left turns violation, -, -, -, -, -, -, -, -, -,
平成23,2011,自転車乗車の場合,Riding on bicycles,交差点安全進行義務違反,Violation of duty to use caution at intersections,3,114,62, -, -, -,3,114,62,
平成23,2011,自転車乗車の場合,Riding on bicycles,徐行違反,Slow down violation, -,2,1, -, -, -, -,2,1,
平成23,2011,自転車乗車の場合,Riding on bicycles,一時不停止,Stop sign violation,5,162,83, -, -, -,5,162,83,
平成23,2011,自転車乗車の場合,Riding on bicycles,安全運転義務違反　,Violation of safe driving obligations,15,385,177, -, -, -,15,385,177,
平成23,2011,自転車乗車の場合,Riding on bicycles,その他の違反,Other violations,3,19,9, -, -, -,3,19,9,
平成23,2011,自転車乗車の場合,Riding on bicycles,調査不能,Cause undetermined, -, -,1, -, -, -, -, -,1,
平成23,2011,自転車乗車の場合,Riding on bicycles,違反なし,No violation,30,479,232, -, -, -,30,479,232,
平成23,2011,自転車乗車の場合,Riding on bicycles,第3当事者以下　,Third party involvement,285,44,21, -, -, -,285,44,21,
平成23,2011,その他,Others,,,252,229,76, -, -, -,252,229,76,
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,　
20-15  子供の交通事故死傷者数 （平成19～23年） 20-15 CHILDREN KILLED OR INJURED IN TRAFFIC ACCIDENTS ( 2007-2011 ),,,,,,,,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,
