年次,Year,産業 (大分類) Industry (Division),産業 (大分類),Industry (Division),総数 Total 1),300万円未満 Under 3 mil. yen,300万円～500万円未満 3mil. yen - under 5mil. yen,500万円～1000万円未満 5mil. yen - under 10mil. yen,1000万円～3000万円未満 10mil. yen - under 30mil. yen,3000万円～5000万円未満30mil. yen - under 50mil. yen,5000万円～1億円未満 50mil. yen - under 100mil. yen,1億円～3億円未満 100mil. yen - under 300mil. yen,3億円～10億円未満300mil. yen - under 1 bil.yen,10億円～50億円未満 1 bil. yen - under 5 bil.yen,50億円以上 5 bil. yen or more
平成21,2009,,東京都,Tokyo-to,280603,8360,96322,24266,116398,12378,9928,5221,3048,1668,1131
平成21,2009,A,農業，林業,Agriculture and forestry  ,390,12,185,46,117,11,12,3,2,1,-
平成21,2009,B,漁業,Fisheries,13,-,3,2,6,1,1,-,-,-,-
平成21,2009,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,62,-,4,2,22,4,5,4,8,6,7
平成21,2009,D,建設業,Construction,33359,653,12547,3443,13768,1438,892,289,123,79,58
平成21,2009,E,製造業,Manufacturing,39900,606,13645,3609,16719,1855,1410,743,455,408,375
平成21,2009,F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,107,-,6,3,15,11,8,21,26,8,9
平成21,2009,G,情報通信業,Information and communications,19063,692,4181,986,9179,1230,1125,789,510,213,90
平成21,2009,H,運輸業，郵便業,Transport and postal activities,5775,50,1201,570,2753,396,362,177,118,72,45
平成21,2009,I,卸売業，小売業,Wholesale and retail trade,71249,2198,23336,6087,30704,3219,2590,1249,815,345,162
平成21,2009,J,金融業，保険業,Finance and insurance,4594,159,1394,259,1489,188,259,226,252,173,176
平成21,2009,K,不動産業，物品賃貸業,Real estate and goods rental and leasing,33912,941,11471,2811,14848,1506,1178,587,228,141,70
平成21,2009,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,22650,851,7380,1497,10551,865,659,406,209,85,76
平成21,2009,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,17791,925,8932,2186,4316,388,261,153,62,50,18
平成21,2009,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,11614,477,4925,1234,3742,385,395,153,67,43,13
平成21,2009,O,教育，学習支援業,Education， learning support,3013,166,1149,226,1122,95,99,48,23,2,-
平成21,2009,P,医療，福祉,Medical， health care and welfare,3088,245,1567,333,715,59,58,44,20,6,3
平成21,2009,Q,複合サービス事業,Compound services,10,1,3,-,3,1,-,1,-,-,1
平成21,2009,R,サービス業 (他に分類されないもの),Services， n.e.c.,14013,384,4393,972,6329,726,614,328,130,36,28
平成21,2009,,全国,Japan,1805545,75921,700016,232192,642401,70767,43478,14796,7834,3689,2117
平成21,2009,A,農業，林業,Agriculture and forestry  ,15818,935,8466,2926,2738,351,263,60,25,7,2
平成21,2009,B,漁業,Fisheries,2771,106,1254,637,617,82,54,13,3,1,-
平成21,2009,C,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,1801,33,423,256,827,129,85,17,11,9,7
平成21,2009,D,建設業,Construction,331359,8743,127370,53832,116682,16901,5868,999,350,157,98
平成21,2009,E,製造業,Manufacturing,277066,6651,89946,33512,114383,14193,10168,3443,2207,1180,799
平成21,2009,F,電気・ガス・熱供給・水道業,Electricity， gas， heat supply and water,813,10,99,37,231,54,92,97,88,45,34
平成21,2009,G,情報通信業,Information and communications,47969,3570,14123,3272,19537,2421,2102,1343,881,371,119
平成21,2009,H,運輸業，郵便業,Transport and postal activities,56695,1087,12719,8924,26365,3522,2251,762,375,191,105
平成21,2009,I,卸売業，小売業,Wholesale and retail trade,473350,20310,182261,60683,173945,15990,10075,3266,1707,682,293
平成21,2009,J,金融業，保険業,Finance and insurance,25952,2068,12505,1973,6494,648,684,469,366,232,305
平成21,2009,K,不動産業，物品賃貸業,Real estate and goods rental and leasing,182363,7541,74364,20832,65752,6172,4400,1556,639,313,112
平成21,2009,L,学術研究，専門・技術サービス業,Scientific research， professional and technical services,94987,6099,39706,8825,34992,2330,1566,700,330,154,120
平成21,2009,M,宿泊業，飲食サービス業,Accommodations， eating and drinking services,97583,6286,48472,13882,21756,2277,1623,573,236,141,42
平成21,2009,N,生活関連サービス業，娯楽業,Living-related and personal services and amusement services,64265,3469,28334,8224,17610,2071,1805,630,261,97,33
平成21,2009,O,教育，学習支援業,Education， learning support,15942,1245,6706,1590,4483,471,346,132,49,18,3
平成21,2009,P,医療，福祉,Medical， health care and welfare,24498,3088,13797,2541,4086,375,280,95,50,12,5
平成21,2009,Q,複合サービス事業,Compound services,76,7,35,8,17,3,2,1,-,-,2
平成21,2009,R,サービス業 (他に分類されないもの),Services， n.e.c.,92237,4673,39436,10238,31886,2777,1814,640,256,79,38
,,,,,,,,,,,,,,,
