地域階層,国名,Country,マーク Mark,総数 Total／輸出 Exports,総数 Total／輸入 Imports,海上 By sea／輸出 Exports,海上 By sea／輸入 Imports,航空 By air／輸出 Exports,航空 By air／輸入 Imports
0,総額,Total,,14063003,17676833,4709608,8139091,9353395,9537742
1,アジア,Asia,,7994113,9618141,2658117,5479345,5335995,4138796
2,大韓民国,Republic of Korea,,980142,796814,257652,434864,722491,361949
2,中華人民共和国,China,,2316634,5400808,956255,3428182,1360379,1972626
2,台湾,Taiwan,,1022356,816905,250472,285415,771884,531489
2,香港,Hong Kong,,1379902,67344,346445,23254,1033457,44090
2,ベトナム,Vietnam,※,130408,258859,68471,192614,61936,66245
2,タイ,Thailand,,620509,631216,225878,379449,394630,251767
2,シンガポール,Singapore,,590552,376786,129107,92342,461445,284444
2,マレーシア,Malaysia,,357775,600379,126753,239080,231022,361299
2,フィリピン,Philippines,※,228614,268893,72377,135059,156237,133834
2,インドネシア,Indonesia,※,196498,231722,146570,178378,49929,53343
2,カンボジア,Cambodia,※,308,12094,308,12094,-,-
2,ミャンマー,Myanmar,※,608,14565,608,14565,-,-
2,インド,India,※,147262,101548,63342,38006,83920,63542
2,パキスタン,Pakistan,※,8692,1563,8692,1563,-,-
2,バングラデシュ,Bangladesh,※,4968,21764,1642,16750,3326,5014
1,中東,Middle East,,158024,67165,64643,17094,93381,50071
2,イラン,Iran,※,4487,846,-,-,4487,846
2,サウジアラビア,Saudi Arabia,※,17648,2854,6845,2781,10803,73
2,カタール,Qatar,※,8201,21,-,-,8201,21
2,イスラエル,Israel,※,78618,57308,31207,10938,47411,46370
2,アラブ首長国連邦,United Arab Emirates,※,36424,2930,19082,628,17342,2302
1,西欧,Western Europe,,2725913,3572124,718786,1085873,2007128,2486251
2,アイスランド,Iceland,※,110,7708,110,7708,-,-
2,ノルウェー,Norway,※,8245,50408,3093,31797,5152,18611
2,スウェーデン,Sweden,※,34643,78514,11177,30626,23466,47889
2,デンマーク,Denmark,※,13902,113288,6819,56620,7083,56668
2,英国,Britain,,476474,263311,103051,89051,373423,174260
2,アイルランド,Ireland,,15654,237463,4441,19427,11212,218036
2,オランダ,Netherlands,,475176,238774,229050,121530,246126,117244
2,ベルギー,Belgium,※,98224,118351,49945,24864,48280,93488
2,ルクセンブルク,Luxembourg,※,9811,910,9811,910,-,-
2,フランス,France,,169679,548294,71909,169249,97770,379045
2,ドイツ,Germany,※,640973,761842,150183,268082,490790,493760
2,スイス,Swizerland,※,625077,406114,14132,67320,610945,338794
2,ポルトガル,Portugal,※,8390,14254,3830,4274,4560,9980
2,スペイン,Spain,※,31499,159368,13354,38605,18145,120763
2,イタリア,Italy,※,66350,434610,29405,96541,36945,338070
2,フィンランド,Finland,※,11081,39052,4442,21050,6639,18002
