"年月[西暦]","調査項目","設問","事業","選択肢","回答数[人]","構成比[%]"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","参加・利用したことがある","18","4.2"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","内容は知っている","25","5.8"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","名前は知っている","59","13.7"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","知らない","325","75.6"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","無回答","3","0.7"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","参加・利用したことがある","6","1.4"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","内容は知っている","20","4.7"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","名前は知っている","48","11.2"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","知らない","348","80.9"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","無回答","8","1.9"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","ごみ分別アプリ","参加・利用したことがある","20","4.7"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","ごみ分別アプリ","内容は知っている","25","5.8"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","ごみ分別アプリ","名前は知っている","49","11.4"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","ごみ分別アプリ","知らない","331","77.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","ごみ分別アプリ","無回答","5","1.2"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","港区食べきり協力店","参加・利用したことがある","7","1.6"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","港区食べきり協力店","内容は知っている","27","6.3"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","港区食べきり協力店","名前は知っている","38","8.8"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","港区食べきり協力店","知らない","352","81.9"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","港区食べきり協力店","無回答","6","1.4"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなとエコショップ認定店","参加・利用したことがある","9","2.1"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなとエコショップ認定店","内容は知っている","29","6.7"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなとエコショップ認定店","名前は知っている","56","13.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなとエコショップ認定店","知らない","330","76.7"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなとエコショップ認定店","無回答","6","1.4"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","家具のリサイクル展","参加・利用したことがある","31","7.2"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","家具のリサイクル展","内容は知っている","106","24.7"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","家具のリサイクル展","名前は知っている","66","15.3"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","家具のリサイクル展","知らない","223","51.9"
