"年度","みたて 定員[人]","みたて 入所者数[人]"
"2015","8","6"
"2016","8","6"
"2017","8","8"
"2018","8","8"
"2019","8","7"

"令和元年度港区行政資料集　民間高齢者グループリビング利用状況","Ver201904",
