地域階層,地域コード,地域,人口総数（日本人＋外国人）,前月人口総数との増減,人口／日本人／総数,人口／日本人／男,人口／日本人／女,人口／外国人／総数,人口／外国人／男,人口／外国人／女,世帯数／総世帯数,世帯数／日本人のみの世帯数,世帯数／外国人のみの世帯数,世帯数／日本人と外国人の複数国籍世帯数
0,13000,総数,13906797,4762,13277146,6514946,6762200,629651,313307,316344,7552278,7077753,379601,94924
1,13100,区部,9635719,5410,9107753,4460805,4646948,527966,263905,264061,5419089,5022343,323533,73213
1,13200,市部,4192193,-629,4092019,2014936,2077083,100174,48623,51551,2092383,2015869,55216,21298
2,13300,郡部,54998,-5,53803,26977,26826,1195,630,565,26535,25571,661,303
2,13350,島部,23887,-14,23571,12228,11343,316,149,167,14271,13970,191,110
1,13100,区部,9635719,5410,9107753,4460805,4646948,527966,263905,264061,5419089,5022343,323533,73213
4,13101,千代田区,68648,-9,64851,32324,32527,3797,2028,1769,39195,36225,2454,516
4,13102,中央区,175982,319,165826,78657,87169,10156,5029,5127,100348,92950,5796,1602
4,13103,港区,265982,228,244902,114350,130552,21080,10819,10261,152493,137616,11495,3382
4,13104,新宿区,348809,825,305972,152814,153158,42837,22367,20470,226791,192420,31088,3283
4,13105,文京区,231685,357,218170,103564,114606,13515,6664,6851,128170,117293,9386,1491
4,13106,台東区,211483,332,193662,98610,95052,17821,9038,8783,132692,118282,12412,1998
4,13107,墨田区,283931,123,268701,132851,135850,15230,7010,8220,166436,154344,9628,2464
4,13108,江東区,538571,175,502375,246802,255573,36196,17622,18574,289285,265332,19073,4880
4,13109,品川区,407538,294,392452,191987,200465,15086,7554,7532,233098,221703,8674,2721
4,13110,目黒区,279797,46,269404,126471,142933,10393,5465,4928,159774,151421,6242,2111
4,13111,大田区,734114,234,706570,351495,355075,27544,13424,14120,409957,389546,15459,4952
4,13112,世田谷区,918568,322,893634,421768,471866,24934,12921,12013,496352,476216,14827,5309
4,13113,渋谷区,230758,183,218992,104245,114747,11766,6436,5330,142478,132952,7546,1980
4,13114,中野区,336878,265,316611,159466,157145,20267,10631,9636,212811,195946,14867,1998
4,13115,杉並区,572981,102,554384,265979,288405,18597,9390,9207,329455,314161,12574,2720
4,13116,豊島区,291421,363,259792,129832,129960,31629,16285,15344,184499,157969,24309,2221
4,13117,北区,357330,303,330779,164069,166710,26551,13369,13182,206560,186847,17043,2670
4,13118,荒川区,218729,26,198246,98659,99587,20483,10121,10362,121343,106612,12334,2397
4,13119,板橋区,572377,150,541034,264610,276424,31343,15203,16140,326700,302733,19804,4163
