階層コード,地域コード,地域,人口総数／2023-05-01,人口総数／2023-04-01,人口総数／2022-05-01,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13892140,13870368,13823750,21772,0.16 ,68390,0.49 
1,13100,区部,9616393,9600223,9549300,16170,0.17 ,67093,0.70 
1,13200,市部,4196570,4191455,4194434,5115,0.12 ,2136,0.05 
1,13300,郡部,55231,55232,55672,-1,0.00 ,-441,-0.79 
1,13350,島部,23946,23458,24344,488,2.08 ,-398,-1.63 
,,,,,,,,,
住民基本台帳による世帯と人口_令和5年5月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
