階層コード,地域コード,地域,人口総数／2023-01-01,人口総数／2022-12-01,人口総数／2022-01-01,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13841665,13848931,13794933,-7266,-0.05 ,46732,0.34 
1,13100,区部,9569211,9574523,9522872,-5312,-0.06 ,46339,0.49 
1,13200,市部,4192930,4194784,4191666,-1854,-0.04 ,1264,0.03 
1,13300,郡部,55354,55410,55843,-56,-0.10 ,-489,-0.88 
1,13350,島部,24170,24214,24552,-44,-0.18 ,-382,-1.56 
,,,,,,,,,
住民基本台帳による世帯と人口_令和5年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
