街区,棟,構造,階数,高さ(m),敷地面積(m2),建築面積(m2),延べ面積（容積対象）(m2),容積率(%),主要用途,住戸数(戸),駐車台数(台)
１新橋,1月1日,鉄骨鉄筋コンクリート造,地上16階/地下2階,64,2147,1206,14238(10693),498,店舗、住宅、事務所、駐車場,87,50
２青年館,2月1日,鉄筋コンクリート造,地上21階/地下1階,80,2029,1075,14406(10692),527,住宅、公益施設、駐車場,122,53
３虎ノ門,３－１高層棟,鉄骨造(一部鉄骨鉄筋コンクリート造、一部鉄筋コンクリート造）,地上52階/地下5階,247,-,-,-,-,-,-,-
３虎ノ門,３－１低層棟,鉄骨造(一部鉄骨鉄筋コンクリート造、一部鉄筋コンクリート造）,地上3階/地下5階,25,-,-,-,-,-,-,-
３虎ノ門,３－１高層棟・低層棟計,-,-,-,17069,9391,244360(196215),1150,店舗、住宅、事務所、文化・交流施設、駐車場,172,544
