"コンテスト名称","主催組織","協賛組織","受付開始日","受付終了日","コンテスト分類","応募資格","授賞式開催日","応募作品数[作品]","告知作品URL","受賞作品概要URL"
"港区政70周年「港区オープンデータアプリコンテスト」","港区","さわやか信用金庫",20161111,20161112,"アプリ・アイデアコンテスト","区内・区外在住、在勤、在学を問わずどなたでも（事業者やグループでの応募も可）",20170222,34,"https://www.city.minato.tokyo.jp/ictsuishintan/opendata/opendata_contest.html","http://www.city.minato.tokyo.jp/ictsuishintan/opendata/opendata_hyousyou.html"

"アプリコンテスト 概要","Ver201703",,,,,,,,,
