階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
0,,従業地・通学地／全国総数,…,522742,327090,2404,3996,6197,10305,11505,5089,7480,16764,12196,8869,25028,38558,6234,10349,20530,10468,11083,7140,20045,29747,20925,15182,26996,192775,31185,7087,6215,9017,4794,11881,4384,10318,21482,6183,9609,8699,6219,5962,3903,1785,3426,3453,3328,4757,2513,6537,4896,2219,3264,9659,2108,1243,673,47,145,769,379,3,71,77,27,-,162,1,49,…,…,…,…,…,…,…,…,…
3,13000,従業地・通学地／東京都総数,690316,449925,278936,2064,3317,5131,9200,10338,4341,6099,14303,10318,7412,20781,33043,5407,9305,18521,8905,9598,5933,17486,26026,17243,12285,21880,168431,28225,6326,5588,8089,4141,10787,3802,9339,16839,5733,8243,7867,5192,5305,3521,1532,2794,2992,2793,3997,2192,5870,4235,1881,2883,8265,1816,1029,613,43,131,742,373,3,64,72,25,-,156,1,48,240391,225158,9169,3868,3700,71321,46544,90556,15233
4,13100,従業地・通学地／区部,491333,303316,257017,1941,3117,4805,8558,9914,4150,5813,13582,9760,6904,19701,29068,4861,8245,15118,8432,9080,5675,16642,22268,16635,11832,20916,46046,3565,1274,2601,3428,605,3146,677,3678,4241,1844,2167,1414,1693,1450,782,269,1774,569,1061,1692,313,1335,1629,349,399,4091,225,135,58,9,23,28,11,2,6,3,-,-,6,-,-,188017,178276,7780,3062,2697,57864,41861,65012,9741
5,13101,従業地・通学地／千代田区,50476,25496,20822,1001,345,449,867,918,402,673,1485,599,475,1062,2031,373,550,1283,673,650,446,1118,1344,1122,851,2105,4649,463,133,286,311,78,325,76,386,440,218,210,191,121,203,95,29,115,60,57,129,37,131,198,40,48,269,23,11,9,2,1,2,-,-,-,1,-,-,1,-,-,24980,23607,1234,486,421,6632,7417,7417,1373
5,13102,従業地・通学地／中央区,3060,2145,2010,5,606,41,30,36,44,79,237,55,15,120,53,12,27,35,25,19,38,34,50,108,80,261,135,12,1,8,10,-,15,1,10,22,2,7,5,2,8,3,-,4,2,2,2,-,4,5,1,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,915,883,38,17,14,212,369,233,32
5,13103,従業地・通学地／港区,23241,13890,12595,100,285,1760,274,433,185,211,743,974,643,1556,1413,322,228,500,260,253,194,436,503,410,298,614,1292,107,28,117,107,4,66,27,94,171,71,64,46,32,51,25,3,56,10,18,33,7,40,28,11,8,68,2,1,1,-,-,1,1,-,-,-,-,-,-,-,-,9351,9023,213,67,84,1789,1964,4906,328
5,13104,従業地・通学地／新宿区,55358,32540,24715,173,291,395,4007,963,272,341,962,592,498,1001,2236,505,1927,1892,1118,683,392,1166,2638,840,535,1288,7784,602,281,444,442,106,471,118,596,601,353,440,247,359,309,139,52,207,99,107,225,47,210,156,50,59,1064,40,26,11,1,2,1,-,-,1,-,-,-,-,-,-,22818,21569,849,370,341,7473,4885,7651,1249
5,13105,従業地・通学地／文京区,44536,26041,23096,194,255,300,564,4848,554,485,1109,444,322,713,1221,275,349,736,1285,1140,654,2353,1486,1391,988,1430,2927,227,85,207,206,41,147,40,201,230,130,155,106,99,123,79,20,81,39,79,149,14,82,76,21,27,263,16,10,5,-,1,2,1,-,1,-,-,-,-,-,-,18495,17578,999,291,267,6828,4987,4206,917
5,13106,従業地・通学地／台東区,7094,5238,4993,19,68,41,53,131,1048,258,333,66,27,120,69,20,23,61,71,201,280,110,93,843,477,581,238,16,7,10,9,3,12,4,13,20,4,16,9,12,5,3,5,4,2,5,11,3,13,3,1,3,45,6,1,4,1,-,1,1,-,-,-,-,-,-,-,-,1856,1779,97,36,30,658,628,330,77
5,13107,従業地・通学地／墨田区,6758,5307,5223,7,82,24,34,52,164,1341,720,42,7,70,33,13,18,30,18,50,159,43,33,596,654,1033,82,5,1,6,11,1,7,2,6,3,2,4,4,3,-,1,2,4,1,1,4,-,6,4,-,-,4,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1451,1420,46,11,10,308,899,146,31
