地域ＩＤ,オリジナル地域階層コード,オリジナル地域階層コード／区市町村（市区町村コード）,オリジナル地域階層コード／町・大字相当,オリジナル地域階層コード／丁目･小字相当,地域階層フラグ／東京都,地域階層フラグ／区市郡島部,地域階層フラグ／区市町村,地域階層フラグ／町・大字相当,地域階層フラグ／丁目･小字相当,地域階層フラグ値,対応する国の小地域集計町丁字コード,表側表章地域（階層別）／区市町村階層以上の地域名称,表側表章地域（階層別）／町・大字相当階層の地域名称,表側表章地域（階層別）／丁目・小字等階層の地域名称,表側表章地域（階層なし）／地域名称,昼間人口（人）,面積（平方キロメートル） ,昼間人口密度（人／平方キロメートル） ,常住人口（人）,昼夜間人口比率
111073,1311101601,111,016,01,,,,,●,50,016001,大田区,中央,中央１丁目,中央１丁目,1540,0.10,15400,2422,63.6
111074,1311101602,111,016,02,,,,,●,50,016002,大田区,中央,中央２丁目,中央２丁目,2171,0.13,16700,2660,81.6
111075,1311101603,111,016,03,,,,,●,50,016003,大田区,中央,中央３丁目,中央３丁目,3552,0.17,20894,4426,80.3
111076,1311101604,111,016,04,,,,,●,50,016004,大田区,中央,中央４丁目,中央４丁目,3386,0.18,18811,3184,106.3
111077,1311101605,111,016,05,,,,,●,50,016005,大田区,中央,中央５丁目,中央５丁目,1470,0.21,7000,3426,42.9
111078,1311101606,111,016,06,,,,,●,50,016006,大田区,中央,中央６丁目,中央６丁目,1627,0.14,11621,2594,62.7
111079,1311101607,111,016,07,,,,,●,50,016007,大田区,中央,中央７丁目,中央７丁目,1882,0.10,18820,2541,74.1
111080,1311101608,111,016,08,,,,,●,50,016008,大田区,中央,中央８丁目,中央８丁目,4623,0.26,17781,5618,82.3
111081,1311101700,111,017,00,,,,●,,40,0170,大田区,池上,,池上,25673,1.64,15654,31477,81.6
111082,1311101701,111,017,01,,,,,●,50,017001,大田区,池上,池上１丁目,池上１丁目,2763,0.37,7468,2691,102.7
111083,1311101702,111,017,02,,,,,●,50,017002,大田区,池上,池上２丁目,池上２丁目,1763,0.16,11019,2406,73.3
111084,1311101703,111,017,03,,,,,●,50,017003,大田区,池上,池上３丁目,池上３丁目,4002,0.24,16675,4974,80.5
111085,1311101704,111,017,04,,,,,●,50,017004,大田区,池上,池上４丁目,池上４丁目,2492,0.13,19169,3322,75.0
111086,1311101705,111,017,05,,,,,●,50,017005,大田区,池上,池上５丁目,池上５丁目,2609,0.15,17393,3782,69.0
111087,1311101706,111,017,06,,,,,●,50,017006,大田区,池上,池上６丁目,池上６丁目,5671,0.24,23629,6408,88.5
111088,1311101707,111,017,07,,,,,●,50,017007,大田区,池上,池上７丁目,池上７丁目,3273,0.19,17226,4537,72.1
111089,1311101708,111,017,08,,,,,●,50,017008,大田区,池上,池上８丁目,池上８丁目,3100,0.16,19375,3357,92.3
111090,1311101800,111,018,00,,,,●,,40,0600,大田区,京浜島,,京浜島,4857,1.04,4670,-,-
111091,1311101801,111,018,01,,,,,●,50,060001,大田区,京浜島,京浜島１丁目,京浜島１丁目,767,0.11,6973,-,-
111092,1311101802,111,018,02,,,,,●,50,060002,大田区,京浜島,京浜島２丁目,京浜島２丁目,3259,0.62,5257,-,-
111093,1311101803,111,018,03,,,,,●,50,060003,大田区,京浜島,京浜島３丁目,京浜島３丁目,831,0.31,2681,-,-
111094,1311101900,111,019,00,,,,●,,40,0580,大田区,東海,,東海,10688,2.53,4225,-,-
111095,1311101901,111,019,01,,,,,●,50,058001,大田区,東海,東海１丁目,東海１丁目,472,0.25,1888,-,-
111096,1311101902,111,019,02,,,,,●,50,058002,大田区,東海,東海２丁目,東海２丁目,950,0.21,4524,-,-
111097,1311101903,111,019,03,,,,,●,50,058003,大田区,東海,東海３丁目,東海３丁目,4807,0.77,6243,-,-
111098,1311101904,111,019,04,,,,,●,50,058004,大田区,東海,東海４丁目,東海４丁目,2406,0.54,4456,-,-
111099,1311101905,111,019,05,,,,,●,50,058005,大田区,東海,東海５丁目,東海５丁目,1485,0.31,4790,-,-
111100,1311101906,111,019,06,,,,,●,50,058006,大田区,東海,東海６丁目,東海６丁目,568,0.45,1262,-,-
111101,1311102000,111,020,00,,,,●,,40,0590,大田区,城南島,,城南島,3504,1.14,3074,-,-
111102,1311102001,111,020,01,,,,,●,50,059001,大田区,城南島,城南島１丁目,城南島１丁目,141,0.10,1410,-,-
111103,1311102002,111,020,02,,,,,●,50,059002,大田区,城南島,城南島２丁目,城南島２丁目,1323,0.19,6963,-,-
111104,1311102003,111,020,03,,,,,●,50,059003,大田区,城南島,城南島３丁目,城南島３丁目,242,0.23,1052,-,-
111105,1311102004,111,020,04,,,,,●,50,059004,大田区,城南島,城南島４丁目,城南島４丁目,1078,0.21,5133,-,-
111106,1311102005,111,020,05,,,,,●,50,059005,大田区,城南島,城南島５丁目,城南島５丁目,279,0.17,1641,-,-
111107,1311102006,111,020,06,,,,,●,50,059006,大田区,城南島,城南島６丁目,城南島６丁目,29,0.16,181,-,-
111108,1311102007,111,020,07,,,,,●,50,059007,大田区,城南島,城南島７丁目,城南島７丁目,412,0.08,5150,-,-
111109,1311102100,111,021,00,,,,●,○,41,0200,大田区,東嶺町,,東嶺町,2940,0.30,9800,5084,57.8
111110,1311102200,111,022,00,,,,●,○,41,0210,大田区,西嶺町,,西嶺町,1639,0.21,7805,3204,51.2
111111,1311102300,111,023,00,,,,●,○,41,0220,大田区,北嶺町,,北嶺町,3888,0.27,14400,5796,67.1
111112,1311102400,111,024,00,,,,●,○,41,0190,大田区,田園調布南,,田園調布南,4737,0.31,15281,3803,124.6
111113,1311102500,111,025,00,,,,●,○,41,0180,大田区,田園調布本町,,田園調布本町,4554,0.48,9488,8444,53.9
111114,1311102600,111,026,00,,,,●,,40,0240,大田区,田園調布,,田園調布,13538,2.06,6572,18606,72.8
111115,1311102601,111,026,01,,,,,●,50,024001,大田区,田園調布,田園調布１丁目,田園調布１丁目,4747,0.58,8185,7287,65.1
111116,1311102602,111,026,02,,,,,●,50,024002,大田区,田園調布,田園調布２丁目,田園調布２丁目,4353,0.39,11162,4372,99.6
111117,1311102603,111,026,03,,,,,●,50,024003,大田区,田園調布,田園調布３丁目,田園調布３丁目,1456,0.33,4412,1689,86.2
111118,1311102604,111,026,04,,,,,●,50,024004,大田区,田園調布,田園調布４丁目,田園調布４丁目,1005,0.34,2956,1903,52.8
111119,1311102605,111,026,05,,,,,●,50,024005,大田区,田園調布,田園調布５丁目,田園調布５丁目,1977,0.42,4707,3355,58.9
111120,1311102700,111,027,00,,,,●,○,41,0250,大田区,雪谷大塚町,,雪谷大塚町,3785,0.14,27036,2590,146.1
111121,1311102800,111,028,00,,,,●,,40,0260,大田区,鵜の木,,鵜の木,9736,0.71,13713,14373,67.7
111122,1311102801,111,028,01,,,,,●,50,026001,大田区,鵜の木,鵜の木１丁目,鵜の木１丁目,2176,0.20,10880,4184,52.0
111123,1311102802,111,028,02,,,,,●,50,026002,大田区,鵜の木,鵜の木２丁目,鵜の木２丁目,4794,0.26,18439,5606,85.5
111124,1311102803,111,028,03,,,,,●,50,026003,大田区,鵜の木,鵜の木３丁目,鵜の木３丁目,2766,0.25,11064,4583,60.4
111125,1311102900,111,029,00,,,,●,,40,0280,大田区,千鳥,,千鳥,8410,0.47,17894,10348,81.3
111126,1311102901,111,029,01,,,,,●,50,028001,大田区,千鳥,千鳥１丁目,千鳥１丁目,2179,0.13,16762,3165,68.8
111127,1311102902,111,029,02,,,,,●,50,028002,大田区,千鳥,千鳥２丁目,千鳥２丁目,4139,0.19,21784,3649,113.4
111128,1311102903,111,029,03,,,,,●,50,028003,大田区,千鳥,千鳥３丁目,千鳥３丁目,2092,0.15,13947,3534,59.2
111129,1311103000,111,030,00,,,,●,,40,0270,大田区,南久が原,,南久が原,4692,0.35,13406,6323,74.2
111130,1311103001,111,030,01,,,,,●,50,027001,大田区,南久が原,南久が原１丁目,南久が原１丁目,1596,0.15,10640,2116,75.4
111131,1311103002,111,030,02,,,,,●,50,027002,大田区,南久が原,南久が原２丁目,南久が原２丁目,3096,0.20,15480,4207,73.6
111132,1311103100,111,031,00,,,,●,,40,0300,大田区,久が原,,久が原,17051,1.43,11924,24386,69.9
111133,1311103101,111,031,01,,,,,●,50,030001,大田区,久が原,久が原１丁目,久が原１丁目,3614,0.26,13900,3836,94.2
111134,1311103102,111,031,02,,,,,●,50,030002,大田区,久が原,久が原２丁目,久が原２丁目,3229,0.27,11959,5028,64.2
111135,1311103103,111,031,03,,,,,●,50,030003,大田区,久が原,久が原３丁目,久が原３丁目,2281,0.21,10862,3623,63.0
111136,1311103104,111,031,04,,,,,●,50,030004,大田区,久が原,久が原４丁目,久が原４丁目,2859,0.29,9859,4093,69.9
111137,1311103105,111,031,05,,,,,●,50,030005,大田区,久が原,久が原５丁目,久が原５丁目,4156,0.24,17317,5720,72.7
111138,1311103106,111,031,06,,,,,●,50,030006,大田区,久が原,久が原６丁目,久が原６丁目,912,0.16,5700,2086,43.7
111139,1311103200,111,032,00,,,,●,,40,0310,大田区,南千束,,南千束,5259,0.55,9562,7856,66.9
111140,1311103201,111,032,01,,,,,●,50,031001,大田区,南千束,南千束１丁目,南千束１丁目,2195,0.18,12194,2923,75.1
111141,1311103202,111,032,02,,,,,●,50,031002,大田区,南千束,南千束２丁目,南千束２丁目,976,0.21,4648,1805,54.1
111142,1311103203,111,032,03,,,,,●,50,031003,大田区,南千束,南千束３丁目,南千束３丁目,2088,0.16,13050,3128,66.8
111143,1311103300,111,033,00,,,,●,,40,0350,大田区,北千束,,北千束,11717,0.66,17753,13572,86.3
111144,1311103301,111,033,01,,,,,●,50,035001,大田区,北千束,北千束１丁目,北千束１丁目,4234,0.26,16285,5000,84.7
111145,1311103302,111,033,02,,,,,●,50,035002,大田区,北千束,北千束２丁目,北千束２丁目,4322,0.23,18791,4942,87.5
111146,1311103303,111,033,03,,,,,●,50,035003,大田区,北千束,北千束３丁目,北千束３丁目,3161,0.17,18594,3630,87.1
111147,1311103400,111,034,00,,,,●,,40,0320,大田区,石川町,,石川町,3124,0.35,8926,5670,55.1
111148,1311103401,111,034,01,,,,,●,50,032001,大田区,石川町,石川町１丁目,石川町１丁目,849,0.18,4717,1674,50.7
111149,1311103402,111,034,02,,,,,●,50,032002,大田区,石川町,石川町２丁目,石川町２丁目,2275,0.17,13382,3996,56.9
111150,1311103500,111,035,00,,,,●,,40,0290,大田区,仲池上,,仲池上,8271,0.50,16542,9779,84.6
111151,1311103501,111,035,01,,,,,●,50,029001,大田区,仲池上,仲池上１丁目,仲池上１丁目,3834,0.26,14746,4202,91.2
111152,1311103502,111,035,02,,,,,●,50,029002,大田区,仲池上,仲池上２丁目,仲池上２丁目,4437,0.24,18488,5577,79.6
111153,1311103600,111,036,00,,,,●,,40,0330,大田区,東雪谷,,東雪谷,12330,0.90,13700,18490,66.7
111154,1311103601,111,036,01,,,,,●,50,033001,大田区,東雪谷,東雪谷１丁目,東雪谷１丁目,1440,0.18,8000,2810,51.2
111155,1311103602,111,036,02,,,,,●,50,033002,大田区,東雪谷,東雪谷２丁目,東雪谷２丁目,3268,0.20,16340,4726,69.1
111156,1311103603,111,036,03,,,,,●,50,033003,大田区,東雪谷,東雪谷３丁目,東雪谷３丁目,1986,0.17,11682,3767,52.7
111157,1311103604,111,036,04,,,,,●,50,033004,大田区,東雪谷,東雪谷４丁目,東雪谷４丁目,2773,0.16,17331,3284,84.4
111158,1311103605,111,036,05,,,,,●,50,033005,大田区,東雪谷,東雪谷５丁目,東雪谷５丁目,2863,0.19,15068,3903,73.4
111159,1311103700,111,037,00,,,,●,,40,0230,大田区,南雪谷,,南雪谷,9341,0.65,14371,12523,74.6
111160,1311103701,111,037,01,,,,,●,50,023001,大田区,南雪谷,南雪谷１丁目,南雪谷１丁目,1772,0.12,14767,3405,52.0
111161,1311103702,111,037,02,,,,,●,50,023002,大田区,南雪谷,南雪谷２丁目,南雪谷２丁目,2664,0.12,22200,2547,104.6
111162,1311103703,111,037,03,,,,,●,50,023003,大田区,南雪谷,南雪谷３丁目,南雪谷３丁目,2369,0.14,16921,2313,102.4
111163,1311103704,111,037,04,,,,,●,50,023004,大田区,南雪谷,南雪谷４丁目,南雪谷４丁目,942,0.11,8564,1880,50.1
111164,1311103705,111,037,05,,,,,●,50,023005,大田区,南雪谷,南雪谷５丁目,南雪谷５丁目,1594,0.16,9963,2378,67.0
111165,1311103800,111,038,00,,,,●,,40,0340,大田区,上池台,,上池台,15789,1.12,14097,23932,66.0
111166,1311103801,111,038,01,,,,,●,50,034001,大田区,上池台,上池台１丁目,上池台１丁目,3487,0.24,14529,4609,75.7
111167,1311103802,111,038,02,,,,,●,50,034002,大田区,上池台,上池台２丁目,上池台２丁目,3149,0.19,16574,3767,83.6
111168,1311103803,111,038,03,,,,,●,50,034003,大田区,上池台,上池台３丁目,上池台３丁目,2699,0.23,11735,4836,55.8
111169,1311103804,111,038,04,,,,,●,50,034004,大田区,上池台,上池台４丁目,上池台４丁目,2655,0.21,12643,4661,57.0
111170,1311103805,111,038,05,,,,,●,50,034005,大田区,上池台,上池台５丁目,上池台５丁目,3799,0.25,15196,6059,62.7
111171,1311103900,111,039,00,,,,●,,40,0380,大田区,東糀谷,,東糀谷,14579,0.96,15187,12417,117.4
111172,1311103901,111,039,01,,,,,●,50,038001,大田区,東糀谷,東糀谷１丁目,東糀谷１丁目,2711,0.17,15947,3638,74.5
111173,1311103902,111,039,02,,,,,●,50,038002,大田区,東糀谷,東糀谷２丁目,東糀谷２丁目,1448,0.10,14480,1753,82.6
111174,1311103903,111,039,03,,,,,●,50,038003,大田区,東糀谷,東糀谷３丁目,東糀谷３丁目,1944,0.10,19440,2236,86.9
111175,1311103904,111,039,04,,,,,●,50,038004,大田区,東糀谷,東糀谷４丁目,東糀谷４丁目,2525,0.18,14028,2339,108.0
111176,1311103905,111,039,05,,,,,●,50,038005,大田区,東糀谷,東糀谷５丁目,東糀谷５丁目,2393,0.18,13294,1086,220.3
111177,1311103906,111,039,06,,,,,●,50,038006,大田区,東糀谷,東糀谷６丁目,東糀谷６丁目,3558,0.23,15470,1365,260.7
111178,1311104000,111,040,00,,,,●,,40,0370,大田区,西糀谷,,西糀谷,15136,0.88,17200,21227,71.3
111179,1311104001,111,040,01,,,,,●,50,037001,大田区,西糀谷,西糀谷１丁目,西糀谷１丁目,3168,0.21,15086,5120,61.9
111180,1311104002,111,040,02,,,,,●,50,037002,大田区,西糀谷,西糀谷２丁目,西糀谷２丁目,3399,0.19,17890,5152,66.0
111181,1311104003,111,040,03,,,,,●,50,037003,大田区,西糀谷,西糀谷３丁目,西糀谷３丁目,5366,0.28,19164,5964,90.0
111182,1311104004,111,040,04,,,,,●,50,037004,大田区,西糀谷,西糀谷４丁目,西糀谷４丁目,3203,0.20,16015,4991,64.2
111183,1311104100,111,041,00,,,,●,,40,0360,大田区,北糀谷,,北糀谷,3979,0.22,18086,4906,81.1
111184,1311104101,111,041,01,,,,,●,50,036001,大田区,北糀谷,北糀谷１丁目,北糀谷１丁目,2413,0.13,18562,3057,78.9
111185,1311104102,111,041,02,,,,,●,50,036002,大田区,北糀谷,北糀谷２丁目,北糀谷２丁目,1566,0.09,17400,1849,84.7
111186,1311104200,111,042,00,,,,●,○,41,0410,大田区,羽田旭町,,羽田旭町,7218,0.28,25779,502,1437.8
111187,1311104300,111,043,00,,,,●,,40,0420,大田区,羽田,,羽田,11105,1.03,10782,14959,74.2
111188,1311104301,111,043,01,,,,,●,50,042001,大田区,羽田,羽田１丁目,羽田１丁目,2494,0.15,16627,2299,108.5
111189,1311104302,111,043,02,,,,,●,50,042002,大田区,羽田,羽田２丁目,羽田２丁目,1218,0.15,8120,1894,64.3
111190,1311104303,111,043,03,,,,,●,50,042003,大田区,羽田,羽田３丁目,羽田３丁目,1806,0.20,9030,2521,71.6
111191,1311104304,111,043,04,,,,,●,50,042004,大田区,羽田,羽田４丁目,羽田４丁目,2336,0.12,19467,2804,83.3
111192,1311104305,111,043,05,,,,,●,50,042005,大田区,羽田,羽田５丁目,羽田５丁目,1928,0.16,12050,3159,61.0
111193,1311104306,111,043,06,,,,,●,50,042006,大田区,羽田,羽田６丁目,羽田６丁目,1323,0.25,5292,2282,58.0
111194,1311104400,111,044,00,,,,●,,40,0400,大田区,本羽田,,本羽田,10841,1.10,9856,12089,89.7
111195,1311104401,111,044,01,,,,,●,50,040001,大田区,本羽田,本羽田１丁目,本羽田１丁目,3761,0.32,11753,4390,85.7
111196,1311104402,111,044,02,,,,,●,50,040002,大田区,本羽田,本羽田２丁目,本羽田２丁目,3073,0.29,10597,4381,70.1
111197,1311104403,111,044,03,,,,,●,50,040003,大田区,本羽田,本羽田３丁目,本羽田３丁目,4007,0.49,8178,3318,120.8
111198,1311104500,111,045,00,,,,●,,40,0430,大田区,羽田空港,,羽田空港,51301,13.80,3718,-,-
111199,1311104501,111,045,01,,,,,●,50,043001,大田区,羽田空港,羽田空港１丁目,羽田空港１丁目,2576,1.14,2260,-,-
111200,1311104502,111,045,02,,,,,●,50,043002,大田区,羽田空港,羽田空港２丁目,羽田空港２丁目,4072,3.07,1326,-,-
111201,1311104503,111,045,03,,,,,●,50,043003,大田区,羽田空港,羽田空港３丁目,羽田空港３丁目,44653,9.59,4656,-,-
111202,1311104600,111,046,00,,,,●,,40,0390,大田区,萩中,,萩中,8204,0.52,15777,12110,67.7
111203,1311104601,111,046,01,,,,,●,50,039001,大田区,萩中,萩中１丁目,萩中１丁目,2409,0.16,15056,4437,54.3
111204,1311104602,111,046,02,,,,,●,50,039002,大田区,萩中,萩中２丁目,萩中２丁目,2938,0.13,22600,3591,81.8
111205,1311104603,111,046,03,,,,,●,50,039003,大田区,萩中,萩中３丁目,萩中３丁目,2857,0.23,12422,4082,70.0
111206,1311104700,111,047,00,,,,●,,40,0470,大田区,東六郷,,東六郷,9195,0.65,14146,11121,82.7
111207,1311104701,111,047,01,,,,,●,50,047001,大田区,東六郷,東六郷１丁目,東六郷１丁目,3103,0.16,19394,4145,74.9
111208,1311104702,111,047,02,,,,,●,50,047002,大田区,東六郷,東六郷２丁目,東六郷２丁目,3113,0.17,18312,3370,92.4
111209,1311104703,111,047,03,,,,,●,50,047003,大田区,東六郷,東六郷３丁目,東六郷３丁目,2979,0.32,9309,3606,82.6
111210,1311104800,111,048,00,,,,●,,40,0440,大田区,西六郷,,西六郷,15087,1.50,10058,22202,68.0
111211,1311104801,111,048,01,,,,,●,50,044001,大田区,西六郷,西六郷１丁目,西六郷１丁目,4388,0.31,14155,6520,67.3
111212,1311104802,111,048,02,,,,,●,50,044002,大田区,西六郷,西六郷２丁目,西六郷２丁目,3193,0.31,10300,4701,67.9
111213,1311104803,111,048,03,,,,,●,50,044003,大田区,西六郷,西六郷３丁目,西六郷３丁目,3464,0.24,14433,4886,70.9
111214,1311104804,111,048,04,,,,,●,50,044004,大田区,西六郷,西六郷４丁目,西六郷４丁目,4042,0.64,6316,6095,66.3
111215,1311104900,111,049,00,,,,●,,40,0480,大田区,南六郷,,南六郷,12593,1.07,11769,17361,72.5
111216,1311104901,111,049,01,,,,,●,50,048001,大田区,南六郷,南六郷１丁目,南六郷１丁目,3307,0.25,13228,5183,63.8
111217,1311104902,111,049,02,,,,,●,50,048002,大田区,南六郷,南六郷２丁目,南六郷２丁目,4979,0.37,13457,7539,66.0
111218,1311104903,111,049,03,,,,,●,50,048003,大田区,南六郷,南六郷３丁目,南六郷３丁目,4307,0.45,9571,4639,92.8
111219,1311105000,111,050,00,,,,●,,40,0450,大田区,仲六郷,,仲六郷,12559,0.86,14604,17504,71.7
111220,1311105001,111,050,01,,,,,●,50,045001,大田区,仲六郷,仲六郷１丁目,仲六郷１丁目,3737,0.21,17795,5967,62.6
111221,1311105002,111,050,02,,,,,●,50,045002,大田区,仲六郷,仲六郷２丁目,仲六郷２丁目,3777,0.18,20983,4044,93.4
111222,1311105003,111,050,03,,,,,●,50,045003,大田区,仲六郷,仲六郷３丁目,仲六郷３丁目,2657,0.16,16606,3607,73.7
111223,1311105004,111,050,04,,,,,●,50,045004,大田区,仲六郷,仲六郷４丁目,仲六郷４丁目,2388,0.31,7703,3886,61.5
111224,1311105100,111,051,00,,,,●,,40,0490,大田区,下丸子,,下丸子,23281,1.58,14735,23711,98.2
111225,1311105101,111,051,01,,,,,●,50,049001,大田区,下丸子,下丸子１丁目,下丸子１丁目,3009,0.16,18806,4077,73.8
111226,1311105102,111,051,02,,,,,●,50,049002,大田区,下丸子,下丸子２丁目,下丸子２丁目,7767,0.61,12733,10376,74.9
111227,1311105103,111,051,03,,,,,●,50,049003,大田区,下丸子,下丸子３丁目,下丸子３丁目,8836,0.29,30469,2815,313.9
111228,1311105104,111,051,04,,,,,●,50,049004,大田区,下丸子,下丸子４丁目,下丸子４丁目,3669,0.52,7056,6443,56.9
111229,1311105200,111,052,00,,,,●,,40,0500,大田区,矢口,,矢口,13118,0.83,15805,15900,82.5
111230,1311105201,111,052,01,,,,,●,50,050001,大田区,矢口,矢口１丁目,矢口１丁目,4154,0.22,18882,4481,92.7
111231,1311105202,111,052,02,,,,,●,50,050002,大田区,矢口,矢口２丁目,矢口２丁目,4363,0.24,18179,5857,74.5
111232,1311105203,111,052,03,,,,,●,50,050003,大田区,矢口,矢口３丁目,矢口３丁目,4601,0.37,12435,5562,82.7
111233,1311105300,111,053,00,,,,●,,40,0510,大田区,東矢口,,東矢口,8300,0.49,16939,12540,66.2
111234,1311105301,111,053,01,,,,,●,50,051001,大田区,東矢口,東矢口１丁目,東矢口１丁目,1968,0.16,12300,3498,56.3
111235,1311105302,111,053,02,,,,,●,50,051002,大田区,東矢口,東矢口２丁目,東矢口２丁目,2580,0.15,17200,3836,67.3
111236,1311105303,111,053,03,,,,,●,50,051003,大田区,東矢口,東矢口３丁目,東矢口３丁目,3752,0.18,20844,5206,72.1
111237,1311105400,111,054,00,,,,●,,40,0520,大田区,多摩川,,多摩川,10478,0.66,15876,13593,77.1
111238,1311105401,111,054,01,,,,,●,50,052001,大田区,多摩川,多摩川１丁目,多摩川１丁目,4577,0.25,18308,5112,89.5
111239,1311105402,111,054,02,,,,,●,50,052002,大田区,多摩川,多摩川２丁目,多摩川２丁目,5901,0.41,14393,8481,69.6
111240,1311105500,111,055,00,,,,●,,40,0570,大田区,東蒲田,,東蒲田,4758,0.26,18300,5732,83.0
111241,1311105501,111,055,01,,,,,●,50,057001,大田区,東蒲田,東蒲田１丁目,東蒲田１丁目,1806,0.11,16418,2606,69.3
111242,1311105502,111,055,02,,,,,●,50,057002,大田区,東蒲田,東蒲田２丁目,東蒲田２丁目,2952,0.15,19680,3126,94.4
111243,1311105600,111,056,00,,,,●,,40,0460,大田区,南蒲田,,南蒲田,12355,0.50,24710,11966,103.3
111244,1311105601,111,056,01,,,,,●,50,046001,大田区,南蒲田,南蒲田１丁目,南蒲田１丁目,3192,0.16,19950,3739,85.4
111245,1311105602,111,056,02,,,,,●,50,046002,大田区,南蒲田,南蒲田２丁目,南蒲田２丁目,6703,0.21,31919,4496,149.1
111246,1311105603,111,056,03,,,,,●,50,046003,大田区,南蒲田,南蒲田３丁目,南蒲田３丁目,2460,0.13,18923,3731,65.9
111247,1311105700,111,057,00,,,,●,,40,0540,大田区,西蒲田,,西蒲田,40771,1.18,34552,28522,142.9
111248,1311105701,111,057,01,,,,,●,50,054001,大田区,西蒲田,西蒲田１丁目,西蒲田１丁目,2560,0.15,17067,4017,63.7
111249,1311105702,111,057,02,,,,,●,50,054002,大田区,西蒲田,西蒲田２丁目,西蒲田２丁目,1832,0.10,18320,1735,105.6
111250,1311105703,111,057,03,,,,,●,50,054003,大田区,西蒲田,西蒲田３丁目,西蒲田３丁目,1728,0.12,14400,2982,57.9
111251,1311105704,111,057,04,,,,,●,50,054004,大田区,西蒲田,西蒲田４丁目,西蒲田４丁目,2796,0.17,16447,4512,62.0
111252,1311105705,111,057,05,,,,,●,50,054005,大田区,西蒲田,西蒲田５丁目,西蒲田５丁目,10651,0.16,66569,3103,343.2
111253,1311105706,111,057,06,,,,,●,50,054006,大田区,西蒲田,西蒲田６丁目,西蒲田６丁目,3457,0.14,24693,4225,81.8
111254,1311105707,111,057,07,,,,,●,50,054007,大田区,西蒲田,西蒲田７丁目,西蒲田７丁目,13081,0.22,59459,5591,234.0
111255,1311105708,111,057,08,,,,,●,50,054008,大田区,西蒲田,西蒲田８丁目,西蒲田８丁目,4666,0.12,38883,2357,198.0
111256,1311105800,111,058,00,,,,●,,40,0550,大田区,蒲田,,蒲田,32135,0.93,34554,24205,132.8
111257,1311105801,111,058,01,,,,,●,50,055001,大田区,蒲田,蒲田１丁目,蒲田１丁目,5247,0.25,20988,7116,73.7
111258,1311105802,111,058,02,,,,,●,50,055002,大田区,蒲田,蒲田２丁目,蒲田２丁目,2503,0.16,15644,3892,64.3
111259,1311105803,111,058,03,,,,,●,50,055003,大田区,蒲田,蒲田３丁目,蒲田３丁目,2455,0.14,17536,3607,68.1
111260,1311105804,111,058,04,,,,,●,50,055004,大田区,蒲田,蒲田４丁目,蒲田４丁目,4911,0.17,28888,5266,93.3
111261,1311105805,111,058,05,,,,,●,50,055005,大田区,蒲田,蒲田５丁目,蒲田５丁目,17019,0.21,81043,4324,393.6
111262,1311105900,111,059,00,,,,●,,40,0560,大田区,蒲田本町,,蒲田本町,5824,0.26,22400,6156,94.6
111263,1311105901,111,059,01,,,,,●,50,056001,大田区,蒲田本町,蒲田本町１丁目,蒲田本町１丁目,3140,0.14,22429,3396,92.5
111264,1311105902,111,059,02,,,,,●,50,056002,大田区,蒲田本町,蒲田本町２丁目,蒲田本町２丁目,2684,0.12,22367,2760,97.2
111265,1311106000,111,060,00,,,,●,,40,0530,大田区,新蒲田,,新蒲田,12131,0.51,23786,9651,125.7
111266,1311106001,111,060,01,,,,,●,50,053001,大田区,新蒲田,新蒲田１丁目,新蒲田１丁目,6866,0.19,36137,2966,231.5
111267,1311106002,111,060,02,,,,,●,50,053002,大田区,新蒲田,新蒲田２丁目,新蒲田２丁目,2251,0.13,17315,2649,85.0
111268,1311106003,111,060,03,,,,,●,50,053003,大田区,新蒲田,新蒲田３丁目,新蒲田３丁目,3014,0.19,15863,4036,74.7
111269,1311106100,111,061,00,,,,●,○,41,0610,大田区,羽田沖水面及び中央防波堤外側付近,,羽田沖水面及び中央防波堤外側付近,-,-,-,-,-
111270,1311106200,111,062,00,,,,●,,40,0620,大田区,多摩川河川敷,,多摩川河川敷,63,-,-,63,100.0
111271,1311106201,111,062,01,,,,,●,50,062001,大田区,多摩川河川敷,多摩川河川敷（上流）,多摩川河川敷（上流）,2,-,-,2,100.0
111272,1311106202,111,062,02,,,,,●,50,062002,大田区,多摩川河川敷,多摩川河川敷（下流）,多摩川河川敷（下流）,61,-,-,61,100.0
111273,1311106300,111,063,00,,,,●,○,41,0630,大田区,ふるさとの浜辺公園,,ふるさとの浜辺公園,-,0.03,-,-,-
111274,1311106400,111,064,00,,,,●,,40,,大田区,令和島,,令和島,-,1.03,-,-,-
111275,1311106401,111,064,01,,,,,●,50,0811,大田区,令和島,令和島１丁目,令和島１丁目,-,0.63,-,-,-
111276,1311106402,111,064,02,,,,,●,50,0812,大田区,令和島,令和島２丁目,令和島２丁目,-,0.40,-,-,-
112001,1311200000,112,000,00,,,●,,,30,,世田谷区,,,世田谷区,854838,58.05,14726,943664,90.6
112002,1311200100,112,001,00,,,,●,,40,0010,世田谷区,池尻,,池尻,19251,0.86,22385,17021,113.1
112003,1311200101,112,001,01,,,,,●,50,001001,世田谷区,池尻,池尻１丁目,池尻１丁目,2632,0.20,13160,1584,166.2
112004,1311200102,112,001,02,,,,,●,50,001002,世田谷区,池尻,池尻２丁目,池尻２丁目,4982,0.19,26221,4728,105.4
