階層,地域コード,地域,昼間就業者／総数／令和２（2020）年（人）,昼間就業者／総数／平成27（2015）年（人）,昼間就業者／総数／増減数（人）,昼間就業者／総数／増減率（％）,昼間就業者／男／令和２（2020）年（人）,昼間就業者／男／平成27（2015）年（人）,昼間就業者／男／増減数（人）,昼間就業者／男／増減率（％）,昼間就業者／女／令和２（2020）年（人）,昼間就業者／女／平成27（2015）年（人）,昼間就業者／女／増減数（人）,昼間就業者／女／増減率（％）,常住就業者／総数／令和２（2020）年（人）,常住就業者／総数／平成27（2015）年（人）,常住就業者／総数／増減数（人）,常住就業者／総数／増減率（％）,常住就業者／男／令和２（2020）年（人）,常住就業者／男／平成27（2015）年（人）,常住就業者／男／増減数（人）,常住就業者／男／増減率（％）,常住就業者／女／令和２（2020）年(人),常住就業者／女／平成27（2015）年（人）,常住就業者／増減数／女（人）,常住就業者／増減率／女（％）,流入通勤者／総数／令和２（2020）年（人）,流入通勤者／総数／平成27（2015）年（人）,流入通勤者／総数／増減数（人）,流入通勤者／総数／増減率（％）,流入通勤者／男／令和２（2020）年（人）,流入通勤者／男／平成27年（2015）年（人）,流入通勤者／男／増減数（人）,流入通勤者／男／増減率（％）,流入通勤者／女／令和２（2020）年（人）,流入通勤者／女／平成27年（2015）年（人）,流入通勤者／女／増減数（人）,流入通勤者／女／増減率（％）,流出通勤者／総数／令和２（2020）年（人）,流出通勤者／総数／平成27（2015）年（人）,流出通勤者／総数／増減数（人）,流出通勤者／総数／増減率（％）,流出通勤者／男／令和２（2020）年（人）,流出通勤者／男／平成27年（2015）年（人）,流出通勤者／男／増減数（人）,流出通勤者／男／増減率（％）,流出通勤者／女／令和２（2020）年（人）,流出通勤者／女／平成27年（2015）年（人）,流出通勤者／女／増減数（人）,流出通勤者／女／増減率（％）,流入超過通勤者／総数／令和２（2020）年（人）,流入超過通勤者／総数／平成27（2015）年（人）,流入超過通勤者／総数／増減数（人）,流入超過通勤者／男／令和２（2020）年（人）,流入超過通勤者／男／平成27（2015）年（人）,流入超過通勤者／男／増減数(人),流入超過通勤者／女／令和２（2020）年（人）,流入超過通勤者／女／平成27（2015）年（人）,流入超過通勤者／女／増減数（人）,残留就業者／総数／令和２（2020）年（人）,残留就業者／総数／平成27（2015）年（人）,残留就業者／総数／増減数（人）,残留就業者／総数／増減率（％）,残留就業者／男／令和２（2020）年（人）,残留就業者／男／平成27（2015）年（人）,残留就業者／男／増減数（人）,残留就業者／男／増減率（％）,残留就業者／女／令和２（2020）年（人）,残留就業者／女／平成27（2015）年（人）,残留就業者／女／増減数（人）,残留就業者／女／増減率（％）,昼夜間就業者比率／総数／令和２（2020）年（％）,昼夜間就業者比率／総数／平成27（2015）年（％）,昼夜間就業者比率／総数／増減数(人),昼夜間就業者比率／総数／増減率(％),昼夜間就業者比率／男／令和２（2020）年（％）,昼夜間就業者比率／男／平成27（2015）年（％）,昼夜間就業者比率／男／増減数（人）,昼夜間就業者比率／男／増減率（％）,昼夜間就業者比率／女／令和２（2020）年（％）,昼夜間就業者比率／女／平成27（2015）年（％）,昼夜間就業者比率／女／増減数（人）,昼夜間就業者比率／女／増減率（％）,面積（平方キロメートル）,人口密度／昼間就業者（人／平方キロメートル）,人口密度／常住就業者（人／平方キロメートル）
2,13208,調布市,75141,75753,-612,-0.8,37118,40129,-3011,-7.5,38023,35624,2399,6.7,101989,106263,-4274,-4.0,54775,60182,-5407,-9.0,47214,46081,1133,2.5,37657,36622,1035,2.8,20110,20960,-850,-4.1,17547,15662,1885,12.0,64505,67132,-2627,-3.9,37767,41013,-3246,-7.9,26738,26119,619,2.4,-26848,-30510,3662,-17657,-20053,2396,-9191,-10457,1266,37484,39131,-1647,-4.2,17008,19169,-2161,-11.3,20476,19962,514,2.6,73.7,71.3,2.4,3.4,67.8,66.7,1.1,1.6,80.5,77.3,3.2,4.1,21.58,3482.0,4726.1
2,13209,町田市,136203,132959,3244,2.4,63842,64968,-1126,-1.7,72361,67991,4370,6.4,182372,177299,5073,2.9,101099,102286,-1187,-1.2,81273,75013,6260,8.3,58573,57887,686,1.2,29830,30550,-720,-2.4,28743,27337,1406,5.1,104742,102227,2515,2.5,67087,67868,-781,-1.2,37655,34359,3296,9.6,-46169,-44340,-1829,-37257,-37318,61,-8912,-7022,-1890,77630,75072,2558,3.4,34012,34418,-406,-1.2,43618,40654,2964,7.3,74.7,75.0,-0.3,-0.4,63.1,63.5,-0.4,-0.6,89.0,90.6,-1.6,-1.8,71.55,1903.6,2548.9
2,13210,小金井市,33399,33296,103,0.3,16706,17558,-852,-4.9,16693,15738,955,6.1,54114,55350,-1236,-2.2,29642,31592,-1950,-6.2,24472,23758,714,3.0,16875,16603,272,1.6,9029,9473,-444,-4.7,7846,7130,716,10.0,37590,38657,-1067,-2.8,21965,23507,-1542,-6.6,15625,15150,475,3.1,-20715,-22054,1339,-12936,-14034,1098,-7779,-8020,241,16524,16693,-169,-1.0,7677,8085,-408,-5.0,8847,8608,239,2.8,61.7,60.2,1.5,2.5,56.4,55.6,0.8,1.4,68.2,66.2,2.0,3.0,11.30,2955.7,4788.8
2,13211,小平市,55743,59635,-3892,-6.5,29512,33466,-3954,-11.8,26231,26169,62,0.2,79225,82716,-3491,-4.2,43627,47578,-3951,-8.3,35598,35138,460,1.3,27564,29781,-2217,-7.4,16044,18383,-2339,-12.7,11520,11398,122,1.1,51046,52862,-1816,-3.4,30159,32495,-2336,-7.2,20887,20367,520,2.6,-23482,-23081,-401,-14115,-14112,-3,-9367,-8969,-398,28179,29854,-1675,-5.6,13468,15083,-1615,-10.7,14711,14771,-60,-0.4,70.4,72.1,-1.7,-2.4,67.6,70.3,-2.7,-3.8,73.7,74.5,-0.8,-1.1,20.51,2717.8,3862.7
2,13212,日野市,57962,59417,-1455,-2.4,32616,35155,-2539,-7.2,25346,24262,1084,4.5,78657,80597,-1940,-2.4,44158,47119,-2961,-6.3,34499,33478,1021,3.0,29174,29665,-491,-1.7,18833,20031,-1198,-6.0,10341,9634,707,7.3,49869,50845,-976,-1.9,30375,31995,-1620,-5.1,19494,18850,644,3.4,-20695,-21180,485,-11542,-11964,422,-9153,-9216,63,28788,29752,-964,-3.2,13783,15124,-1341,-8.9,15005,14628,377,2.6,73.7,73.7,0.0,0.0,73.9,74.6,-0.7,-0.9,73.5,72.5,1.0,1.4,27.55,2103.9,2855.1
2,13213,東村山市,39530,40711,-1181,-2.9,19122,20222,-1100,-5.4,20408,20489,-81,-0.4,64094,66448,-2354,-3.5,35044,37693,-2649,-7.0,29050,28755,295,1.0,16980,17052,-72,-0.4,9224,9376,-152,-1.6,7756,7676,80,1.0,41544,42789,-1245,-2.9,25146,26847,-1701,-6.3,16398,15942,456,2.9,-24564,-25737,1173,-15922,-17471,1549,-8642,-8266,-376,22550,23659,-1109,-4.7,9898,10846,-948,-8.7,12652,12813,-161,-1.3,61.7,61.3,0.4,0.7,54.6,53.6,1.0,1.9,70.3,71.3,-1.0,-1.4,17.14,2306.3,3739.4
2,13214,国分寺市,35770,36374,-604,-1.7,18181,19559,-1378,-7.0,17589,16815,774,4.6,54775,54565,210,0.4,30142,31123,-981,-3.2,24633,23442,1191,5.1,19957,20138,-181,-0.9,10728,11671,-943,-8.1,9229,8467,762,9.0,38962,38329,633,1.7,22689,23235,-546,-2.3,16273,15094,1179,7.8,-19005,-18191,-814,-11961,-11564,-397,-7044,-6627,-417,15813,16236,-423,-2.6,7453,7888,-435,-5.5,8360,8348,12,0.1,65.3,66.7,-1.4,-2.1,60.3,62.8,-2.5,-4.0,71.4,71.7,-0.3,-0.4,11.46,3121.3,4779.7
2,13215,国立市,26505,26131,374,1.4,13579,13666,-87,-0.6,12926,12465,461,3.7,34246,32761,1485,4.5,18466,18406,60,0.3,15780,14355,1425,9.9,15204,15253,-49,-0.3,8377,8522,-145,-1.7,6827,6731,96,1.4,22945,21883,1062,4.9,13264,13262,2,0.0,9681,8621,1060,12.3,-7741,-6630,-1111,-4887,-4740,-147,-2854,-1890,-964,11301,10878,423,3.9,5202,5144,58,1.1,6099,5734,365,6.4,77.4,79.8,-2.4,-3.0,73.5,74.2,-0.7,-0.9,81.9,86.8,-4.9,-5.6,8.15,3252.1,4202.0
2,13218,福生市,19229,20016,-787,-3.9,10463,10885,-422,-3.9,8766,9131,-365,-4.0,23186,24773,-1587,-6.4,12945,14198,-1253,-8.8,10241,10575,-334,-3.2,10709,11169,-460,-4.1,6225,6546,-321,-4.9,4484,4623,-139,-3.0,14666,15926,-1260,-7.9,8707,9859,-1152,-11.7,5959,6067,-108,-1.8,-3957,-4757,800,-2482,-3313,831,-1475,-1444,-31,8520,8847,-327,-3.7,4238,4339,-101,-2.3,4282,4508,-226,-5.0,82.9,80.8,2.1,2.6,80.8,76.7,4.1,5.3,85.6,86.3,-0.7,-0.8,10.16,1892.6,2282.1
2,13219,狛江市,18937,18144,793,4.4,9209,9383,-174,-1.9,9728,8761,967,11.0,38379,36320,2059,5.7,20372,20262,110,0.5,18007,16058,1949,12.1,7226,6973,253,3.6,3796,3927,-131,-3.3,3430,3046,384,12.6,26668,25149,1519,6.0,14959,14806,153,1.0,11709,10343,1366,13.2,-19442,-18176,-1266,-11163,-10879,-284,-8279,-7297,-982,11711,11171,540,4.8,5413,5456,-43,-0.8,6298,5715,583,10.2,49.3,50.0,-0.7,-1.4,45.2,46.3,-1.1,-2.4,54.0,54.6,-0.6,-1.1,6.39,2963.5,6006.1
2,13220,東大和市,21749,22184,-435,-2.0,10779,11264,-485,-4.3,10970,10920,50,0.5,36767,36999,-232,-0.6,20504,21319,-815,-3.8,16263,15680,583,3.7,9246,9494,-248,-2.6,5048,5294,-246,-4.6,4198,4200,-2,0.0,24264,24309,-45,-0.2,14773,15349,-576,-3.8,9491,8960,531,5.9,-15018,-14815,-203,-9725,-10055,330,-5293,-4760,-533,12503,12690,-187,-1.5,5731,5970,-239,-4.0,6772,6720,52,0.8,59.2,60.0,-0.8,-1.3,52.6,52.8,-0.2,-0.4,67.5,69.6,-2.1,-3.0,13.42,1620.6,2739.7
2,13221,清瀬市,20443,20419,24,0.1,9244,9278,-34,-0.4,11199,11141,58,0.5,30752,30900,-148,-0.5,16580,17219,-639,-3.7,14172,13681,491,3.6,9986,9587,399,4.2,4594,4370,224,5.1,5392,5217,175,3.4,20295,20068,227,1.1,11930,12311,-381,-3.1,8365,7757,608,7.8,-10309,-10481,172,-7336,-7941,605,-2973,-2540,-433,10457,10832,-375,-3.5,4650,4908,-258,-5.3,5807,5924,-117,-2.0,66.5,66.1,0.4,0.6,55.8,53.9,1.9,3.5,79.0,81.4,-2.4,-2.9,10.23,1998.3,3006.1
2,13222,東久留米市,30773,31434,-661,-2.1,15105,16049,-944,-5.9,15668,15385,283,1.8,47834,51694,-3860,-7.5,26344,29444,-3100,-10.5,21490,22250,-760,-3.4,13672,12845,827,6.4,7243,7153,90,1.3,6429,5692,737,12.9,30733,33105,-2372,-7.2,18482,20548,-2066,-10.1,12251,12557,-306,-2.4,-17061,-20260,3199,-11239,-13395,2156,-5822,-6865,1043,17101,18589,-1488,-8.0,7862,8896,-1034,-11.6,9239,9693,-454,-4.7,64.3,60.8,3.5,5.8,57.3,54.5,2.8,5.1,72.9,69.1,3.8,5.5,12.88,2389.2,3713.8
2,13223,武蔵村山市,23601,26282,-2681,-10.2,12365,14291,-1926,-13.5,11236,11991,-755,-6.3,26787,29711,-2924,-9.8,15025,17126,-2101,-12.3,11762,12585,-823,-6.5,11622,12625,-1003,-7.9,6755,7601,-846,-11.1,4867,5024,-157,-3.1,14808,16054,-1246,-7.8,9415,10436,-1021,-9.8,5393,5618,-225,-4.0,-3186,-3429,243,-2660,-2835,175,-526,-594,68,11979,13657,-1678,-12.3,5610,6690,-1080,-16.1,6369,6967,-598,-8.6,88.1,88.5,-0.4,-0.5,82.3,83.4,-1.1,-1.3,95.5,95.3,0.2,0.2,15.32,1540.5,1748.5
2,13224,多摩市,63095,61298,1797,2.9,30574,29746,828,2.8,32521,31552,969,3.1,64407,61709,2698,4.4,35305,34886,419,1.2,29102,26823,2279,8.5,37453,37303,150,0.4,19424,19170,254,1.3,18029,18133,-104,-0.6,38765,37714,1051,2.8,24155,24310,-155,-0.6,14610,13404,1206,9.0,-1312,-411,-901,-4731,-5140,409,3419,4729,-1310,25642,23995,1647,6.9,11150,10576,574,5.4,14492,13419,1073,8.0,98.0,99.3,-1.3,-1.3,86.6,85.3,1.3,1.5,111.7,117.6,-5.9,-5.0,21.01,3003.1,3065.5
2,13225,稲城市,26035,24435,1600,6.5,12988,12763,225,1.8,13047,11672,1375,11.8,41473,40622,851,2.1,23334,23702,-368,-1.6,18139,16920,1219,7.2,12721,11983,738,6.2,6990,6936,54,0.8,5731,5047,684,13.6,28159,28170,-11,0.0,17336,17875,-539,-3.0,10823,10295,528,5.1,-15438,-16187,749,-10346,-10939,593,-5092,-5248,156,13314,12452,862,6.9,5998,5827,171,2.9,7316,6625,691,10.4,62.8,60.2,2.6,4.3,55.7,53.8,1.9,3.5,71.9,69.0,2.9,4.2,17.97,1448.8,2307.9
2,13227,羽村市,22693,24045,-1352,-5.6,13809,15447,-1638,-10.6,8884,8598,286,3.3,24077,26392,-2315,-8.8,13644,15618,-1974,-12.6,10433,10774,-341,-3.2,13618,13911,-293,-2.1,9072,9770,-698,-7.1,4546,4141,405,9.8,15002,16258,-1256,-7.7,8907,9941,-1034,-10.4,6095,6317,-222,-3.5,-1384,-2347,963,165,-171,336,-1549,-2176,627,9075,10134,-1059,-10.4,4737,5677,-940,-16.6,4338,4457,-119,-2.7,94.3,91.1,3.2,3.5,101.2,98.9,2.3,2.3,85.2,79.8,5.4,6.8,9.90,2292.2,2432.0
2,13228,あきる野市,24227,24694,-467,-1.9,12674,13419,-745,-5.6,11553,11275,278,2.5,35245,34702,543,1.6,19840,20116,-276,-1.4,15405,14586,819,5.6,9132,9391,-259,-2.8,5494,5865,-371,-6.3,3638,3526,112,3.2,20150,19399,751,3.9,12660,12562,98,0.8,7490,6837,653,9.6,-11018,-10008,-1010,-7166,-6697,-469,-3852,-3311,-541,15095,15303,-208,-1.4,7180,7554,-374,-5.0,7915,7749,166,2.1,68.7,71.2,-2.5,-3.5,63.9,66.7,-2.8,-4.2,75.0,77.3,-2.3,-3.0,73.47,329.8,479.7
2,13229,西東京市,52631,53815,-1184,-2.2,25473,26748,-1275,-4.8,27158,27067,91,0.3,88162,90489,-2327,-2.6,48061,50925,-2864,-5.6,40101,39564,537,1.4,24359,24237,122,0.5,12845,13160,-315,-2.4,11514,11077,437,3.9,59890,60911,-1021,-1.7,35433,37337,-1904,-5.1,24457,23574,883,3.7,-35531,-36674,1143,-22588,-24177,1589,-12943,-12497,-446,28272,29578,-1306,-4.4,12628,13588,-960,-7.1,15644,15990,-346,-2.2,59.7,59.5,0.2,0.3,53.0,52.5,0.5,1.0,67.7,68.4,-0.7,-1.0,15.75,3341.7,5597.6
1,13300,郡部,30285,31037,-752,-2.4,18022,18594,-572,-3.1,12263,12443,-180,-1.4,24226,26161,-1935,-7.4,13826,15295,-1469,-9.6,10400,10866,-466,-4.3,18565,18434,131,0.7,11750,11751,-1,0.0,6815,6683,132,2.0,12506,13558,-1052,-7.8,7554,8452,-898,-10.6,4952,5106,-154,-3.0,6059,4876,1183,4196,3299,897,1863,1577,286,11720,12603,-883,-7.0,6272,6843,-571,-8.3,5448,5760,-312,-5.4,125.0,118.6,6.4,5.4,130.3,121.6,8.7,7.2,117.9,114.5,3.4,3.0,375.86,80.6,64.5
2,13303,瑞穂町,19043,20119,-1076,-5.3,11991,12690,-699,-5.5,7052,7429,-377,-5.1,14736,15799,-1063,-6.7,8405,9218,-813,-8.8,6331,6581,-250,-3.8,12328,12770,-442,-3.5,8382,8731,-349,-4.0,3946,4039,-93,-2.3,8021,8450,-429,-5.1,4796,5259,-463,-8.8,3225,3191,34,1.1,4307,4320,-13,3586,3472,114,721,848,-127,6715,7349,-634,-8.6,3609,3959,-350,-8.8,3106,3390,-284,-8.4,129.2,127.3,1.9,1.5,142.7,137.7,5.0,3.6,111.4,112.9,-1.5,-1.3,16.85,1130.1,874.5
2,13305,日の出町,7851,7622,229,3.0,3952,3857,95,2.5,3899,3765,134,3.6,6561,7154,-593,-8.3,3684,4154,-470,-11.3,2877,3000,-123,-4.1,5149,4775,374,7.8,2615,2404,211,8.8,2534,2371,163,6.9,3859,4307,-448,-10.4,2347,2701,-354,-13.1,1512,1606,-94,-5.9,1290,468,822,268,-297,565,1022,765,257,2702,2847,-145,-5.1,1337,1453,-116,-8.0,1365,1394,-29,-2.1,119.7,106.5,13.2,12.4,107.3,92.9,14.4,15.5,135.5,125.5,10.0,8.0,28.07,279.7,233.7
2,13307,檜原村,1095,965,130,13.5,637,588,49,8.3,458,377,81,21.5,935,1017,-82,-8.1,547,621,-74,-11.9,388,396,-8,-2.0,500,363,137,37.7,318,242,76,31.4,182,121,61,50.4,340,415,-75,-18.1,228,275,-47,-17.1,112,140,-28,-20.0,160,-52,212,90,-33,123,70,-19,89,595,602,-7,-1.2,319,346,-27,-7.8,276,256,20,7.8,117.1,94.9,22.2,23.4,116.5,94.7,21.8,23.0,118.0,95.2,22.8,23.9,105.41,10.4,8.9
2,13308,奥多摩町,2296,2331,-35,-1.5,1442,1459,-17,-1.2,854,872,-18,-2.1,1994,2191,-197,-9.0,1190,1302,-112,-8.6,804,889,-85,-9.6,1014,950,64,6.7,728,676,52,7.7,286,274,12,4.4,712,810,-98,-12.1,476,519,-43,-8.3,236,291,-55,-18.9,302,140,162,252,157,95,50,-17,67,1282,1381,-99,-7.2,714,783,-69,-8.8,568,598,-30,-5.0,115.1,106.4,8.7,8.2,121.2,112.1,9.1,8.1,106.2,98.1,8.1,8.3,225.53,10.2,8.8
1,13350,島部,14347,15496,-1149,-7.4,8722,9528,-806,-8.5,5625,5968,-343,-5.7,13817,14781,-964,-6.5,8305,8989,-684,-7.6,5512,5792,-280,-4.8,596,772,-176,-22.8,459,568,-109,-19.2,137,204,-67,-32.8,66,57,9,15.8,42,29,13,44.8,24,28,-4,-14.3,530,715,-185,417,539,-122,113,176,-63,13751,14724,-973,-6.6,8263,8960,-697,-7.8,5488,5764,-276,-4.8,103.8,104.8,-1.0,-1.0,105.0,106.0,-1.0,-0.9,102.1,103.0,-0.9,-0.9,406.69,35.3,34.0
2,13361,大島町,3854,4082,-228,-5.6,2253,2393,-140,-5.9,1601,1689,-88,-5.2,3682,3989,-307,-7.7,2127,2315,-188,-8.1,1555,1674,-119,-7.1,195,113,82,72.6,142,90,52,57.8,53,23,30,130.4,23,20,3,15.0,16,12,4,33.3,7,8,-1,-12.5,172,93,79,126,78,48,46,15,31,3659,3969,-310,-7.8,2111,2303,-192,-8.3,1548,1666,-118,-7.1,104.7,102.3,2.4,2.3,105.9,103.4,2.5,2.4,103.0,100.9,2.1,2.1,90.76,42.5,40.6
2,13362,利島村,260,308,-48,-15.6,166,188,-22,-11.7,94,120,-26,-21.7,235,239,-4,-1.7,150,147,3,2.0,85,92,-7,-7.6,28,69,-41,-59.4,18,41,-23,-56.1,10,28,-18,-64.3,3,-,3,-,2,-,2,-,1,-,1,-,25,69,-44,16,41,-25,9,28,-19,232,239,-7,-2.9,148,147,1,0.7,84,92,-8,-8.7,110.6,128.9,-18.3,-14.2,110.7,127.9,-17.2,-13.4,110.6,130.4,-19.8,-15.2,4.12,63.1,57.0
2,13363,新島村,1425,1546,-121,-7.8,829,923,-94,-10.2,596,623,-27,-4.3,1402,1495,-93,-6.2,811,882,-71,-8.0,591,613,-22,-3.6,28,61,-33,-54.1,22,46,-24,-52.2,6,15,-9,-60.0,5,10,-5,-50.0,4,5,-1,-20.0,1,5,-4,-80.0,23,51,-28,18,41,-23,5,10,-5,1397,1485,-88,-5.9,807,877,-70,-8.0,590,608,-18,-3.0,101.6,103.4,-1.8,-1.7,102.2,104.6,-2.4,-2.3,100.8,101.6,-0.8,-0.8,27.54,51.7,50.9
2,13364,神津島村,1074,1142,-68,-6.0,642,675,-33,-4.9,432,467,-35,-7.5,1065,1097,-32,-2.9,632,648,-16,-2.5,433,449,-16,-3.6,16,49,-33,-67.3,15,31,-16,-51.6,1,18,-17,-94.4,7,4,3,75.0,5,4,1,25.0,2,-,2,-,9,45,-36,10,27,-17,-1,18,-19,1058,1093,-35,-3.2,627,644,-17,-2.6,431,449,-18,-4.0,100.8,104.1,-3.3,-3.2,101.6,104.2,-2.6,-2.5,99.8,104.0,-4.2,-4.0,18.58,57.8,57.3
2,13381,三宅村,1349,1505,-156,-10.4,893,982,-89,-9.1,456,523,-67,-12.8,1278,1413,-135,-9.6,838,911,-73,-8.0,440,502,-62,-12.4,81,96,-15,-15.6,61,73,-12,-16.4,20,23,-3,-13.0,10,4,6,150.0,6,2,4,200.0,4,2,2,100.0,71,92,-21,55,71,-16,16,21,-5,1268,1409,-141,-10.0,832,909,-77,-8.5,436,500,-64,-12.8,105.6,106.5,-0.9,-0.8,106.6,107.8,-1.2,-1.1,103.6,104.2,-0.6,-0.6,55.26,24.4,23.1
2,13382,御蔵島村,221,309,-88,-28.5,130,202,-72,-35.6,91,107,-16,-15.0,214,217,-3,-1.4,124,135,-11,-8.1,90,82,8,9.8,7,93,-86,-92.5,6,67,-61,-91.0,1,26,-25,-96.2,-,1,-1,-100.0,-,-,-,-,-,1,-1,-100.0,7,92,-85,6,67,-61,1,25,-24,214,216,-2,-0.9,124,135,-11,-8.1,90,81,9,11.1,103.3,142.4,-39.1,-27.5,104.8,149.6,-44.8,-29.9,101.1,130.5,-29.4,-22.5,20.54,10.8,10.4
2,13401,八丈町,3794,4175,-381,-9.1,2183,2430,-247,-10.2,1611,1745,-134,-7.7,3700,4064,-364,-9.0,2109,2350,-241,-10.3,1591,1714,-123,-7.2,112,131,-19,-14.5,85,92,-7,-7.6,27,39,-12,-30.8,18,20,-2,-10.0,11,12,-1,-8.3,7,8,-1,-12.5,94,111,-17,74,80,-6,20,31,-11,3682,4044,-362,-9.0,2098,2338,-240,-10.3,1584,1706,-122,-7.2,102.5,102.7,-0.2,-0.2,103.5,103.4,0.1,0.1,101.3,101.8,-0.5,-0.5,72.23,52.5,51.2
2,13402,青ヶ島村,166,181,-15,-8.3,108,119,-11,-9.2,58,62,-4,-6.5,131,139,-8,-5.8,83,91,-8,-8.8,48,48,0,0.0,36,42,-6,-14.3,26,28,-2,-7.1,10,14,-4,-28.6,1,-,1,-,1,-,1,-,-,-,-,-,35,42,-7,25,28,-3,10,14,-4,130,139,-9,-6.5,82,91,-9,-9.9,48,48,0,0.0,126.7,130.2,-3.5,-2.7,130.1,130.8,-0.7,-0.5,120.8,129.2,-8.4,-6.5,5.96,27.9,22.0
2,13421,小笠原村,2204,2248,-44,-2.0,1518,1616,-98,-6.1,686,632,54,8.5,2110,2128,-18,-0.8,1431,1510,-79,-5.2,679,618,61,9.9,100,126,-26,-20.6,91,108,-17,-15.7,9,18,-9,-50.0,6,6,0,0.0,4,2,2,100.0,2,4,-2,-50.0,94,120,-26,87,106,-19,7,14,-7,2104,2122,-18,-0.8,1427,1508,-81,-5.4,677,614,63,10.3,104.5,105.6,-1.1,-1.0,106.1,107.0,-0.9,-0.8,101.0,102.3,-1.3,-1.3,106.88,20.6,19.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和２年国勢調査による東京都の昼間人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第３表の１　地域、男女別昼間・常住就業者（15歳以上）及び流入・流出通勤者（15歳以上）の増減,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
階層（0:東京都の合計　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　1)　流入通勤者、流出通勤者、流入超過通勤者及び残留就業者のうち「東京都総数」、「区部」、「市部」、「郡部」及び「島部」の数値は合計値ではなく、それぞれの地区内移動者数を差し引いた数値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　2)　昼夜間就業者比率＝昼間就業者÷常住就業者×１００,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　3） 流入超過通勤者のマイナス値は流出超過である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
