事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成23,2011,年平均,99.4,101.1,104.3,102.9,93.5,104.5,97,96.5,96.5,91.8,101.8,99.7,105.8,97.4,98.5,87.2,95.1
５人以上,平成24,2012,年平均,99.3,82.2,102.4,100.8,91.9,103.7,100.5,98.4,97.1,90,104.5,99.8,112.1,91.7,96.3,82.3,97.3
５人以上,平成25,2013,年平均,99.6,46.8,101.4,100.1,87.1,101.2,107,98.7,102.4,98.4,99,95.8,109.1,94.6,95.5,90.7,99.2
５人以上,平成26,2014,年平均,96.6,15.3,98.7,99,82,94.9,106.4,96.5,102,101.5,96.3,91.5,103.9,86.8,90.7,92.9,98.4
５人以上,平成27,2015,年平均,95.7,－,99.2,99.4,84.3,92.2,102.5,96.8,101.8,100.1,95.5,93,93,84.6,88.8,94.1,99.9
５人以上,平成28,2016,年平均,96.3,－,101.1,99.8,89.8,93.7,105.2,98.4,98.7,103,99.5,88.1,86.9,90.1,87,97.1,96.8
５人以上,平成28,2016,1月,81.5,－,83.8,79.7,75.7,83.3,92.4,82.2,77.5,82.3,81.4,86.5,84.5,71,75.7,81.3,87.4
５人以上,平成28,2016,2月,78.9,－,84.6,78.5,74.1,74.6,84.7,80.9,75.1,82.6,77.4,83.6,78.4,71.6,77.3,72.2,85.6
５人以上,平成28,2016,3月,86.2,－,90.1,84.9,73.3,81.9,91.6,86.4,103.9,85.5,87.9,85.8,79.7,76.1,79.6,87.5,88.7
５人以上,平成28,2016,4月,82.3,－,85.7,77.7,92,76.3,89.5,85.6,79.1,89.6,83.5,87.5,83.2,75.7,79.8,76,89.7
５人以上,平成28,2016,5月,83.4,－,88.1,76.6,70.5,80.1,84,83.5,113.9,84.8,81,86.4,82.4,72.4,73.9,70,85.2
５人以上,平成28,2016,6月,143.9,－,135.2,155.4,166,148.1,155.6,136.5,179.3,159.1,155.3,98.7,101.8,163.2,113.7,182.9,127.1
５人以上,平成28,2016,7月,109.4,－,133.8,129.4,74.3,96.2,124.9,125.2,82.6,113,114.5,99.4,95.8,80.1,98.3,75.1,109.3
５人以上,平成28,2016,8月,80.2,－,89.6,78.6,68,76.2,88.8,82.5,76,83.1,90.3,82.7,80,66.2,73.9,73.3,84.9
５人以上,平成28,2016,9月,80.1,－,82.7,78.1,71.8,79.8,89.5,81,83.2,84.1,81.7,80,76.9,70.5,74.4,72.9,85.2
５人以上,平成28,2016,10月,79.8,－,84.3,78.9,69.2,75.7,88.7,80.6,75.4,85.1,85.7,80.2,82.5,72.5,76.4,80.9,86.7
５人以上,平成28,2016,11月,83.4,－,96.3,83.4,68.5,88.2,89.7,82.5,83.1,87.5,83.1,80.9,78.3,72.8,74,85,87
５人以上,平成28,2016,12月,166.9,－,158.7,196.5,174.5,164.7,183.6,174.8,156.3,200.1,173,105,119.8,189.6,146.8,208.5,145.6
５人以上,平成24,2012,年平均（前年比（％））,-0.1,-18.7,-1.8,-2,-1.7,-0.8,3.6,2,0.6,-2,2.7,0.1,6,-5.9,-2.2,-5.6,2.3
