事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,TL 調査産業計,平成23,2011,年平均,5363401,79013,83876,5358354,1516992,54130,53548,1517758
５人以上,TL 調査産業計,平成24,2012,年平均,5551294,82331,86444,5547632,1633312,59887,57682,1635066
５人以上,TL 調査産業計,平成25,2013,年平均,5501060,84193,84192,5501323,1669564,65303,62810,1671794
５人以上,TL 調査産業計,平成26,2014,年平均,5541000,85028,80451,5546324,1719719,68320,63269,1724024
５人以上,TL 調査産業計,平成27,2015,年平均,5490782,89544,87908,5493751,1776213,73910,71245,1777544
５人以上,TL 調査産業計,平成28,2016,年平均,5542746,94242,87022,5550621,1819125,78587,75157,1821900
５人以上,TL 調査産業計,平成28,2016,1月,5470882,55589,69394,5456990,1836876,55374,67115,1825222
５人以上,TL 調査産業計,平成28,2016,2月,5487840,57494,59364,5486844,1798236,69298,75414,1791246
５人以上,TL 調査産業計,平成28,2016,3月,5480920,72340,83897,5471121,1795474,79710,82788,1790638
５人以上,TL 調査産業計,平成28,2016,4月,5444326,357309,207715,5594801,1816130,129768,136608,1808409
５人以上,TL 調査産業計,平成28,2016,5月,5620636,97913,103731,5613836,1779017,91259,84938,1786320
５人以上,TL 調査産業計,平成28,2016,6月,5593040,71822,71679,5594862,1802074,76385,60656,1816124
５人以上,TL 調査産業計,平成28,2016,7月,5600438,82992,98678,5585633,1810058,68094,59015,1818256
５人以上,TL 調査産業計,平成28,2016,8月,5561196,63846,66688,5558719,1844694,60075,76648,1827756
５人以上,TL 調査産業計,平成28,2016,9月,5559832,66048,64694,5561761,1828127,80967,68488,1840031
５人以上,TL 調査産業計,平成28,2016,10月,5553468,95795,95425,5555496,1833066,85201,69372,1847237
５人以上,TL 調査産業計,平成28,2016,11月,5572401,64213,63426,5572806,1832359,75935,65918,1842758
５人以上,TL 調査産業計,平成28,2016,12月,5567976,45543,59572,5554585,1853387,70980,54920,1868809
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,,2209,37,29,2216,9,0,0,9
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,,1815,36,33,1819,19,0,0,19
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,,1690,27,24,1693,37,0,0,37
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,,1856,36,29,1862,50,0,0,51
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,,－,－,－,－,－,－,－,－
５人以上,D 建設業,平成23,2011,年平均,305803,3028,3584,305268,8828,163,138,8832
５人以上,D 建設業,平成24,2012,年平均,328353,4070,3851,328584,10135,326,307,10143
５人以上,D 建設業,平成25,2013,年平均,330636,3717,3931,330420,10595,434,363,10668
５人以上,D 建設業,平成26,2014,年平均,327363,3889,3677,327573,14220,377,368,14231
５人以上,D 建設業,平成27,2015,年平均,334675,4078,3752,335030,8456,325,255,8496
５人以上,D 建設業,平成28,2016,年平均,337910,3847,3490,338326,8249,302,384,8107
５人以上,D 建設業,平成28,2016,1月,336110,1993,2947,335157,8522,565,599,8487
５人以上,D 建設業,平成28,2016,2月,335923,2810,1667,337122,7721,233,1311,6587
５人以上,D 建設業,平成28,2016,3月,337419,2631,3354,336697,6290,373,158,6504
５人以上,D 建設業,平成28,2016,4月,336132,12975,6936,342280,7069,244,458,6746
５人以上,D 建設業,平成28,2016,5月,340387,3066,6114,337489,8639,296,973,7812
５人以上,D 建設業,平成28,2016,6月,339172,3717,2551,340474,6129,17,3,6007
５人以上,D 建設業,平成28,2016,7月,336946,2643,2417,337061,9535,601,205,10042
５人以上,D 建設業,平成28,2016,8月,336224,1925,2148,336004,10879,472,425,10923
５人以上,D 建設業,平成28,2016,9月,338477,4291,3532,339477,8450,153,171,8191
５人以上,D 建設業,平成28,2016,10月,339033,4404,4009,339424,8635,17,251,8405
５人以上,D 建設業,平成28,2016,11月,339846,3626,3164,340442,7983,129,42,7936
５人以上,D 建設業,平成28,2016,12月,339248,2079,3042,338287,9130,524,7,9645
５人以上,E 製造業,平成23,2011,年平均,629596,7146,7759,629059,49406,1500,1368,49461
５人以上,E 製造業,平成24,2012,年平均,662308,7716,7824,662278,49220,1394,1269,49267
５人以上,E 製造業,平成25,2013,年平均,653758,7103,7945,653008,48337,1092,1131,48205
５人以上,E 製造業,平成26,2014,年平均,646382,6878,7047,646264,48346,1473,1296,48474
５人以上,E 製造業,平成27,2015,年平均,601059,7237,7334,601042,52463,1369,1410,52342
５人以上,E 製造業,平成28,2016,年平均,610428,7208,6725,610951,53948,1240,1247,53902
５人以上,E 製造業,平成28,2016,1月,611918,5238,4988,612180,54356,926,1474,53796
５人以上,E 製造業,平成28,2016,2月,613950,3609,4977,612744,55890,1082,1407,55403
５人以上,E 製造業,平成28,2016,3月,613190,5745,6010,612839,56255,1744,1758,56327
５人以上,E 製造業,平成28,2016,4月,611921,30642,20406,622170,55942,1849,1804,55974
５人以上,E 製造業,平成28,2016,5月,617073,6716,6879,616776,57514,699,1405,56942
