規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成22,2010,年平均,100,-0.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成23,2011,年平均,99.6,-0.4,105.6,97.4,99.3,100.7,100.4,100.9,99.7,100,101,98.6,98.4,94.3,99.3,101,100.7,100.2
５人以上,平成24,2012,年平均,99.4,-0.2,106,97.2,99.6,95.3,99.5,100.3,98.6,98.9,102.5,100.4,99.9,92.1,99.1,103.5,100.1,99.6
５人以上,平成25,2013,年平均,99.2,-0.2,99.8,97.8,98.1,70.6,98.6,99.7,96,98.7,101,108.3,101.1,92,101.5,105.3,95.5,100.8
５人以上,平成26,2014,年平均,100.6,1.4,110.3,98,97.2,61.3,100.5,99.6,96.2,98,102.1,117.2,104.6,94.7,103.8,107.2,92.7,102.8
５人以上,平成27,2015,年平均,100.6,0,－,98.5,91.4,51.2,101.4,101.2,95.7,98.5,101.5,121.9,102.1,93.9,105.3,109.2,96.4,106
５人以上,平成27,2015,12月,101,-0.1,－,98.9,92.6,38.3,101.5,101.8,95.6,98.9,101,123.8,104.4,94.7,105.9,109.6,97.1,105.4
５人以上,平成28,2016,1月,100.7,0.3,－,98.6,93.2,46.5,101.5,101.5,95.5,98.7,101,123.9,103.3,93,105.5,109,96.3,104.7
５人以上,平成28,2016,2月,100.7,0.6,－,98.6,93.5,46.1,101.4,101.8,95.3,98.4,101.2,124.2,102.4,93,104.6,108.7,96.5,105.5
５人以上,平成28,2016,3月,100.5,1.4,－,98.4,93.6,37.6,101.2,101.1,95.1,97.8,102,125.4,102,95.7,101.7,108.6,94.7,105.4
５人以上,平成28,2016,4月,102.4,1.7,－,100.1,94.9,39.1,104.3,102.8,96.4,100.8,105.6,127,101.3,96.5,105.1,112.7,96.5,108
