"年[西暦]","用途","建築物数[棟]","床面積の合計[平方メートル]"
2012,"居住専用住宅",275,371530
2012,"居住専用準住宅",4,9601
2012,"居住産業併用建築物",30,29857
2012,"農林水産業用建築物",0,0
2012,"鉱工・建設業用建築物",1,107
2012,"製造業用建築物",4,4458
2012,"電気・ガス・熱供給・水道業用建築物",1,2984
2012,"情報通信業用建築物",0,0
2012,"運輸業用建築物",5,244
2012,"卸売・小売業用建築物",12,6811
2012,"金融・保険業用建築物",3,5787
2012,"不動産業用建築物",38,330720
2012,"飲食店、宿泊業用建築物",48,17457
2012,"医療、福祉用建築物",14,37049
2012,"教育、学習支援業用建築物",9,37122
2012,"その他のサービス業用建築物",69,11365
2012,"公務用建築物",2,53
2012,"他に分類されない建築物",1,94
2013,"居住専用住宅",250,225763
2013,"居住専用準住宅",0,0
2013,"居住産業併用建築物",38,32169
2013,"農林水産業用建築物",0,0
2013,"鉱工・建設業用建築物",1,2700
2013,"製造業用建築物",0,0
2013,"電気・ガス・熱供給・水道業用建築物",0,0
2013,"情報通信業用建築物",13,3473
2013,"運輸業用建築物",6,8909
2013,"卸売・小売業用建築物",26,12338
2013,"金融・保険業用建築物",0,0
2013,"不動産業用建築物",23,53602
2013,"飲食店、宿泊業用建築物",38,27202
2013,"医療、福祉用建築物",4,5616
2013,"教育、学習支援業用建築物",1,4680
2013,"その他のサービス業用建築物",64,15493
2013,"公務用建築物",1,1620
2013,"他に分類されない建築物",4,67
2014,"居住専用住宅",245,303550
2014,"居住専用準住宅",2,1075
2014,"居住産業併用建築物",46,422528
2014,"農林水産業用建築物",0,0
2014,"鉱工・建設業用建築物",3,25991
2014,"製造業用建築物",0,0
2014,"電気・ガス・熱供給・水道業用建築物",1,447
2014,"情報通信業用建築物",3,2238
2014,"運輸業用建築物",9,1441
2014,"卸売・小売業用建築物",18,9509
2014,"金融・保険業用建築物",0,0
2014,"不動産業用建築物",30,157059
2014,"飲食店、宿泊業用建築物",22,24453
2014,"医療、福祉用建築物",5,10331
2014,"教育、学習支援業用建築物",4,27834
2014,"その他のサービス業用建築物",89,11926
2014,"公務用建築物",10,6362
2014,"他に分類されない建築物",1,43
2015,"居住専用住宅",219,220749
2015,"居住専用準住宅",0,0
2015,"居住産業併用建築物",38,82996
2015,"農林水産業用建築物",1,222
2015,"鉱工・建設業用建築物",0,0
2015,"製造業用建築物",2,22354
2015,"電気・ガス・熱供給・水道業用建築物",0,0
2015,"情報通信業用建築物",15,2187
2015,"運輸業用建築物",3,544
2015,"卸売・小売業用建築物",21,14398
2015,"金融・保険業用建築物",2,110704
2015,"不動産業用建築物",47,123084
2015,"飲食店、宿泊業用建築物",33,77408
2015,"医療、福祉用建築物",9,38877
2015,"教育、学習支援業用建築物",2,1482
2015,"その他のサービス業用建築物",47,40727
2015,"公務用建築物",9,17542
2015,"他に分類されない建築物",1,70
2016,"居住専用住宅",234,153676
2016,"居住専用準住宅",1,754
2016,"居住産業併用建築物",25,92078
2016,"農林水産業用建築物",0,0
2016,"鉱工・建設業用建築物",2,2085
2016,"製造業用建築物",4,12121
2016,"電気・ガス・熱供給・水道業用建築物",1,4742
2016,"情報通信業用建築物",6,655
2016,"運輸業用建築物",7,1750
2016,"卸売・小売業用建築物",13,27592
2016,"金融・保険業用建築物",1,1489
2016,"不動産業用建築物",18,29569
2016,"飲食店、宿泊業用建築物",52,221993
2016,"医療、福祉用建築物",6,38007
2016,"教育、学習支援業用建築物",2,24672
2016,"その他のサービス業用建築物",61,11828
2016,"公務用建築物",6,580
2016,"他に分類されない建築物",7,340

"平成30年度港区行政資料集　用途分類項目別建築物数","Ver201803",,
