"施設名","年度","区立小学校 移動教室 児童[人]","区立小学校 移動教室 引率等[人]","区立小学校 夏季学園 児童[人]","区立小学校 夏季学園 引率等[人]","区立小学校 合計[人]","社会教育団体等[人]"
"箱根ニコニコ高原学園","2017","1166","154","1259","177","2756","290"
"箱根ニコニコ高原学園","2018","1358","158","1283","181","2980","408"
"箱根ニコニコ高原学園","2019","1393","155","1299","180","3027","374"
"箱根ニコニコ高原学園","2020","0","0","0","0","0","208"
"箱根ニコニコ高原学園","2021","1485","189","0","0","1674","67"

"令和4年度港区行政資料集　施設利用状況一覧 校外学園","Ver202203",,,,,,
