"年度","みたて 定員[人]","みたて 入所者数[人]"
"2017","8","8"
"2018","8","8"
"2019","8","7"
"2020","8","6"
"2021","8","4"

"令和3年度港区行政資料集　民間高齢者グループリビング利用状況","Ver202104",
