"区分","統括参事[人]","参事[人]","統括課長[人]","副参事[人]","課長補佐[人]","係長[人]","主査[人]","主任[人]","係員[人]","校・園長[人]","副校・園長[人]","主幹教諭[人]","主任教諭[人]","教諭[人]","計[人]"
"職別現員合計(1)＋(2)","0","18","21","53","81","305","120","712","710","13","4","4","22","28","2091"
"定数外 自治法上派遣","0","1","0","1","0","3","0","10","2","0","0","0","0","1","18"
"定数外 休職､結核休養","0","1","0","0","0","0","0","11","12","0","0","0","0","0","24"
"定数外 育休､公務災害","0","0","0","0","0","2","2","33","40","0","0","0","2","5","84"
"定数外 派遣法による派遣","0","0","0","2","1","5","0","0","0","0","0","0","0","0","8"
"定数外 派遣交流","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"定数外 配偶者同行休業","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2"
"定数外 計","0","2","0","3","1","10","2","55","55","0","0","0","2","6","136"

"令和4年度港区行政資料集　職員数総括表","Ver202204",,,,,,,,,,,,,,
