地域／分類コード／部門名,東京都地域／Ｐ71／都事業所家計外消費支出,東京都地域／Ｐ61／他県事業所家計外消費支出,東京都地域／Ｐ72／民間消費支出（他県民支出を除く。）,東京都地域／Ｐ92／他県民支出,東京都地域／Ｐ73／一般政府消費支出,東京都地域／Ｐ74／都内総固定資本形成（公的）,東京都地域／Ｐ75／都内総固定資本形成（民間）,東京都地域／Ｐ76／在庫純増,東京都地域／Ｐ77／調整項,東京都地域／Ｒ81／都：輸出計,東京都地域／東京都地域平均,その他地域／Ｑ71／都事業所家計外消費支出,その他地域／Ｑ61／他県事業所家計外消費支出,その他地域／Ｑ72／都民支出,その他地域／Ｑ92／民間消費支出（都民支出を除く。）,その他地域／Ｑ73／一般政府消費支出,その他地域／Ｑ74／他地域内総固定資本形成（公的）,その他地域／Ｑ75／他地域内総固定資本形成（民間）,その他地域／Ｑ76／在庫純増,その他地域／Ｑ77／調整項,その他地域／Ｓ81／他：輸出計,その他地域／その他地域平均
東京都地域／Ａ01／農林水産業,0.001867,0.001906,0.001452,0.001664,0.000131,0.000107,0.000073,0.015629,0.000382,0.000303,0.000993,0.000117,0.000134,0.000153,0.000091,0.000011,0.000009,0.000011,0.000109,0.000013,0.000014,0.000054
東京都地域／Ａ06／鉱業,0.000038,0.000053,0.00007,0.000025,0.000031,0.000023,0.000016,0.00068,0.00002,0.000182,0.000055,0.000003,0.000004,0.000004,0.000004,0.000003,0.00005,0.000026,-0.000061,0.000009,0.000009,0.000009
東京都地域／Ａ11／飲食料品,0.015602,0.013889,0.010177,0.014824,0.0012,0.000045,0.000058,0.214945,0.000997,0.001622,0.007255,0.002342,0.002732,0.002757,0.002315,0.000134,0.000026,0.000031,0.003479,0.000064,0.000084,0.001249
東京都地域／Ａ15／繊維製品,0.000771,0.000248,0.001067,0.001829,0.000249,0.000182,0.000544,-0.072167,0.000191,0.000505,0.000837,0.000048,0.000101,0.000122,0.000145,0.000038,0.000054,0.000077,-0.001264,0.000042,0.00006,0.000098
東京都地域／Ａ16／パルプ・紙・木製品,0.000121,0.000805,0.00054,0.00081,0.000686,0.00337,0.002282,-0.032553,0.00625,0.002865,0.001011,0.000312,0.000549,0.000344,0.000332,0.000222,0.000643,0.000507,-0.000479,0.000304,0.000347,0.00035
東京都地域／Ａ20／化学製品,0.001332,0.000453,0.000818,0.000667,0.002273,0.000383,0.000418,0.020679,0.012079,0.017839,0.001727,0.000456,0.000835,0.000473,0.000679,0.000973,0.000604,0.00054,0.000271,0.000803,0.000815,0.000732
東京都地域／Ａ21／石油・石炭製品,0.000129,0.000137,0.000169,0.000323,0.000131,0.00013,0.000077,0.005309,0.000027,0.000325,0.000166,0.000012,0.000015,0.000051,0.000023,0.00001,0.000019,0.000018,0.000045,0.000015,0.000024,0.00002
東京都地域／Ａ22／プラスチック・ゴム,0.000705,0.00045,0.000767,0.000932,0.00073,0.001052,0.00091,-0.007046,0.007378,0.006227,0.001039,0.0002,0.000277,0.000269,0.000301,0.000181,0.000443,0.00059,0.000246,0.000749,0.000785,0.000389
東京都地域／Ａ25／窯業・土石製品,0.000276,0.000189,0.000185,0.000188,0.000165,0.002447,0.001233,0.029753,0.008828,0.005618,0.000658,0.00005,0.000071,0.000059,0.000075,0.000058,0.001277,0.000684,-0.00017,0.000232,0.000237,0.000214
東京都地域／Ａ26／鉄鋼,0.00007,0.000048,0.000065,0.000057,0.000079,0.000461,0.000222,-0.000069,0.008133,0.00732,0.000422,0.000046,0.000066,0.000061,0.000092,0.000048,0.000594,0.000696,0.001006,0.000954,0.000951,0.000301
東京都地域／Ａ27／非鉄金属,0.000031,0.000018,0.000043,0.000028,0.000033,0.000199,0.000187,-0.000613,0.001093,0.00619,0.000335,0.00002,0.000032,0.000026,0.000047,0.000029,0.000182,0.000301,-0.000104,0.00053,0.000484,0.000142
東京都地域／Ａ28／金属製品,0.000826,0.000546,0.000446,0.000397,0.000979,0.004842,0.003107,0.047096,0.00968,0.003873,0.001232,0.000166,0.000246,0.000167,0.000191,0.000121,0.000892,0.000826,0.000039,0.000544,0.00055,0.000335
東京都地域／Ａ29／はん用機械,0.000033,0.000027,0.000047,0.000033,0.000059,0.000764,0.00146,0.002092,0.005508,0.004332,0.000467,0.000027,0.000033,0.000037,0.000054,0.000036,0.000471,0.001653,0.000466,0.00054,0.000515,0.00033
東京都地域／Ａ30／生産用機械,0.00005,0.000042,0.000057,0.000052,0.000069,0.000802,0.003773,0.019192,0.036311,0.02484,0.001728,0.000039,0.000046,0.000049,0.000054,0.000044,0.00022,0.003575,0.000776,0.000464,0.000446,0.000551
東京都地域／Ａ31／業務用機械,0.000197,0.000082,0.00027,0.000206,0.00106,0.001943,0.005023,0.064433,0.045332,0.031563,0.002531,0.000086,0.000128,0.000125,0.000203,0.000247,0.00079,0.003476,0.002233,0.00031,0.00035,0.00066
東京都地域／Ａ32／電子部品,0.00029,0.000113,0.000492,0.000293,0.000582,0.001406,0.002471,0.043884,0.017215,0.012222,0.001327,0.000095,0.000189,0.000149,0.000347,0.000189,0.000846,0.001594,0.001732,0.002036,0.002161,0.000748
東京都地域／Ａ33／電気機械,0.0005,0.000078,0.000995,0.000474,0.000496,0.007166,0.008925,0.301396,0.047195,0.032744,0.00368,0.000058,0.000118,0.000101,0.000266,0.00011,0.001842,0.00445,0.001102,0.001305,0.001237,0.00095
東京都地域／Ａ34／情報・通信機器,0.000743,0.000041,0.001713,0.000604,0.000365,0.006056,0.012811,-0.136583,0.003049,0.006035,0.003299,0.00002,0.000125,0.000085,0.000588,0.000039,0.002125,0.002912,-0.002194,0.000087,0.000106,0.000747
東京都地域／Ａ35／輸送機械,0.000208,0.000231,0.001218,0.000669,0.002767,0.001646,0.007958,0.05767,0.129307,0.11823,0.007548,0.0001,0.000124,0.000343,0.00045,0.000231,0.000481,0.004276,-0.012348,0.00195,0.002053,0.00108
東京都地域／Ａ39／その他の製造工業製品,0.011629,0.004371,0.008682,0.011353,0.007804,0.007141,0.010891,-0.144974,0.011209,0.012326,0.009232,0.001204,0.002161,0.001543,0.001797,0.001209,0.002052,0.002701,-0.0002,0.001463,0.001783,0.001811
東京都地域／Ａ41／建設,0.009437,0.011135,0.017206,0.010738,0.018155,0.735649,0.340791,0.009395,0.002984,0.012052,0.086505,0.000791,0.001012,0.00133,0.00106,0.000557,0.001565,0.001817,0.00091,0.000824,0.001254,0.001108
東京都地域／Ａ46／電力・ガス・熱供給,0.01556,0.020854,0.02757,0.009487,0.011897,0.004205,0.003647,0.009599,0.00361,0.009635,0.018223,0.000516,0.000714,0.000758,0.000683,0.000356,0.001007,0.001208,0.000588,0.000593,0.000898,0.000731
東京都地域／Ａ47／水道,0.007174,0.009623,0.008435,0.004491,0.007172,0.00119,0.001064,0.002772,0.000517,0.002932,0.006346,0.000159,0.00023,0.000278,0.000219,0.000108,0.000299,0.000351,0.000209,0.000166,0.000263,0.000224
東京都地域／Ａ48／廃棄物処理,0.005415,0.007994,0.002603,0.002914,0.020535,0.000892,0.000691,0.000895,0.000228,0.0019,0.005159,0.000082,0.000126,0.000157,0.00012,0.000058,0.000166,0.000193,0.000093,0.000081,0.000125,0.00012
東京都地域／Ａ51／商業,0.165762,0.065438,0.136623,0.168338,0.028023,0.061691,0.102375,0.681743,0.015475,0.112889,0.11456,0.015742,0.022555,0.018377,0.019679,0.009427,0.023846,0.030849,0.039641,0.017048,0.039441,0.022209
東京都地域／Ａ53／金融・保険,0.014629,0.01461,0.09982,0.142206,0.082091,0.015733,0.013857,0.013017,0.005703,0.10125,0.081076,0.006115,0.007011,0.007382,0.011306,0.004656,0.010123,0.009445,0.005907,0.005806,0.00805,0.009248
東京都地域／Ａ55／不動産,0.018346,0.019205,0.294518,0.048367,0.018343,0.012072,0.01256,0.016415,0.003148,0.019003,0.157954,0.003801,0.004416,0.00448,0.004424,0.002404,0.006221,0.006401,0.003755,0.003166,0.004769,0.004414
東京都地域／Ａ57／運輸・郵便,0.029724,0.037208,0.044505,0.089836,0.018397,0.015848,0.014129,0.101145,0.004537,0.286869,0.048583,0.003193,0.0045,0.02473,0.006269,0.002268,0.004416,0.004762,0.004301,0.00285,0.005262,0.00517
東京都地域／Ａ59／情報通信,0.047675,0.034117,0.07746,0.059435,0.046965,0.119726,0.18613,-0.116582,0.030183,0.09528,0.087929,0.014278,0.018167,0.017262,0.020941,0.015018,0.048009,0.067781,0.012772,0.011852,0.017224,0.026032
東京都地域／Ａ61／公務,0.001159,0.001179,0.00443,0.001318,0.497298,0.003119,0.001926,0.00165,0.000643,0.001962,0.078987,0.000114,0.000147,0.00018,0.000153,0.000091,0.000245,0.000308,0.000127,0.000117,0.000184,0.000168
東京都地域／Ａ63／教育・研究,0.003663,0.002796,0.042374,0.068227,0.131045,0.006768,0.00856,0.01804,0.016664,0.026242,0.04929,0.001318,0.001663,0.001614,0.001798,0.00108,0.003176,0.004304,0.001148,0.00248,0.002952,0.002188
東京都地域／Ａ64／医療・福祉,0.050146,0.000109,0.042786,0.030092,0.376457,0.000083,0.000078,0.000062,0.00002,0.000219,0.083317,0.000008,0.000106,0.000022,0.000016,0.000027,0.000018,0.000023,0.000009,0.000007,0.000012,0.00002
東京都地域／Ａ65／その他の非営利団体サービス,0.001533,0.002072,0.011689,0.027241,0.001151,0.000957,0.000723,0.000449,0.000317,0.003043,0.008456,0.000124,0.000152,0.000152,0.000155,0.000085,0.000244,0.00026,0.000119,0.000121,0.000168,0.00016
東京都地域／Ａ66／対事業所サービス,0.064244,0.057485,0.070978,0.06868,0.105569,0.115591,0.094009,0.048726,0.023725,0.20807,0.086503,0.02103,0.024287,0.024866,0.024096,0.017608,0.038903,0.039417,0.018338,0.018314,0.025315,0.025517
東京都地域／Ａ67／対個人サービス,0.618811,0.969689,0.145879,0.249054,0.010543,0.00223,0.003037,0.000763,0.000578,0.050415,0.128399,0.000376,0.003452,0.001552,0.001257,0.000275,0.000812,0.0011,0.000292,0.00024,0.000359,0.000958
東京都地域／Ａ68／事務用品,0.001297,0.001376,0.001136,0.001403,0.002366,0.00076,0.000749,0.001127,0.000331,0.00125,0.001289,0.00024,0.000288,0.00029,0.000293,0.000142,0.000444,0.000435,0.000254,0.000237,0.000342,0.000295
東京都地域／Ａ69／分類不明,0.004934,0.005017,0.005883,0.005611,0.006623,0.013276,0.008198,0.007024,0.002735,0.008351,0.006613,0.000485,0.000627,0.000768,0.000649,0.000387,0.001045,0.00131,0.00054,0.000496,0.000784,0.000716
東京都地域／Ｂ10／本社,0.046833,0.037701,0.054545,0.055432,0.032412,0.074781,0.071746,0.020729,0.02058,0.072389,0.054714,0.042075,0.048408,0.046929,0.048644,0.022393,0.076067,0.06721,0.040408,0.040677,0.055479,0.048131
東京都地域／Ｆ70／都：財・サービス内生部門計,1.094924,1.283637,1.063167,1.022867,1.402519,1.149954,0.854962,1.224991,0.461579,1.236523,1.094734,0.073773,0.097443,0.111119,0.10117,0.058478,0.154161,0.19891,0.083686,0.076815,0.12041,0.110052
東京都地域／Ｆ71／都：内生部門計,1.141757,1.321338,1.117712,1.078299,1.43493,1.224735,0.926708,1.245719,0.482159,1.308912,1.149448,0.115848,0.14585,0.158048,0.149814,0.08087,0.230228,0.266119,0.124094,0.117492,0.175889,0.158183
その他地域／Ｃ01／農林水産業,0.04816,0.045332,0.031785,0.045724,0.003082,0.002137,0.002487,0.281055,0.001218,0.004346,0.022796,0.042828,0.045546,0.039413,0.035584,0.003421,0.00301,0.00479,0.266957,0.00552,0.004873,0.021079
その他地域／Ｃ06／鉱業,0.000688,0.000592,0.00076,0.000901,0.000617,0.003305,0.001952,-0.033856,0.000673,0.001325,0.001018,0.000827,0.00086,0.00181,0.001329,0.000611,0.001325,0.001136,0.002528,0.002029,0.002906,0.001392
その他地域／Ｃ11／飲食料品,0.143471,0.117254,0.092055,0.14857,0.005104,0.000804,0.000974,1.821783,0.00063,0.00931,0.065681,0.119997,0.144584,0.118662,0.110672,0.007928,0.000856,0.00106,0.182182,0.008859,0.007819,0.060735
その他地域／Ｃ15／繊維製品,0.005856,0.001875,0.004795,0.007693,0.001715,0.002024,0.004228,-0.406988,0.000621,0.001566,0.004161,0.002407,0.006164,0.006251,0.007751,0.001897,0.002148,0.003266,-0.064469,0.008075,0.009864,0.006045
その他地域／Ｃ16／パルプ・紙・木製品,0.026901,0.013969,0.01391,0.017234,0.011975,0.035905,0.029291,-0.654224,0.007109,0.014728,0.017215,0.015171,0.023138,0.016228,0.01579,0.011714,0.051808,0.034948,-0.046831,0.022462,0.021834,0.019652
その他地域／Ｃ20／化学製品,0.038287,0.016232,0.024904,0.022881,0.054254,0.017488,0.018401,0.073459,0.014505,0.019103,0.028246,0.016417,0.03821,0.021953,0.030415,0.0754,0.01939,0.020116,0.16001,0.134292,0.131431,0.051622
その他地域／Ｃ21／石油・石炭製品,0.021906,0.018132,0.022196,0.035139,0.018861,0.019259,0.016976,0.4297,0.007898,0.039506,0.022606,0.020357,0.024182,0.075615,0.041556,0.018647,0.028239,0.022478,0.136429,0.043734,0.062116,0.037409
その他地域／Ｃ22／プラスチック・ゴム,0.013076,0.00863,0.011431,0.012425,0.007967,0.018578,0.022778,-0.065855,0.014225,0.017165,0.013144,0.010344,0.014811,0.012897,0.015436,0.008706,0.022923,0.026808,0.073237,0.072011,0.071729,0.024034
その他地域／Ｃ25／窯業・土石製品,0.004112,0.002796,0.003324,0.003127,0.002899,0.035917,0.021214,-0.075552,0.007553,0.007172,0.007081,0.003051,0.004327,0.003419,0.0039,0.002998,0.047681,0.027158,0.026692,0.031818,0.028892,0.011868
その他地域／Ｃ26／鉄鋼,0.008794,0.006012,0.011193,0.007374,0.009783,0.090576,0.089058,-0.233685,0.058727,0.053377,0.026308,0.006505,0.009238,0.009116,0.013727,0.00719,0.096522,0.108508,0.387545,0.210762,0.227562,0.058445
その他地域／Ｃ27／非鉄金属,0.003084,0.001866,0.003589,0.00242,0.003514,0.020595,0.023695,-0.103222,0.01385,0.012817,0.007331,0.001852,0.002935,0.002437,0.004535,0.002719,0.01844,0.026954,0.017605,0.083956,0.07354,0.017363
その他地域／Ｃ28／金属製品,0.008951,0.006122,0.00654,0.006087,0.008276,0.064389,0.042452,-0.08601,0.008077,0.009172,0.01406,0.006503,0.009444,0.006225,0.007867,0.005123,0.074253,0.048888,0.03948,0.035584,0.030102,0.01819
その他地域／Ｃ29／はん用機械,0.000881,0.000687,0.001203,0.000877,0.001389,0.015616,0.038502,-0.009809,0.004644,0.00493,0.007287,0.000928,0.001126,0.001263,0.001729,0.0013,0.012387,0.061087,0.084813,0.064584,0.0603,0.01791
