分類コード／部門名,Ｋ01／農林水産業,Ｋ06／鉱業,Ｋ11／飲食料品,Ｋ15／繊維製品,Ｋ16／パルプ・紙・木製品,Ｋ20／化学製品,Ｋ21／石油・石炭製品,Ｋ22／プラスチック・ゴム,Ｋ25／窯業・土石製品,Ｋ26／鉄鋼,Ｋ27／非鉄金属,Ｋ28／金属製品,Ｋ29／はん用機械,Ｋ30／生産用機械,Ｋ31／業務用機械,Ｋ32／電子部品,Ｋ33／電気機械,Ｋ34／情報・通信機器,Ｋ35／輸送機械,Ｋ39／その他の製造工業製品,Ｋ41／建設,Ｋ46／電力・ガス・熱供給,Ｋ47／水道,Ｋ48／廃棄物処理,Ｋ51／商業,Ｋ53／金融・保険,Ｋ55／不動産,Ｋ57／運輸・郵便,Ｋ59／情報通信,Ｋ61／公務,Ｋ63／教育・研究,Ｋ64／医療・福祉,Ｋ65／その他の非営利団体サービス,Ｋ66／対事業所サービス,Ｋ67／対個人サービス,Ｋ68／事務用品,Ｋ69／分類不明,Ｌ10／本社,行和,感応度係数
Ａ01／農林水産業,1.036793,0.000749,0.280551,0.005679,0.0119,0.006172,0.000306,0.057752,0.001996,0.000708,0.002308,0.000655,0.001775,0.002024,0.003401,0.003277,0.003056,0.004278,0.004134,0.009703,0.002532,0.000841,0.00329,0.001521,0.000667,0.00069,0.000309,0.00093,0.002243,0.00124,0.002016,0.00808,0.003543,0.001224,0.062646,0.009938,0.001792,0.000382,1.541101,0.68739
Ａ06／鉱業,0.009726,1.01851,0.013412,0.017019,0.016962,0.020576,0.090913,0.014065,0.087104,0.0314,0.202815,0.023272,0.029546,0.020694,0.028872,0.050844,0.033059,0.03569,0.028916,0.014086,0.019757,0.40859,0.031464,0.032071,0.007574,0.004525,0.003561,0.017651,0.006584,0.011041,0.011029,0.013438,0.005203,0.007189,0.01676,0.016047,0.015825,0.00468,2.420471,1.079623
Ａ11／飲食料品,0.023032,0.000623,1.267179,0.003083,0.001637,0.012752,0.000357,0.003595,0.001329,0.000532,0.00092,0.000409,0.000707,0.000716,0.000927,0.001212,0.001064,0.001212,0.000992,0.003009,0.000664,0.000632,0.001032,0.000688,0.000599,0.000473,0.000275,0.000982,0.00326,0.001336,0.002155,0.016525,0.002594,0.001283,0.169169,0.001837,0.002947,0.000323,1.532064,0.683359
Ａ15／繊維製品,0.011784,0.006478,0.006428,1.386972,0.008736,0.003549,0.001181,0.010292,0.00521,0.003268,0.004549,0.002687,0.004873,0.00547,0.00599,0.013241,0.008947,0.008854,0.004821,0.008867,0.006117,0.004239,0.004105,0.005367,0.004754,0.003515,0.000941,0.003948,0.00407,0.005388,0.002219,0.007898,0.015848,0.004908,0.006752,0.028778,0.003499,0.001611,1.626155,0.725327
Ａ16／パルプ・紙・木製品,0.028766,0.009516,0.033801,0.026158,1.315486,0.042712,0.003661,0.017748,0.043726,0.010257,0.027769,0.010148,0.013621,0.011342,0.020747,0.028371,0.023653,0.026244,0.013658,0.123749,0.058158,0.013356,0.018831,0.014808,0.013517,0.013071,0.00507,0.013832,0.033258,0.011363,0.018273,0.023075,0.022836,0.016847,0.018965,0.586025,0.011651,0.009052,2.733123,1.219077
Ａ20／化学製品,0.110995,0.026613,0.055676,0.151119,0.059909,1.421955,0.023493,0.241604,0.060755,0.017783,0.028901,0.015894,0.022979,0.022834,0.040312,0.053672,0.042852,0.050036,0.043012,0.061963,0.02146,0.018847,0.040741,0.041241,0.00424,0.004887,0.002219,0.008899,0.011554,0.00982,0.013404,0.182776,0.010439,0.012445,0.024985,0.075799,0.028556,0.003025,3.067695,1.368309
Ａ21／石油・石炭製品,0.047918,0.070903,0.030904,0.023574,0.019963,0.023048,1.163156,0.015932,0.051873,0.034025,0.032151,0.017557,0.020914,0.016681,0.018198,0.025828,0.019453,0.020036,0.027108,0.019242,0.02343,0.116609,0.040378,0.039401,0.009889,0.007122,0.003784,0.124695,0.010043,0.02328,0.016737,0.016828,0.011721,0.010637,0.022527,0.022758,0.056417,0.00618,2.2609,1.008448
Ａ22／プラスチック・ゴム,0.020907,0.007526,0.035925,0.021279,0.043273,0.037191,0.002588,1.111775,0.013893,0.006218,0.019026,0.006736,0.025061,0.030452,0.05363,0.046482,0.045032,0.066921,0.069236,0.06221,0.01929,0.006902,0.051528,0.021488,0.005058,0.005896,0.002341,0.007427,0.012197,0.010099,0.008228,0.012201,0.009891,0.009295,0.011134,0.087234,0.014955,0.002676,2.0232,0.902425
Ａ25／窯業・土石製品,0.004312,0.002439,0.004755,0.003965,0.014991,0.015155,0.006369,0.006098,1.198151,0.005437,0.00547,0.005615,0.020336,0.012896,0.052711,0.090046,0.034397,0.03665,0.025017,0.007013,0.059172,0.005599,0.01484,0.003282,0.001545,0.001386,0.002261,0.003581,0.002298,0.003942,0.004957,0.005429,0.00168,0.002843,0.003901,0.018831,0.011987,0.001132,1.700491,0.758484
Ａ26／鉄鋼,0.010513,0.017589,0.014493,0.010878,0.096894,0.016184,0.003797,0.015706,0.022015,2.550097,0.013884,0.487108,0.461058,0.346364,0.100355,0.052249,0.155089,0.065405,0.245885,0.023572,0.118135,0.016773,0.02439,0.006159,0.005372,0.004146,0.005015,0.014452,0.007295,0.018088,0.006714,0.008509,0.005432,0.01123,0.007856,0.052343,0.038929,0.003177,5.06315,2.258359
Ａ27／非鉄金属,0.004437,0.004592,0.007496,0.004887,0.01942,0.017834,0.001449,0.008029,0.016553,0.046656,1.595865,0.082731,0.10624,0.063048,0.103287,0.170723,0.135702,0.151254,0.077159,0.020247,0.034039,0.005422,0.008017,0.002537,0.0019,0.001806,0.001661,0.004638,0.00343,0.008301,0.00283,0.008332,0.002581,0.00588,0.00366,0.021636,0.018296,0.001278,2.773852,1.237244
Ａ28／金属製品,0.005453,0.0255,0.019474,0.011937,0.035287,0.022515,0.003726,0.015797,0.012114,0.006122,0.011479,1.061784,0.058421,0.047689,0.049048,0.039643,0.042631,0.042548,0.021774,0.013704,0.096027,0.017709,0.016784,0.004633,0.005153,0.002425,0.003809,0.005796,0.004145,0.016597,0.004504,0.007171,0.00402,0.004673,0.008491,0.022678,0.010859,0.001841,1.783958,0.795713
Ａ29／はん用機械,0.000672,0.002082,0.000765,0.000934,0.002264,0.00106,0.000517,0.000879,0.001782,0.001056,0.001271,0.00128,1.177815,0.063287,0.015707,0.005464,0.008508,0.0054,0.009619,0.002439,0.007737,0.001986,0.009994,0.001035,0.000714,0.000885,0.000576,0.001598,0.001525,0.002212,0.000931,0.001213,0.000879,0.006645,0.000784,0.002211,0.001141,0.000743,1.345607,0.600192
Ａ30／生産用機械,0.000537,0.002699,0.000741,0.000918,0.001086,0.001017,0.000633,0.001798,0.001492,0.00122,0.001212,0.001196,0.007117,1.135113,0.003894,0.006602,0.006419,0.003881,0.002409,0.001178,0.001375,0.001995,0.002241,0.000987,0.000738,0.000975,0.000445,0.001407,0.001727,0.001257,0.000797,0.001086,0.000938,0.008635,0.000713,0.001286,0.000948,0.000835,1.209547,0.539504
Ａ31／業務用機械,0.001759,0.000615,0.001011,0.000882,0.000754,0.000802,0.000327,0.000616,0.000956,0.000682,0.000603,0.000511,0.004125,0.008801,1.047328,0.001043,0.002678,0.001393,0.001756,0.000762,0.0011,0.000895,0.001495,0.000763,0.001768,0.000742,0.00033,0.001002,0.00149,0.009831,0.000645,0.012811,0.000733,0.00552,0.001308,0.027479,0.002804,0.000679,1.148798,0.512408
Ａ32／電子部品,0.002069,0.002046,0.001945,0.002475,0.002192,0.002423,0.000936,0.001596,0.002756,0.001737,0.003576,0.002191,0.021545,0.030299,0.214501,1.386701,0.345144,0.478438,0.027965,0.013179,0.006528,0.003029,0.004557,0.002139,0.00218,0.002484,0.00115,0.003575,0.006156,0.015935,0.003382,0.004951,0.002564,0.015828,0.001991,0.046407,0.005683,0.002025,2.67428,1.192831
Ａ33／電気機械,0.00171,0.001417,0.001048,0.001026,0.001198,0.001033,0.000482,0.000764,0.001321,0.000887,0.001314,0.00108,0.029435,0.035546,0.026269,0.023242,1.100292,0.030381,0.040396,0.003083,0.009313,0.001793,0.002751,0.000923,0.000933,0.000871,0.000625,0.002502,0.001827,0.006618,0.001449,0.001445,0.000866,0.005489,0.000951,0.00269,0.003738,0.000807,1.347517,0.601044
Ａ34／情報・通信機器,0.000325,0.000303,0.000289,0.000331,0.000291,0.000329,0.000134,0.000259,0.00039,0.000292,0.00028,0.000226,0.001078,0.000792,0.000431,0.000556,0.000493,1.044099,0.00853,0.000315,0.002365,0.000478,0.000679,0.000277,0.000573,0.000459,0.000326,0.000664,0.000977,0.006537,0.000389,0.000372,0.000314,0.001347,0.000462,0.000391,0.001729,0.000217,1.078298,0.480962
Ａ35／輸送機械,0.031666,0.01462,0.011835,0.003927,0.004549,0.003848,0.003163,0.003987,0.007393,0.005641,0.006139,0.003156,0.004323,0.003846,0.003817,0.004616,0.00427,0.00443,1.873705,0.005658,0.003993,0.009545,0.003794,0.004726,0.002708,0.002516,0.000929,0.054517,0.003144,0.041977,0.002553,0.003018,0.002839,0.006515,0.005003,0.006643,0.014567,0.002243,2.17582,0.970499
Ａ39／その他の製造工業製品,0.008921,0.011152,0.018324,0.042719,0.029689,0.021379,0.003894,0.014579,0.022488,0.021224,0.165875,0.016033,0.022694,0.018626,0.028981,0.036846,0.029881,0.037628,0.022434,1.079424,0.015843,0.022677,0.014712,0.01449,0.01035,0.024341,0.005181,0.010785,0.03957,0.024131,0.026597,0.017666,0.052717,0.029101,0.015218,0.185023,0.015044,0.008648,2.184886,0.974543
Ａ41／建設,0.011013,0.01834,0.011132,0.01901,0.017775,0.019891,0.009702,0.013392,0.022865,0.024098,0.027614,0.01611,0.019752,0.016897,0.019025,0.029692,0.022125,0.023326,0.020024,0.013354,1.011356,0.069195,0.129728,0.020405,0.012362,0.012419,0.033523,0.027669,0.015045,0.022589,0.028846,0.018921,0.008119,0.010708,0.015549,0.016527,0.013298,0.010737,1.852133,0.826122
Ａ46／電力・ガス・熱供給,0.014564,0.029227,0.027102,0.038587,0.030317,0.035589,0.025185,0.029721,0.05585,0.059227,0.062269,0.032855,0.039992,0.031162,0.035731,0.068295,0.039362,0.041523,0.045559,0.025424,0.019587,1.086337,0.071726,0.078039,0.017727,0.00999,0.007757,0.022037,0.014273,0.022135,0.024722,0.028752,0.010637,0.015076,0.039318,0.027732,0.024545,0.010843,2.298772,1.02534
Ａ47／水道,0.00147,0.004243,0.004726,0.002948,0.002552,0.00464,0.001133,0.002198,0.003381,0.002505,0.003821,0.001697,0.003121,0.002881,0.003104,0.004777,0.003689,0.003925,0.003138,0.002387,0.002185,0.00486,1.043941,0.016488,0.003067,0.002184,0.001011,0.005458,0.00268,0.004548,0.011241,0.00919,0.002949,0.001885,0.011101,0.002891,0.005722,0.001942,1.195678,0.533318
Ａ48／廃棄物処理,0.00092,0.002548,0.001744,0.001722,0.001621,0.002897,0.000702,0.001223,0.003754,0.001382,0.001714,0.000921,0.001671,0.001254,0.001708,0.002641,0.001899,0.002011,0.002201,0.001481,0.002017,0.008245,0.004643,1.001278,0.001604,0.002592,0.000607,0.004595,0.002538,0.013172,0.003946,0.005286,0.0008,0.001191,0.01193,0.001788,0.007768,0.001525,1.111539,0.495789
Ａ51／商業,0.080088,0.046368,0.145166,0.184122,0.160684,0.115375,0.031414,0.099439,0.096287,0.196507,0.090473,0.108016,0.135609,0.116666,0.112599,0.122527,0.126156,0.12635,0.116403,0.119005,0.104916,0.053812,0.06106,0.042313,1.028604,0.018908,0.009277,0.043951,0.040024,0.036085,0.033471,0.086961,0.045438,0.036564,0.114847,0.345046,0.041679,0.013088,4.485299,2.000615
Ａ53／金融・保険,0.022922,0.047217,0.024453,0.05878,0.03711,0.036146,0.015745,0.020197,0.045323,0.036404,0.041376,0.03498,0.040701,0.035194,0.036781,0.037203,0.033168,0.035299,0.033716,0.032725,0.031251,0.047529,0.023131,0.024343,0.032013,1.058901,0.136926,0.041603,0.035733,0.159638,0.012672,0.027578,0.065849,0.031663,0.023509,0.035031,0.064134,0.102255,2.659197,1.186104
Ａ55／不動産,0.026814,0.016252,0.019333,0.023549,0.016644,0.019562,0.006062,0.013478,0.020651,0.014714,0.013811,0.01185,0.019459,0.01619,0.017493,0.01883,0.018557,0.019641,0.015029,0.018054,0.018014,0.021988,0.015611,0.014966,0.033109,0.030417,1.018051,0.026549,0.041655,0.014245,0.014159,0.036415,0.025254,0.026854,0.025807,0.021312,0.050703,0.053748,1.834831,0.818405
Ａ57／運輸・郵便,0.049259,0.309381,0.077442,0.067794,0.080114,0.06798,0.062594,0.042929,0.13954,0.113726,0.123352,0.060807,0.078234,0.065192,0.069319,0.083118,0.076978,0.079211,0.076408,0.107668,0.068843,0.192548,0.05605,0.091148,0.048928,0.042263,0.013706,1.180272,0.045358,0.067893,0.040843,0.047285,0.047885,0.036957,0.060885,0.127681,0.110649,0.038706,4.14895,1.85059
Ａ59／情報通信,0.027508,0.03293,0.034494,0.046647,0.041484,0.054196,0.016486,0.032151,0.04561,0.034579,0.033926,0.027799,0.047743,0.047564,0.046391,0.059818,0.062423,0.06166,0.043364,0.038427,0.046824,0.053956,0.114326,0.042988,0.056062,0.087215,0.024999,0.050337,1.176436,0.067629,0.047391,0.060562,0.077624,0.196724,0.049739,0.045327,0.071413,0.056907,3.161658,1.410221
Ａ61／公務,0.006329,0.003881,0.003553,0.0061,0.004979,0.002179,0.002562,0.003022,0.010919,0.003614,0.003091,0.002662,0.005698,0.004166,0.003104,0.003217,0.00307,0.003275,0.004143,0.002417,0.005305,0.003708,0.004124,0.001626,0.002246,0.001615,0.001737,0.003556,0.002921,1.001614,0.002961,0.002663,0.002069,0.003141,0.002179,0.003974,0.236356,0.000748,1.364524,0.60863
Ａ63／教育・研究,0.015348,0.010204,0.017972,0.03326,0.023472,0.117877,0.005541,0.042174,0.028551,0.020127,0.038597,0.014077,0.046108,0.066316,0.084543,0.114106,0.11015,0.127933,0.102522,0.025635,0.013671,0.017243,0.012556,0.009366,0.008791,0.008125,0.00342,0.012345,0.028991,0.010634,1.007424,0.024654,0.006818,0.015753,0.00862,0.026424,0.034803,0.023086,2.317237,1.033576
Ａ64／医療・福祉,0.000128,0.000213,0.000105,0.000146,0.000129,0.00011,0.000073,0.000082,0.000244,0.000122,0.000121,0.00008,0.000141,0.000112,0.000099,0.000113,0.000107,0.000112,0.000117,0.000113,0.000129,0.000167,0.000822,0.000091,0.00009,0.000183,0.000061,0.000601,0.000306,0.000131,0.000112,1.041579,0.0001,0.000136,0.000145,0.000141,0.003504,0.000056,1.050819,0.468705
Ａ65／その他の非営利団体サービス,0.001532,0.002171,0.001535,0.002207,0.001382,0.002684,0.000757,0.001562,0.002241,0.001362,0.001464,0.001025,0.00337,0.002623,0.001953,0.002006,0.002,0.002231,0.001573,0.001512,0.001712,0.002239,0.003259,0.002965,0.000872,0.002136,0.000769,0.001207,0.002062,0.000884,0.002291,0.002435,1.000707,0.002733,0.002838,0.001353,0.001684,0.002228,1.071567,0.47796
