地域／分類コード／部門名,東京都地域／Ｋ01／農林水産業,東京都地域／Ｋ06／鉱業,東京都地域／Ｋ11／飲食料品,東京都地域／Ｋ15／繊維製品,東京都地域／Ｋ16／パルプ・紙・木製品,東京都地域／Ｋ20／化学製品,東京都地域／Ｋ21／石油・石炭製品,東京都地域／Ｋ22／プラスチック・ゴム,東京都地域／Ｋ25／窯業・土石製品,東京都地域／Ｋ26／鉄鋼,東京都地域／Ｋ27／非鉄金属,東京都地域／Ｋ28／金属製品,東京都地域／Ｋ29／はん用機械,東京都地域／Ｋ30／生産用機械,東京都地域／Ｋ31／業務用機械,東京都地域／Ｋ32／電子部品,東京都地域／Ｋ33／電気機械,東京都地域／Ｋ34／情報・通信機器,東京都地域／Ｋ35／輸送機械,東京都地域／Ｋ39／その他の製造工業製品,東京都地域／Ｋ41／建設,東京都地域／Ｋ46／電力・ガス・熱供給,東京都地域／Ｋ47／水道,東京都地域／Ｋ48／廃棄物処理,東京都地域／Ｋ51／商業,東京都地域／Ｋ53／金融・保険,東京都地域／Ｋ55／不動産,東京都地域／Ｋ57／運輸・郵便,東京都地域／Ｋ59／情報通信,東京都地域／Ｋ61／公務,東京都地域／Ｋ63／教育・研究,東京都地域／Ｋ64／医療・福祉,東京都地域／Ｋ65／その他の非営利団体サービス,東京都地域／Ｋ66／対事業所サービス,東京都地域／Ｋ67／対個人サービス,東京都地域／Ｋ68／事務用品,東京都地域／Ｋ69／分類不明,東京都地域／Ｌ10／本社,その他地域／Ｍ01／農林水産業,その他地域／Ｍ06／鉱業,その他地域／Ｍ11／飲食料品,その他地域／Ｍ15／繊維製品,その他地域／Ｍ16／パルプ・紙・木製品,その他地域／Ｍ20／化学製品,その他地域／Ｍ21／石油・石炭製品,その他地域／Ｍ22／プラスチック・ゴム,その他地域／Ｍ25／窯業・土石製品,その他地域／Ｍ26／鉄鋼,その他地域／Ｍ27／非鉄金属,その他地域／Ｍ28／金属製品,その他地域／Ｍ29／はん用機械,その他地域／Ｍ30／生産用機械,その他地域／Ｍ31／業務用機械,その他地域／Ｍ32／電子部品,その他地域／Ｍ33／電気機械,その他地域／Ｍ34／情報・通信機器,その他地域／Ｍ35／輸送機械,その他地域／Ｍ39／その他の製造工業製品,その他地域／Ｍ41／建設,その他地域／Ｍ46／電力・ガス・熱供給,その他地域／Ｍ47／水道,その他地域／Ｍ48／廃棄物処理,その他地域／Ｍ51／商業,その他地域／Ｍ53／金融・保険,その他地域／Ｍ55／不動産,その他地域／Ｍ57／運輸・郵便,その他地域／Ｍ59／情報通信,その他地域／Ｍ61／公務,その他地域／Ｍ63／教育・研究,その他地域／Ｍ64／医療・福祉,その他地域／Ｍ65／その他の非営利団体サービス,その他地域／Ｍ66／対事業所サービス,その他地域／Ｍ67／対個人サービス,その他地域／Ｍ68／事務用品,その他地域／Ｍ69／分類不明,その他地域／Ｎ10／本社,行和,感応度係数
その他地域／Ｃ41／建設,0.002643,0.002126,0.005662,0.004413,0.006725,0.005746,0.001517,0.004698,0.006318,0.015076,0.002801,0.006104,0.007755,0.006264,0.00573,0.007765,0.0066,0.006807,0.007634,0.005129,0.005189,0.002841,0.003903,0.00321,0.001412,0.001336,0.000673,0.002599,0.002162,0.001999,0.001503,0.003157,0.001415,0.002071,0.002855,0.011463,0.002828,0.000855,0.011615,0.014737,0.007932,0.011457,0.018886,0.01586,0.002077,0.016376,0.019341,0.023966,0.014073,0.019201,0.013009,0.011982,0.011035,0.016942,0.012597,0.010832,0.01165,0.01122,1.008942,0.04694,0.070156,0.011447,0.013084,0.00917,0.050018,0.018802,0.012058,0.024984,0.015372,0.010338,0.008114,0.007141,0.011354,0.013098,0.012047,0.00557,1.792409,0.894372
その他地域／Ｃ46／電力・ガス・熱供給,0.010758,0.015697,0.019521,0.021454,0.027938,0.024437,0.012354,0.019196,0.03312,0.055061,0.02196,0.023945,0.029036,0.022799,0.02144,0.038138,0.023689,0.023574,0.030124,0.020301,0.017088,0.035287,0.039654,0.039537,0.009249,0.005477,0.004124,0.01184,0.009165,0.011208,0.011893,0.016078,0.00579,0.008773,0.017599,0.038658,0.01391,0.005677,0.023401,0.039273,0.027938,0.038619,0.069527,0.047418,0.008822,0.046906,0.063533,0.076481,0.044447,0.049487,0.035958,0.030341,0.030555,0.052994,0.032246,0.028476,0.041945,0.033206,0.024429,1.124982,0.055958,0.048523,0.032379,0.010376,0.009113,0.019216,0.018795,0.017081,0.024329,0.021992,0.01263,0.016944,0.04231,0.041097,0.022659,0.011301,3.171229,1.582373
その他地域／Ｃ47／水道,0.00085,0.000513,0.001891,0.001325,0.001765,0.001904,0.000409,0.001404,0.001418,0.002336,0.000569,0.001053,0.001477,0.001255,0.001371,0.001842,0.001587,0.001763,0.001837,0.001458,0.001123,0.000562,0.000787,0.000638,0.000391,0.000427,0.000182,0.000773,0.000684,0.00054,0.000371,0.001023,0.000426,0.000641,0.001002,0.003275,0.000751,0.000237,0.002937,0.00508,0.004644,0.003477,0.005284,0.00612,0.000907,0.004192,0.003246,0.003522,0.002638,0.002805,0.002716,0.002644,0.003181,0.004673,0.003103,0.002902,0.003046,0.003368,0.002733,0.002134,1.114225,0.011743,0.004078,0.002948,0.001105,0.006105,0.004843,0.00536,0.010794,0.00753,0.004008,0.002334,0.012609,0.003801,0.006325,0.002221,1.317244,0.657276
その他地域／Ｃ48／廃棄物処理,0.000667,0.001014,0.001254,0.00109,0.001284,0.001745,0.000424,0.001041,0.001993,0.001507,0.000683,0.00079,0.001181,0.000929,0.00109,0.00165,0.001161,0.001221,0.001484,0.001125,0.001129,0.002553,0.001987,0.001044,0.000694,0.000933,0.000285,0.001622,0.001064,0.0038,0.001318,0.001962,0.000438,0.000714,0.003663,0.001893,0.002489,0.000563,0.001519,0.003342,0.00186,0.001729,0.002638,0.003818,0.00035,0.00205,0.003704,0.001927,0.001513,0.00157,0.001612,0.001311,0.001897,0.002426,0.00168,0.001636,0.00208,0.00195,0.002736,0.016559,0.002946,1.001278,0.002701,0.003268,0.00055,0.004064,0.004848,0.024059,0.004233,0.003912,0.001082,0.001321,0.013773,0.002156,0.010209,0.001627,1.193419,0.59549
その他地域／Ｃ51／商業,0.029423,0.015971,0.068536,0.061626,0.072465,0.048328,0.01102,0.045138,0.041276,0.068082,0.024209,0.04054,0.054416,0.046067,0.046321,0.052573,0.050562,0.051593,0.061554,0.052808,0.045322,0.014539,0.025917,0.015353,0.010875,0.007581,0.003639,0.014313,0.016046,0.013469,0.011487,0.03324,0.014566,0.014111,0.038456,0.141051,0.017422,0.004809,0.07577,0.039402,0.099929,0.112814,0.130554,0.07109,0.009468,0.108803,0.061392,0.068097,0.070039,0.089926,0.080993,0.072933,0.084206,0.075547,0.084926,0.076801,0.093498,0.104143,0.086234,0.025852,0.039064,0.022902,1.030614,0.016897,0.008539,0.041035,0.02815,0.023467,0.02574,0.059543,0.054002,0.038372,0.087582,0.273858,0.030123,0.009184,4.896192,2.443091
その他地域／Ｃ53／金融・保険,0.003091,0.003077,0.007222,0.007416,0.007218,0.006874,0.002082,0.00476,0.007198,0.008742,0.003031,0.00499,0.007299,0.006068,0.00642,0.00758,0.006553,0.006959,0.008509,0.006892,0.006293,0.003347,0.003835,0.003657,0.003383,0.003754,0.001916,0.004412,0.005241,0.003022,0.001917,0.003568,0.002868,0.00439,0.003992,0.012924,0.003401,0.001526,0.01197,0.03483,0.012495,0.022409,0.018098,0.013628,0.00436,0.011559,0.015935,0.012312,0.013533,0.016829,0.013534,0.013224,0.016212,0.013557,0.01259,0.012813,0.014314,0.019555,0.015364,0.016338,0.010136,0.011965,0.020894,1.03592,0.046063,0.023745,0.013756,0.024067,0.00559,0.010491,0.057448,0.013068,0.012616,0.015403,0.014889,0.034557,1.881495,0.938824
その他地域／Ｃ55／不動産,0.002841,0.002747,0.006501,0.006304,0.006319,0.006345,0.001627,0.004638,0.005843,0.006792,0.002553,0.004127,0.006155,0.005234,0.00556,0.006417,0.005706,0.006052,0.006657,0.006303,0.005438,0.002991,0.003662,0.003335,0.003093,0.003355,0.00152,0.003883,0.004832,0.002473,0.001757,0.003405,0.00257,0.004239,0.003806,0.011098,0.00299,0.001282,0.008904,0.018858,0.010593,0.01319,0.012614,0.01144,0.001879,0.012864,0.01063,0.008448,0.007375,0.011728,0.011013,0.010654,0.01125,0.010487,0.011241,0.011212,0.010163,0.013468,0.013813,0.013302,0.00859,0.008409,0.037153,0.023945,1.018079,0.021989,0.023493,0.00545,0.012008,0.023822,0.024248,0.014182,0.023459,0.015711,0.04447,0.03063,1.751211,0.873815
その他地域／Ｃ57／運輸・郵便,0.024373,0.029747,0.057504,0.034945,0.051449,0.038969,0.02637,0.027757,0.07324,0.061243,0.027877,0.031577,0.042141,0.035298,0.036336,0.041676,0.038597,0.041152,0.045578,0.069562,0.040319,0.039119,0.026972,0.039755,0.018724,0.021665,0.006938,0.068832,0.023153,0.031767,0.018843,0.024498,0.02011,0.018795,0.033114,0.094874,0.062858,0.01494,0.079388,0.269475,0.06757,0.052831,0.078885,0.05428,0.030115,0.052764,0.078816,0.064485,0.058512,0.062791,0.052287,0.047722,0.053129,0.049632,0.051407,0.046104,0.057174,0.130777,0.06954,0.060531,0.039108,0.059353,0.075809,0.039788,0.010919,1.117896,0.045212,0.045924,0.035309,0.032689,0.048084,0.034292,0.055973,0.112868,0.103902,0.040874,4.906885,2.448427
その他地域／Ｃ59／情報通信,0.006039,0.005886,0.010457,0.010666,0.0109,0.012831,0.003119,0.008892,0.010882,0.010043,0.004598,0.006945,0.011298,0.010505,0.010472,0.013294,0.012387,0.012726,0.012032,0.010302,0.010889,0.007642,0.017134,0.008015,0.008176,0.011783,0.004047,0.009467,0.021837,0.009719,0.007016,0.010779,0.010503,0.038644,0.009858,0.016362,0.009475,0.007121,0.012758,0.021611,0.015429,0.018617,0.018433,0.024372,0.002576,0.020148,0.016174,0.011808,0.011913,0.016234,0.01751,0.018756,0.019218,0.020554,0.021323,0.022984,0.01688,0.019712,0.023244,0.01791,0.042158,0.016409,0.045856,0.052382,0.009,0.020788,1.151613,0.02743,0.024417,0.019217,0.053842,0.04614,0.027289,0.021279,0.059528,0.026731,2.444981,1.219991
その他地域／Ｃ61／公務,0.000351,0.000223,0.001348,0.000473,0.000661,0.000538,0.000184,0.000541,0.000824,0.001167,0.000307,0.00054,0.001018,0.000837,0.000646,0.000786,0.000701,0.000694,0.000981,0.000545,0.00059,0.000257,0.000383,0.000267,0.000148,0.000152,0.000072,0.00036,0.000256,0.00024,0.000167,0.000342,0.000179,0.00029,0.000484,0.001164,0.000323,0.000103,0.004033,0.00272,0.001981,0.001205,0.001568,0.001279,0.0003,0.001526,0.002783,0.001768,0.001901,0.001635,0.003447,0.002899,0.002045,0.001424,0.002089,0.001566,0.001687,0.00147,0.004349,0.001506,0.003282,0.000726,0.002302,0.001469,0.001465,0.002531,0.002342,1.000717,0.002821,0.001344,0.001496,0.002695,0.001241,0.001552,0.226072,0.000406,1.316787,0.657048
