区分,数量,はい構成比(%),いいえ構成比(%),無回答構成比(%)
全体,368,92.1,5.7,2.2
15～19歳,59,96.6,3.4,0
20～29歳,69,89.9,10.1,0
30～39歳,84,90.5,9.5,0
40～49歳,42,92.9,4.8,2.4
50～59歳,27,100,0,0
60～69歳,49,91.8,2,6.1
70歳以上,36,88.9,2.8,8.3
