年・期,西暦(年),四半期,男女計／就業者数（千人）,男女計／就業者数／自営業主数（千人）,男女計／就業者数／家族従業者数（千人）,男女計／就業者数／雇用者数（千人）,男女計／就業者数／雇用者数／うち常雇（千人）,男／就業者数（千人）,男／就業者数／自営業主数（千人）,男／就業者数／家族従業者数（千人）,男／就業者数／雇用者数（千人）,男／就業者数／雇用者数／うち常雇（千人）,女／就業者数（千人）,女／就業者数／自営業主数（千人）,女／就業者数／家族従業者数（千人）,女／就業者数／雇用者数（千人）,女／就業者数／雇用者数／うち常雇（千人）
実数／平成９年平均,1997,,6371,658,240,5447,4843,3879,484,44,3334,3127,2492,174,197,2112,1716
実数／平成10年平均,1998,,6322,677,217,5405,4766,3827,481,36,3296,3075,2494,197,180,2109,1691
実数／平成11年平均,1999,,6227,646,198,5353,4695,3765,457,37,3253,3038,2463,189,161,2101,1656
実数／平成12年平均,2000,,6196,598,188,5386,4702,3749,429,33,3272,3033,2447,169,155,2114,1669
実数／平成13年平均,2001,,6175,565,180,5405,4690,3717,413,28,3261,3017,2458,152,152,2145,1673
実数／平成14年平均,2002,,6330,576,186,5540,4788,3827,425,33,3354,3082,2503,151,153,2186,1706
実数／平成15年平均,2003,,6385,595,180,5581,4824,3860,439,32,3375,3104,2525,157,148,2206,1720
実数／平成16年平均,2004,,6379,590,171,5590,4777,3820,445,28,3330,3028,2559,145,143,2260,1749
実数／平成17年平均,2005,,6453,611,158,5647,4819,3840,444,33,3342,3034,2613,168,125,2306,1785
実数／平成18年平均,2006,,6557,577,157,5781,4961,3879,429,33,3393,3091,2678,148,124,2388,1870
実数／平成19年平均,2007,,6832,577,143,6067,5221,4093,427,27,3616,3302,2740,150,117,2451,1918
実数／平成20年平均,2008,,6885,567,126,6156,5329,4118,414,21,3661,3354,2767,153,105,2494,1975
実数／平成21年平均,2009,,6781,587,119,6036,5200,4011,417,19,3555,3261,2770,170,100,2481,1939
実数／平成22年平均,2010,,6728,571,119,5995,5160,3941,399,21,3498,3192,2787,172,98,2497,1968
実数／平成９年１～３月平均,1997,01～03,6303,658,231,5390,4830,3859,474,44,3324,3146,2445,185,187,2066,1685
実数／平成９年４～６月平均,1997,04～06,6455,661,259,5500,4866,3914,479,50,3363,3142,2541,183,209,2137,1725
実数／平成９年７～９月平均,1997,07～09,6360,648,236,5452,4838,3877,494,43,3324,3105,2483,154,193,2128,1734
実数／平成９年10～12月平均,1997,10～12,6365,663,235,5446,4837,3867,489,37,3326,3117,2498,174,198,2119,1720
実数／平成10年１～３月平均,1998,01～03,6312,668,235,5384,4753,3814,477,39,3279,3070,2498,192,195,2104,1682
実数／平成10年４～６月平均,1998,04～06,6398,686,201,5489,4884,3859,472,32,3342,3148,2540,214,169,2147,1736
実数／平成10年７～９月平均,1998,07～09,6295,705,213,5360,4740,3828,507,35,3275,3053,2467,198,178,2086,1687
