"年度","区分","18歳未満[人]","18歳以上[人]","合計[人]"
"2014","合計","207","529","736"
"2015","合計","232","542","774"
"2016","合計","241","562","803"
"2017","合計","255","565","820"
"2018","１度","11","32","43"
"2018","２度","78","192","270"
"2018","３度","61","154","215"
"2018","４度","123","200","323"
"2018","合計","273","578","851"

"令和元年度港区行政資料集　愛の手帳所持者数","Ver201903",,,
