"設置主体","学校名","学校所在地","経度","緯度","分類"
"中野区","北原小学校","野方６－３０－６","139.650862973556","35.7204830083914","北原小学校"
"中野区","啓明小学校","大和町１－１８－１","139.651883139037","35.713311434129","啓明小学校"
"中野区","上鷺宮小学校","上鷺宮１－２４－３６","139.633091916585","35.730845834284","上鷺宮小学校"
"中野区","桃園第二小学校","中野６－１３－１","139.672087589945","35.7084460977798","桃園第二小学校"
"中野区","中野本郷小学校","本町４－２７－３","139.667422640611","35.6942559309474","中野本郷小学校"
"中野区","鷺の杜小学校","鷺宮４－７－３","139.638681104754","35.7217168041387","鷺の杜小学校"
"中野区","谷戸小学校","中野１－２６－１","139.67579330108","35.7017724880979","谷戸小学校"
"中野区","武蔵台小学校","上鷺宮５－１－１","139.630067944709","35.7282590924582","武蔵台小学校"
"中野区","南台小学校","南台４－４－１","139.664438541694","35.6830809566539","南台小学校"
"中野区","緑野小学校","丸山１－１７－１","139.656404768078","35.7230965111519","緑野小学校"
"中野区","江古田小学校","江古田２－１３－２８","139.6665993365","35.7247354644923","江古田小学校"
"中野区","塔山小学校","中央１－４９－１","139.682915938153","35.7012682865722","塔山小学校"
"中野区","みなみの小学校","弥生町４－２７－１１","139.67106943959","35.686259868577","みなみの小学校"
"中野区","中野第一小学校","本町３－１６－１","139.680241454771","35.6930845150023","中野第一小学校"
"中野区","桃花小学校","中央５－４３－１","139.665455140249","35.7015995010742","桃花小学校"
"中野区","白桜小学校","上高田１－２－２８","139.683765448815","35.7108842930641","白桜小学校"
"中野区","江原小学校","江原町１－３９－１","139.672527880331","35.7270578524707","江原小学校"
"中野区","美鳩小学校","大和町４－２６－５","139.642916965731","35.7161533526656","美鳩小学校"
"中野区","令和小学校","新井４－１９－２６","139.671466360817","35.7152489885349","令和小学校"
"中野区","平和の森小学校","新井３－２９－１","139.660080268722","35.7125494677972","平和の森小学校"
