"年月日","芝地区 男[人]","芝地区 女[人]","麻布地区 男[人]","麻布地区 女[人]","赤坂地区 男[人]","赤坂地区 女[人]","高輪地区 男[人]","高輪地区 女[人]","芝浦港南地区 男[人]","芝浦港南地区 女[人]"
"20180101","373","1019","361","1092","342","1117","509","1658","434","1057"

"平成30年度港区行政資料集　ひとり暮らし高齢者数（実態調査）","Ver201801",,,,,,,,,
