年・期,西暦(年),四半期,男女計／就業者数（千人）,男女計／就業者数／自営業主数（千人）,男女計／就業者数／家族従業者数（千人）,男女計／就業者数／雇用者数（千人）,男女計／就業者数／雇用者数／うち正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち常雇（再掲）（千人）,男／就業者数（千人）,男／就業者数／自営業主数（千人）,男／就業者数／家族従業者数（千人）,男／就業者数／雇用者数（千人）,男／就業者数／雇用者数／うち正規の職員・従業員（千人）,男／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男／就業者数／雇用者数／うち常雇（再掲）（千人）,女／就業者数（千人）,女／就業者数／自営業主数（千人）,女／就業者数／家族従業者数（千人）,女／就業者数／雇用者数（千人）,女／就業者数／雇用者数／うち正規の職員・従業員（千人）,女／就業者数／雇用者数／うち非正規の職員・従業員（千人）,女／就業者数／雇用者数／うち常雇（再掲）（千人）
実数／平成19年平均,2007,,6832,577,143,6067,…,…,5221,4093,427,27,3616,…,…,3302,2740,150,117,2451,…,…,1918
実数／平成20年平均,2008,,6885,567,126,6156,…,…,5329,4118,414,21,3661,…,…,3354,2767,153,105,2494,…,…,1975
実数／平成21年平均,2009,,6781,587,119,6036,…,…,5200,4011,417,19,3555,…,…,3261,2770,170,100,2481,…,…,1939
実数／平成22年平均,2010,,6728,571,119,5995,…,…,5160,3941,399,21,3498,…,…,3192,2787,172,98,2497,…,…,1968
実数／平成23年平均,2011,,7062,572,120,6330,…,…,5489,4122,412,19,3672,…,…,3367,2940,160,101,2658,…,…,2122
実数／平成24年平均,2012,,7070,563,107,6358,…,…,5499,4130,409,20,3679,…,…,3360,2940,154,87,2680,…,…,2140
実数／平成25年平均,2013,,7163,578,111,6432,3742,2164,5923,4130,414,22,3674,2502,764,3462,3033,164,90,2757,1240,1400,2461
実数／平成20年７～９月平均,2008,07～09,6905,580,129,6165,…,…,5361,4127,407,25,3678,…,…,3364,2778,173,104,2487,…,…,1997
実数／平成20年10～12月平均,2008,10～12,6907,584,118,6172,…,…,5348,4118,413,17,3666,…,…,3347,2789,171,101,2505,…,…,2002
実数／平成21年１～３月平均,2009,01～03,6771,558,119,6057,…,…,5238,4041,406,21,3598,…,…,3312,2729,152,98,2458,…,…,1926
実数／平成21年４～６月平均,2009,04～06,6832,598,117,6064,…,…,5194,4028,427,25,3550,…,…,3237,2803,171,92,2514,…,…,1958
実数／平成21年７～９月平均,2009,07～09,6774,573,117,6044,…,…,5209,4012,401,16,3574,…,…,3282,2762,173,102,2470,…,…,1928
実数／平成21年10～12月平均,2009,10～12,6749,618,124,5980,…,…,5158,3963,434,16,3497,…,…,3213,2786,184,109,2483,…,…,1944
実数／平成22年１～３月平均,2010,01～03,6745,565,101,6036,…,…,5261,3969,402,11,3529,…,…,3258,2776,163,90,2507,…,…,2003
実数／平成22年４～６月平均,2010,04～06,6721,592,120,5957,…,…,5093,3896,401,22,3448,…,…,3131,2825,192,98,2509,…,…,1962
実数／平成22年７～９月平均,2010,07～09,6656,540,119,5957,…,…,5084,3939,383,25,3514,…,…,3179,2717,158,94,2443,…,…,1905
実数／平成22年10～12月平均,2010,10～12,6791,585,135,6030,…,…,5201,3961,411,28,3501,…,…,3198,2831,174,107,2529,…,…,2002
実数／平成23年１～３月平均,2011,01～03,7102,585,118,6356,…,…,5527,4113,426,17,3648,…,…,3354,2989,159,101,2708,…,…,2173
実数／平成23年４～６月平均,2011,04～06,7153,588,135,6383,…,…,5550,4195,429,22,3721,…,…,3429,2958,159,113,2661,…,…,2121
実数／平成23年７～９月平均,2011,07～09,6946,561,116,6226,…,…,5379,4071,399,17,3635,…,…,3320,2875,162,99,2591,…,…,2058
実数／平成23年10～12月平均,2011,10～12,7047,552,110,6355,…,…,5502,4109,393,19,3683,…,…,3366,2938,159,91,2672,…,…,2135
実数／平成24年１～３月平均,2012,01～03,7071,597,115,6332,…,…,5431,4085,443,20,3608,…,…,3300,2987,154,95,2724,…,…,2131
