"年度[西暦]","会員数[人]","就業延実人員","配分金[円]"
"2018","1665","27721","657460000"
"2019","1676","25732","550225000"
"2020","1686","22596","495524000"
"2021","1702","24774","547089000"
"2022","1777","24939","564867000"

"令和5年度港区行政資料集　公益社団法人港区シルバー人材センター活動状況","Ver202303",,
