2　航行補助施設,,,,,,,
　2-（2）信号施設（管理者：海上保安庁）,,,,,,,
名　　　　称,概　　　　　要,,,,設置年度,備　　　　　考,
晴海信号所,N,35度38分,47秒,I－０表示式,昭和55年度,港内交通管制,
,E,139度46分,21秒,,,,（テレビカメラ利用）
青海信号所,N,35度36分,56秒,I－０表示式,平成27年度,港内交通管制,
,E,139度46分,33秒,,,,（テレビカメラ利用）
大井信号所,N,35度34分,50秒,I－０表示式,昭和55年度,港内交通管制,
,E,139度47分,09秒,,,,（テレビカメラ利用）
十五号地南信号所,N,35度36分,50秒,I－０表示式,平成19年度,港内交通管制,
,E,139度50分,05秒,,,,（テレビカメラ利用）
十五号地北信号所,N,35度37分,06秒,I－０表示式,平成19年度,港内交通管制,
,E,139度49分,52秒,,,,（テレビカメラ利用）
中央防信号所,N,35度36分,46秒,I－０表示式,昭和56年度,港内交通管制,
,E,139度48分,37秒,,,（テレビカメラ、レーダー利用）,
十号地信号所,N,35度36分,53秒,I－０表示式,昭和56年度,港内交通管制,
,E,139度47分,40秒,,,,（テレビカメラ利用）
羽田船舶信号所,N,35度32分,30秒,閃光式,平成22年度,港内交通管制,
,E,139度49分,31秒,,,,（テレビカメラ利用）
