11　港　湾　厚　生　施　設,,,,,
　11-（7）港湾労働者運動施設（東京都設置）,,,,,
,名称,所在地,内容,規模(㎡),運営者
,城南島ポートグランド,大田区城南島二丁目25番,フットサル場２面,4461.53,（一財）東京港湾福利厚生協会
,,,（ソフトボール練習用１面）,,
