7　荷　役　機　械,,,,,,
,,ふ頭,名称,"定格荷重
（能力）","数量
(基)",取扱品種
,,品川ふ頭,ガントリークレーン,48.5t,1,コンテナ
,,,〃,49.8t,1,〃
,,,〃,54.8t,2,〃
,,青海ふ頭,ガントリークレーン,40.6ｔ,5,コンテナ
,,,〃,56.7t,4,〃
,,,〃,57.5t,2,〃
,,大井ふ頭,ガントリークレーン,40.6ｔ,11,コンテナ
,,,〃,43.8ｔ,6,〃
,,,〃,61.0ｔ,5,〃
,,中央防波堤内側ばら物ふ頭,アンローダー（走行式）,　　　500t/ｈ,2,石炭、コークス、珪砂
,,,ベルトコンベヤー,"　　1,200t/h",1,
,,中央防波堤外側外貿コンテナふ頭,ガントリークレーン,65.0ｔ,6,コンテナ
