 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,258,417","87,803,626","1,233,963","12,734,630","1,172,632","12,155,053","2,867,660","35,758,252","2,788,339","34,507,158","1,226,433","15,052,864","1,930,361","24,257,880"
農水産品,,"455,415","5,635,238","29,377","258,736","29,369","258,625","390,069","4,952,748","331,316","4,118,892","16,938","206,303","19,031","217,451"
1,麦,"13,832","306,314",-,4,-,4,"6,680","213,896",938,"23,773",265,"13,089","6,887","79,325"
2,米,"7,097","77,869",557,"4,369",557,"4,369","1,740","19,630","1,740","19,630","3,270","38,610","1,530","15,260"
3,とうもろこし,875,"10,565",-,30,-,30,875,"10,108",875,"10,108",-,427,-,-
4,豆類,"8,560","155,904",-,355,-,355,"6,780","134,447","6,780","134,447","1,555","17,175",225,"3,927"
5,その他雑穀,500,"8,429",-,-,-,-,255,"6,047",255,"6,047",180,"1,897",65,485
6,野菜・果物,"162,855","1,927,398","12,491","42,294","12,483","42,183","136,912","1,743,008","83,901","1,099,275","7,552","85,529","5,900","56,567"
7,綿花,60,525,-,201,-,201,60,294,60,294,-,-,-,30
8,その他農産品,"25,833","265,961","1,479","10,397","1,479","10,397","23,991","246,968","23,991","246,968",268,"6,399",95,"2,197"
9,羊毛,45,506,-,-,-,-,45,485,45,485,-,21,-,-
10,その他畜産品,"135,683","1,738,532","3,907","35,547","3,907","35,547","130,271","1,660,448","130,271","1,660,448",910,"15,342",595,"27,195"
11,水産品,"100,075","1,143,235","10,943","165,539","10,943","165,539","82,460","917,417","82,460","917,417","2,938","27,814","3,734","32,465"
林産品,,"93,200","1,148,144","1,635","18,960","1,635","18,254","83,729","1,019,361","81,593","953,101","6,515","77,669","1,321","32,154"
12,原木,384,"6,562",219,"2,638",219,"2,638",165,"2,842",165,"2,842",-,22,-,"1,060"
13,製材,"82,797","984,010","1,371","15,755","1,371","15,049","74,918","886,713","72,782","820,453","5,650","64,337",858,"17,205"
14,樹脂類,"6,454","85,900",39,315,39,315,"5,340","73,240","5,340","73,240",720,"7,940",355,"4,405"
15,木材チップ,592,"12,476",6,144,6,144,582,"5,770",582,"5,770",-,30,4,"6,532"
16,その他林産品,339,"9,355",-,53,-,53,105,"1,345",105,"1,345",130,"5,130",104,"2,827"
17,薪炭,"2,634","49,841",-,55,-,55,"2,619","49,451","2,619","49,451",15,210,-,125
鉱産品,,"379,392","5,471,750","2,434","23,748","2,434","23,748","25,078","483,534","20,128","302,832","6,964","99,655","344,916","4,864,813"
18,石炭,"8,462","158,276",-,262,-,262,"8,462","155,454","3,512","47,795",-,-,-,"2,560"
19,鉄鉱石,21,721,-,-,-,-,21,721,21,721,-,-,-,-
20,金属鉱,695,"6,841",-,4,-,4,555,"4,887",555,"4,887",140,"1,950",-,-
21,砂利・砂,"266,601","3,759,666",5,417,5,417,642,"19,955",642,"19,955","1,930","31,026","264,024","3,708,268"
22,石材,"62,456","934,780",845,"6,082",845,"6,082","6,306","96,023","6,306","96,015",190,"11,373","55,115","821,302"
23,原油,30,"2,266",-,-,-,-,30,"2,266",30,"2,266",-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"16,580","224,568",-,1,-,1,-,"1,056",-,"1,056",60,800,"16,520","222,711"
26,原塩,823,"16,213",4,50,4,50,819,"12,363",819,"12,363",-,20,-,"3,780"
27,非金属鉱物,"23,724","368,419","1,580","16,932","1,580","16,932","8,243","190,809","8,243","117,774","4,644","54,486","9,257","106,192"
金属機械工業品,,"2,400,332","29,400,202","498,298","5,271,519","494,012","5,238,176","681,263","8,443,181","674,940","8,358,794","631,383","8,282,305","589,388","7,403,197"
28,鉄鋼,"9,821","91,463","7,316","43,421","4,237","25,215","2,185","37,057","2,185","30,228",180,"2,610",140,"8,375"
