 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"305,089","129,514","3,586,725","1,420,330","100,511","126,681","1,064,961","1,390,290","204,578","2,833","2,521,764","30,040"
,99.0%,98.3%,97.1%,100.4%,104.0%,97.8%,95.0%,100.8%,96.7%,133.2%,98.0%,87.4%
外航計,"281,088","109,304","3,310,652","1,202,988","89,489","108,172","934,522","1,194,461","191,599","1,132","2,376,130","8,527"
,98.5%,96.0%,97.0%,104.0%,104.2%,95.6%,96.0%,104.4%,96.0%,166.5%,97.4%,68.5%
外航定期計,"281,088","109,304","3,310,652","1,202,988","89,489","108,172","934,522","1,194,461","191,599","1,132","2,376,130","8,527"
,98.5%,96.0%,97.0%,104.0%,104.2%,95.6%,96.0%,104.4%,96.0%,166.5%,97.4%,68.5%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"23,149","16,478","384,651","167,921","5,126","15,929","113,764","165,121","18,023",549,"270,887","2,800"
,55.0%,74.0%,78.9%,90.3%,30.1%,72.1%,63.1%,90.7%,71.9%,308.4%,88.2%,74.0%
北米東岸(カリビア海含む),"9,226","1,397","114,187","27,942","4,503","1,393","53,675","27,773","4,723",4,"60,512",169
,85.9%,59.4%,89.5%,119.2%,89.1%,59.3%,96.5%,120.0%,83.0%,100.0%,84.0%,56.0%
北欧・地中海,"39,037","3,232","315,119","30,727","22,810","3,221","171,469","30,277","16,227",11,"143,650",450
,188.4%,132.7%,139.9%,131.5%,222.0%,134.7%,171.2%,132.1%,155.4%,25.6%,114.9%,98.0%
南米西岸,"2,295","1,058","32,888","20,836",329,"1,055","4,524","20,495","1,966",3,"28,364",341
,113.7%,49.7%,82.5%,123.1%,172.3%,52.3%,197.4%,131.3%,107.5%,2.8%,75.5%,25.9%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
