 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,911","15,061,038","23,382","179,911,843",713,"13,057,756","8,449","153,934,887"
外航計,449,"11,233,657","5,247","134,062,240",428,"10,999,947","4,961","128,869,194"
外航定期計,429,"11,038,009","4,964","128,921,790",428,"10,999,947","4,961","128,869,194"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),32,"2,255,182",445,"30,581,937",32,"2,255,182",445,"30,581,937"
北米東岸(カリビア海含む),12,"681,522",131,"8,676,652",12,"681,522",130,"8,669,650"
北欧・地中海,12,"1,187,303",100,"9,845,873",12,"1,187,303",100,"9,845,873"
南米西岸,3,"384,237",46,"5,942,082",3,"384,237",46,"5,942,082"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,5,"231,586",55,"2,420,932",5,"231,586",55,"2,420,932"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,155,"4,019,310","1,785","44,860,905",155,"4,019,310","1,785","44,860,905"
台湾,-,-,-,-,-,-,-,-
韓国,44,"377,328",526,"4,623,974",44,"377,328",525,"4,616,442"
中国(香港含む),166,"1,901,541","1,876","21,969,435",165,"1,863,479","1,875","21,931,373"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,20,"195,648",283,"5,140,450",-,-,-,-
内航計,"1,462","3,827,381","18,135","45,849,603",285,"2,057,809","3,488","25,065,693"
内航定期計,549,"2,778,979","6,776","33,361,514",282,"2,056,315","3,439","24,956,130"
北海道,109,"1,165,604","1,235","13,157,007",109,"1,165,604","1,235","13,157,007"
東北,64,"55,739",687,"556,606",64,"55,739",681,"552,112"
関東,106,"33,629","1,113","345,128",1,749,4,"2,245"
伊豆諸島,132,"310,704","1,874","3,648,198",-,-,1,155
中部,21,"15,729",387,"428,687",21,"15,729",387,"428,687"
近畿,12,"8,988",144,"258,239",12,"8,988",144,"258,239"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,81,"937,083","1,052","11,969,471",51,"558,003",703,"7,559,507"
沖縄,24,"251,503",284,"2,998,178",24,"251,503",284,"2,998,178"
内航不定期,913,"1,048,402","11,359","12,488,089",3,"1,494",49,"109,563"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
