施行区分,No.,路線名,区間（自）,区間（至）,所在区市町,延長(m),主な選定理由
東京都施行,都‐ 1,放射6号線,環状6,中央二丁目,中野,80,骨格
東京都施行,都‐ 2,放射8号線,補助94付近,放射10,文京,790,骨格
東京都施行,都‐ 3,放射8号線,放射12,補助94,文京・台東,550,骨格
東京都施行,都‐ 4,放射9号線,補助124付近,環状2付近,千代田,1300,骨格
東京都施行,都‐ 5,放射16号線,東葛西四丁目,都県境(旧江戸川橋梁部),江戸川,230,骨格
東京都施行,都‐ 6,放射21号線,補助1,補助3,港,890,骨格
東京都施行,都‐ 7,放射23号線,放射5付近,補助61付近,杉並,210,骨格
東京都施行,都‐ 8,放射25号線,補助68,環状4付近,新宿,1020,骨格
東京都施行,都‐ 9,放射31号線,放射32,補助115,江東,460,骨格
東京都施行,都‐10,放射32号線,補助103,錦糸町駅,墨田,1220,骨格
東京都施行,都‐11,放射32号線,放射31,小名木川橋,江東,410,骨格
東京都施行,都‐12,放射35号線,環状7,放射36,練馬,2780,骨格
東京都施行,都‐13,環状3号線,環状2,放射20,中央・港,2340,骨格
東京都施行,都‐14,環状4号線,放射19,放射3,港,1420,骨格
東京都施行,都‐15,環状4号線,放射25,補助74,新宿,650,骨格
東京都施行,都‐16,環状4号線,補助119,東向島三丁目（百花園入口交差点）,墨田,530,骨格
東京都施行,都‐17,環状4号線,京成押上線交差部,補助116,墨田,1160,骨格
東京都施行,都‐18,環状4号線,放射26,放射8,文京,420,骨格
東京都施行,都‐19,環状4号線,補助79,放射9付近,文京,700,骨格
東京都施行,都‐20,環状4号線,道灌山下交差点(補助94交差点付近),-,文京,130,骨格
東京都施行,都‐21,環状4号線,放射11付近,環状5の2,荒川,820,骨格
東京都施行,都‐22,環状5の1号線,補助74,豊)高田三丁目,新宿・豊島,830,骨格
東京都施行,都‐23,環状5の1号線,放射8支線2,放射9,豊島・北,1360,骨格
東京都施行,都‐24,環状7号線,補助83付近,補助89付近,北,580,骨格
東京都施行,都‐25,外環の2,放射6,石神井町八丁目(前原交差点),練馬,3340,交通
東京都施行,都‐26,補助4号線,補助2,六本木五丁目（六本木五丁目交差点）,港,820,交通
東京都施行,都‐27,補助11号線,港)白金二丁目,環状4付近,港・渋谷,930,防災
東京都施行,都‐28,補助26号線,放射2付近,東急目黒線,品川,480,骨格
東京都施行,都‐29,補助26号線,補助52,補助54,世田谷・目黒・渋谷,990,骨格
東京都施行,都‐30,補助26号線,補助61,放射5,渋谷,210,骨格
東京都施行,都‐31,補助26号線,新)西落合四丁目,放射7,中野・新宿,260,骨格
東京都施行,都‐32,補助28号線,放射1,環状8,大田,800,交通
東京都施行,都‐33,補助28号線,補助40,補助33付近,大田,530,交通
東京都施行,都‐34,補助52号線,補助128,環状8,世田谷,2300,安全
東京都施行,都‐35,補助54号線,補助217付近,調布市境,世田谷,410,交通
東京都施行,都‐36,補助61号線,放射23,環状7付近,渋谷・杉並,1040,安全
東京都施行,都‐37,補助62号線,補助26,環状7,中野・杉並,1140,交通
東京都施行,都‐38,補助74号線,補助26,補助220,中野,720,交通
東京都施行,都‐39,補助74号線,環状8,旧早稲田通り,杉並,1200,交通
東京都施行,都‐40,補助83号線,環状7,補助73,北,490,交通
東京都施行,都‐41,補助85号線,上十条一丁目,上十条三丁目（埼京線立体）,北,610,交通
