施行区分,NO.,路線名,区間（自）,区間（至）,所在区,延長(m),主な選定理由
区施行,区‐1,補助7号線,補助10,環状4,港,260,防災･安全
区施行,区‐2,補助14号線,高輪三丁目(高輪警察署前交差点),環状4,港,340,防災･まち
区施行,区‐3,補助14号線,環状4,高輪四丁目(柘榴坂上),港,310,防災･まち
区施行,区‐4,補助23号線,補助5,放射4,港,490,安全･まち
区施行,区‐5,補助58号線,環状3,南元町,新宿,610,防災･安全
区施行,区‐6,補助220号線,妙正寺川付近,-,新宿,70,安全･まち
区施行,区‐7,新宿駅付近街路10号線,放射5,環状5の1支線1,新宿,160,拠点･まち
区施行,区‐8,補助114号線,放射13支線1,墨田区画街路5,墨田,110,拠点･まち
区施行,区‐9,墨田区画街路6号線,補助326,墨田区画街路7,墨田,110,拠点･まち
区施行,区‐10,墨田区画街路7号線,墨田区画街路6,放射13支線1,墨田,160,拠点･まち
区施行,区‐11,墨田区画街路10号線,放射32,放射13支線1,墨田,330,拠点･まち
区施行,区‐12,墨田区画街路11号線,墨田区画街路10,墨田区歩行者専用道1,墨田,190,拠点･まち
区施行,区‐13,墨田区歩行者専用道1号線,墨田区画街路11,墨田区画街路5,墨田,20,拠点･まち
区施行,区‐14,補助199号線,補助200付近(浜園橋付近),-,江東,90,防災･まち
区施行,区‐15,補助199号線,環状3支線2付近(蛤橋付近),-,江東,90,防災･まち
区施行,区‐16,補助162号線,補助149,補助161付近,品川,840,交通･まち
区施行,区‐17,補助163号線,西品川一丁目,補助26付近,品川,630,拠点･まち
区施行,区‐18,補助205号線,品川区画街路3付近,補助29,品川,310,交通･防災
区施行,区‐19,補助127号線,自由が丘駅,放射3,目黒,790,拠点･まち
区施行,区‐20,補助34号線,放射17,放射19,大田,410,防災･安全
区施行,区‐21,補助34号線,放射19,補助27,大田,560,交通･まち
区施行,区‐22,補助43号線,補助44付近,仲池上二丁目,大田,560,防災･まち
区施行,区‐23,補助44号線,環状7,上池台五丁目,大田,530,防災･安全
区施行,区‐24,補助44号線,補助43付近,呑川,大田,170,防災･安全
区施行,区‐25,大田区画街路7号線,補助36,蒲田駅(交通広場約5900平方メートル),大田,60,安全･拠点
区施行,区‐26,補助54号線,補助128,補助154,世田谷,780,防災･安全
区施行,区‐27,補助128号線,放射5,東鉄10付17,世田谷,170,交通･まち
区施行,区‐28,補助154号線,松原二丁目,補助54,世田谷,710,交通･防災
区施行,区‐29,補助216号線,補助213との交差点付近,-,世田谷,390,交通･防災
区施行,区‐30,補助216号線,補助219,補助129,世田谷,1030,交通･まち
区施行,区‐31,補助217号線,補助54付近,-,世田谷,160,防災･まち
区施行,区‐32,世田谷区画街路7号線,環状8,上野毛二丁目,世田谷,400,安全･まち
区施行,区‐33,世田谷区画街路11号線,成城学園前駅(交通広場約5000平方メートル),-,世田谷,50,拠点･まち
区施行,区‐34,世田谷区画街路12号線,成城学園前駅,-,世田谷,30,拠点･まち
区施行,区‐35,補助18号線,代官山町,渋谷駅桜丘口再開発事業区域境,渋谷,470,交通･拠点
区施行,区‐36,補助220号線,補助71,補助74,中野,760,防災･まち
区施行,区‐37,補助220号線,早稲田通り付近,中野区画街路3,中野,480,防災･まち
区施行,区‐38,補助220号線,西武新宿線付近,新宿区境,中野,420,防災･まち
区施行,区‐39,補助227号線,妙正寺川,補助76,中野,940,防災･まち
区施行,区‐40,中野区画街路3号線,新井薬師前駅(交通広場約3700平方メートル),-,中野,-,拠点･まち
区施行,区‐41,中野区画街路4号線,沼袋駅,補助76(交通広場約2800平方メートル),中野,520,防災･まち
区施行,区‐42,補助132号線,放射6,西荻南三丁目,杉並,1070,防災･拠点
区施行,区‐43,補助216号線,神田川付近,放射5,杉並,470,防災･まち
区施行,区‐44,補助221号線,環状7,中野区境,杉並,290,防災･拠点
区施行,区‐45,補助227号線,補助74,高円寺駅北口,杉並,420,防災･拠点
区施行,区‐46,補助80号線,南大塚二丁目,放射8,豊島,290,安全･拠点
区施行,区‐47,補助243号線,補助86,補助242,北,530,安全･まち
区施行,区‐48,補助182号線,環状4,西日暮里二丁目,荒川,520,安全･まち
区施行,区‐49,補助189号線,放射12,補助321,荒川,740,交通･防災
区施行,区‐50,補助193号線,放射11,補助100,荒川,1360,交通･防災
区施行,区‐51,補助234号線,放射8,練馬区境,板橋,260,防災･まち
区施行,区‐52,補助244号線,放射8,富士見街道,板橋,530,防災･まち
区施行,区‐53,補助249号線,放射35付近,-,板橋,100,交通･安全
区施行,区‐54,補助132号線,石神井町五丁目（豊島橋交差点～石神井公園前交差点）,-,練馬,300,安全･拠点
区施行,区‐55,補助135号線,補助230付近,-,練馬,460,交通･まち
区施行,区‐56,補助135号線,補助156付近,-,練馬,70,交通･安全
区施行,区‐57,補助135号線,放射6,練馬区画街路6,練馬,2770,交通･拠点
区施行,区‐58,補助230号線,放射6,補助76,練馬,910,交通･まち
区施行,区‐59,補助232号線,石神井公園駅,練馬区画街路7,練馬,220,交通･まち
区施行,区‐60,補助232号線,補助135付近,-,練馬,510,交通･防災
区施行,区‐61,練馬区画街路1号線,補助172,練馬二丁目,練馬,360,交通･拠点
区施行,区‐62,外環の2,上石神井駅（交通広場約5100平方メートル）,-,練馬,-,拠点･まち
区施行,区‐63,補助137号線,梅田七丁目,補助138,足立,100,防災･安全
区施行,区‐64,補助253号線,西新井一丁目,環状7,足立,260,交通･防災
区施行,区‐65,補助254号線,補助136,補助138,足立,800,防災･拠点
区施行,区‐66,補助255号線,環状7,梅島一丁目(梅島一丁目交差点),足立,680,防災･まち
区施行,区‐67,補助256号線,環状7,補助138,足立,840,防災･安全
区施行,区‐68,足立区画街路7号線,環状7,新田三丁目,足立,390,安全･まち
区施行,区‐69,足立区画街路8号線,西新井栄町一丁目,補助138,足立,220,安全･まち
区施行,区‐70,足立区画街路9号線,足立区画街路8,西新井駅(交通広場約5500平方メートル),足立,70,拠点･まち
区施行,区‐71,足立区画街路13号線,足立区画街路12,北千住駅,足立,50,安全･まち
区施行,区‐72,竹の塚駅広場1,竹ノ塚駅(交通広場約7090平方メートル),-,足立,-,拠点･まち
区施行,区‐73,補助138号線外,南水元一丁目付近,-,葛飾,430,防災
区施行,区‐74,補助261号線,西水元五丁目,補助269,葛飾,910,交通
区施行,区‐75,補助264号線,細田三丁目付近,-,葛飾,30,交通･安全
区施行,区‐76,補助264号線,補助140,補助273,葛飾,880,防災･安全
区施行,区‐77,補助272号線,京成本線,宝町二丁目,葛飾,370,防災･安全
区施行,区‐78,補助276号線,補助264,細田四丁目,葛飾,520,交通
区施行,区‐79,補助279号線,補助276付近,柴又一丁目,葛飾,930,安全
区施行,区‐80,補助282号線,北総鉄道,補助264付近,葛飾,740,交通
区施行,区‐81,葛飾区画街路3号線,補助274,立石駅(交通広場約3800平方メートル),葛飾,80,拠点･まち
区施行,区‐82,葛飾区画街路4号線,四つ木一丁目付近,-,葛飾,280,防災･まち
区施行,区‐83,葛飾区画街路6号線,葛飾区画街路4,四ツ木駅(交通広場約2600平方メートル),葛飾,80,拠点･まち
区施行,区‐84,鉄押付3号線,四つ木一丁目付近,-,葛飾,210,まち
区施行,区‐85,鉄押付6号線,立石八丁目付近,-,葛飾,140,まち
