施行区分,NO.,路線名,区間（自）,区間（至）,所在区市町,延長(m),主な選定理由
その他施行,その他‐1,大田区画街路4号線,環状8,大田区画街路5,大田,530,拠点･まち
その他施行,その他‐2,大田区画街路5号線,環状8,大田区画街路4,大田,380,拠点･まち
その他施行,その他‐3,大田区画街路6号線,大田区画街路4,大田区画街路5(交通広場約7000平方メートル),大田,350,拠点･まち
その他施行,その他‐4,補助221号線,補助223交通広場,杉並区境,中野,460,まち
その他施行,その他‐5,中野区画街路5号線(中野駅南口駅前広場),中野駅(交通広場約4150平方メートル),-,中野,-,拠点･まち
その他施行,その他‐6,補助73号線,北区画街路7,補助85,北,80,拠点･まち
その他施行,その他‐7,補助85号線,補助73,JR埼京線付近,北,170,拠点･まち
その他施行,その他‐8,北区画街路7号線,十条駅,補助73(交通広場約4400平方メートル),北,40,拠点･まち
その他施行,その他‐9,板橋区画街路8号線,上板橋駅,放射8(交通広場約3900平方メートル),板橋,210,防災･まち
その他施行,その他‐10,補助285号線,小岩駅付近(交通広場約5400平方メートル),-,江戸川,190,交通･まち
その他施行,その他‐11,江戸川区画街路26号線,補助285,補助285,江戸川,280,交通･まち
その他施行,その他‐12,江戸川区画街路27号線,補助285,江戸川区画街路28,江戸川,100,交通･まち
その他施行,その他‐13,江戸川区画街路29号線,江戸川区画街路28,放射14(交通広場約6100平方メートル),江戸川,200,交通･まち
その他施行,その他‐14,小平3・4・12号線,小川駅,小川西町四丁目(交通広場約3200平方メートル),小平,40,拠点･まち
その他施行,その他‐15,小平3・4・19号線,小平駅,小平3･4･14(交通広場約5000平方メートル),小平,90,拠点･まち
その他施行,その他‐16,福生3・4・21号線,福生3・4・26,青梅市境,瑞穂,1320,安全･拠点
その他施行,その他‐17,福生3・4・26号線,二本木字西樽口,都県境(入間市境),瑞穂,360,交通･拠点
