施行区分,NO.,路線名,区間（自）,区間（至）,所在市町,延長(m),主な選定理由
市町施行,市町‐1,八王子3・3・74号線,八王子3・3・10,八王子3・5・47,八王子,430,交通･拠点
市町施行,市町‐2,八王子3・4・54号線,八王子3・4・46,八王子3・5・49,八王子,300,交通･安全
市町施行,市町‐3,八王子3・4・58号線,山田町,八王子3・4・16付近,八王子,340,安全
市町施行,市町‐4,八王子3・4・61号線,楢原町,八王子3・5・53,八王子,390,交通･安全
市町施行,市町‐5,八王子3・4・61号線,横川町,清川町,八王子,270,交通･安全
市町施行,市町‐6,八王子3・4・8号線,八王子3・3・10,八王子3・3・68,八王子・町田,1310,交通･拠点
市町施行,市町‐7,八王子3・4・64号線,八王子8・5・1,八王子3・3・1(交通広場約5000平方メートル),八王子,30,交通･拠点
市町施行,市町‐8,八王子8・5・1号線,八王子3・4・64,八王子都市計画通路1号,八王子,80,安全･まち
市町施行,市町‐9,八王子都市計画通路1号線,八王子8・5・1,市道浅川78,八王子,20,安全･まち
市町施行,市町‐10,立川3・2・10号線,立川3・4・24、立川3・4・25,国立3・4・8,立川,900,交通･安全
市町施行,市町‐11,立川3・4・15号線,市道東112,立川3・4・21,立川,270,交通･拠点
市町施行,市町‐12,立川3・4・21号線,国分寺3・4・10,主地7,立川,550,安全･拠点
市町施行,市町‐13,立鉄中付1号線,立川3・3・30,市道南392,立川,190,交通･拠点
市町施行,市町‐14,三鷹3・4・9号線,三鷹3・4・17,三鷹3・2・6,三鷹,750,交通･防災
市町施行,市町‐15,三鷹3・4・13号線,三鷹3・4・7,連雀通り,三鷹,70,安全･拠点
市町施行,市町‐16,青梅3・4・13号線,青梅3・6・10,青梅3・5・12,青梅,840,拠点･まち
市町施行,市町‐17,青梅3・5・12号線,青梅3・4・13,主地44,青梅,520,拠点･まち
市町施行,市町‐18,青梅3・4・18号線,東青梅六丁目(東青梅六丁目東交差点),青梅3・4・20,青梅,660,防災･まち
市町施行,市町‐19,青梅3・5・24号線,青梅3・5・7,青梅3・5・5,青梅,90,交通･まち
市町施行,市町‐20,府中3・4・11号線,府中3・4・16,府中3・4・12,府中,70,交通･拠点
市町施行,市町‐21,昭島3・4・1号線,昭島3・4・18,緑町一丁目,昭島,110,交通･拠点
市町施行,市町‐22,昭島3・4・18号線,田中町一丁目,昭島3・4・2,昭島,570,交通･拠点
市町施行,市町‐23,調布3・4・8号線,柴崎駅,調布3・4・10(交通広場約2500平方メートル),調布,190,防災･拠点
市町施行,市町‐24,調布3・4・9号線,調布3・4・17,西つつじケ丘四丁目,調布,240,交通･防災
市町施行,市町‐25,調布3・4・11号線,柴崎駅,調布3・4・1(交通広場約2500平方メートル),調布,100,防災･拠点
市町施行,市町‐26,調布3・4・21号線,つつじヶ丘駅,調布3・4・10(交通広場約2500平方メートル),調布,150,安全･拠点
市町施行,市町‐27,調布3・4・26号線,布田駅,都道119,調布,140,防災･拠点
