"年度","学校屋内プール開放 港南小[人]","学校屋内プール開放 本村小[人]","学校屋内プール開放 赤坂小[人]","学校屋内プール開放 御成門中[人]","学校屋内プール開放 高松中[人]","学校屋内プール開放 高陵中[人]","学校屋内プール開放 お台場学園港陽中[人]","夏休み学校プール開放 学校数[校]","夏休み学校プール開放 利用者数[人]"
"2013","7695","10293","11174","10285","5470","4540","2834","4","273"
"2014","7487","6189","10662","8943","7321","5494","3043","5","210"
"2015","7842","8005","10792","8428","6655","5623","2730","3","404"
"2016","8025","10269","5363","8903","7782","5945","2916","3","473"
"2017","8744","14929","15236","5184","7175","6034","2021","2","255"

"平成30年度港区行政資料集　施設利用状況一覧 プール開放利用者数","Ver201803",,,,,,,,
