地域区分,国・地域（人）,人口
総数,総数,418116
アジア,アジア,353286
アジア,アフガニスタン,127
アジア,アラブ首長国連邦,43
アジア,ミャンマー,5128
アジア,バーレーン,1
アジア,ブータン,11
アジア,バングラデシュ,3457
アジア,ブルネイ,5
アジア,カンボジア,244
アジア,スリランカ,1294
アジア,中国,157070
アジア,キプロス,10
アジア,インド,9644
アジア,インドネシア,2682
アジア,イラン,1297
アジア,イラク,29
アジア,イスラエル,354
アジア,ヨルダン,42
アジア,韓国・朝鮮,116158
アジア,クウェート,14
アジア,ラオス,240
アジア,レバノン,56
アジア,マレーシア,2325
アジア,モンゴル,1119
アジア,オマーン,4
アジア,モルディブ,9
アジア,ネパール,6416
アジア,パキスタン,1350
アジア,フィリピン,31502
アジア,カタール,15
アジア,サウジアラビア,188
アジア,シリア,48
アジア,シンガポール,1174
アジア,タイ,7202
アジア,東ティモール,1
アジア,トルコ,604
アジア,ベトナム,3409
アジア,イエメン,10
アジア,パレスチナ,4
ヨーロッパ,ヨーロッパ,25844
ヨーロッパ,アルバニア,6
ヨーロッパ,オーストリア,253
ヨーロッパ,ベルギー,322
ヨーロッパ,ブルガリア,159
ヨーロッパ,ベラルーシ,105
ヨーロッパ,クロアチア,44
ヨーロッパ,チェコ,89
ヨーロッパ,デンマーク,257
ヨーロッパ,エストニア,44
ヨーロッパ,フィンランド,253
ヨーロッパ,フランス,5587
ヨーロッパ,ドイツ,2728
ヨーロッパ,ギリシャ,79
ヨーロッパ,ハンガリー,169
ヨーロッパ,アイスランド,31
ヨーロッパ,アイルランド,447
ヨーロッパ,イタリア,1285
ヨーロッパ,キルギス,38
ヨーロッパ,カザフスタン,52
ヨーロッパ,リヒテンシュタイン,5
ヨーロッパ,ルクセンブルク,10
ヨーロッパ,ラトビア,24
ヨーロッパ,リトアニア,74
ヨーロッパ,モナコ,0
ヨーロッパ,マルタ,18
ヨーロッパ,モルドバ,31
ヨーロッパ,マケドニア,16
ヨーロッパ,オランダ,480
ヨーロッパ,ノルウェー,141
ヨーロッパ,ポーランド,292
ヨーロッパ,ポルトガル,154
ヨーロッパ,ルーマニア,596
ヨーロッパ,ロシア,2156
ヨーロッパ,サンマリノ,0
ヨーロッパ,スペイン,692
ヨーロッパ,スウェーデン,869
ヨーロッパ,スイス,482
ヨーロッパ,トルクメニスタン,3
ヨーロッパ,タジキスタン,14
ヨーロッパ,英国,6986
ヨーロッパ,ウクライナ,362
ヨーロッパ,ウズベキスタン,304
ヨーロッパ,アルメニア,20
ヨーロッパ,アゼルバイジャン,8
ヨーロッパ,アンドラ,0
ヨーロッパ,グルジア,9
ヨーロッパ,スロベニア,17
ヨーロッパ,スロバキア,62
ヨーロッパ,ボスニア・ヘルツェゴビナ,12
ヨーロッパ,セルビア,25
ヨーロッパ,ヴァチカン,0
ヨーロッパ,モンテネグロ,1
ヨーロッパ,コソボ,0
ヨーロッパ,※セルビア・モンテネグロ,33
アフリカ,アフリカ,2958
アフリカ,アルジェリア,27
アフリカ,ブルンジ,4
アフリカ,ボツワナ,6
アフリカ,カメルーン,75
アフリカ,中央アフリカ,1
アフリカ,チャド,0
アフリカ,コンゴ共和国,5
アフリカ,コンゴ民主共和国,76
アフリカ,カーボベルデ,0
アフリカ,ベナン,18
アフリカ,ジブチ,1
アフリカ,エチオピア,144
アフリカ,赤道ギニア,0
アフリカ,エリトリア,4
アフリカ,ガボン,2
アフリカ,ガーナ,577
アフリカ,ギニア,130
アフリカ,ガンビア,7
アフリカ,コートジボアール,37
アフリカ,ケニア,102
アフリカ,リベリア,7
アフリカ,リビア,12
アフリカ,レソト,15
アフリカ,マダガスカル,20
アフリカ,マリ,40
アフリカ,モーリタニア,2
アフリカ,モロッコ,127
アフリカ,マラウイ,7
アフリカ,モーリシャス,20
アフリカ,モザンビーク,2
アフリカ,ニジェール,2
アフリカ,ナイジェリア,608
アフリカ,ナミビア,1
アフリカ,ルワンダ,4
アフリカ,セネガル,83
アフリカ,シエラレオネ,28
アフリカ,ソマリア,1
アフリカ,スーダン,34
アフリカ,スワジランド,0
アフリカ,サントメ・プリンシペ,0
アフリカ,セイシェル,1
アフリカ,タンザニア,60
アフリカ,トーゴ,9
アフリカ,チュニジア,121
アフリカ,ウガンダ,113
アフリカ,南アフリカ,157
アフリカ,エジプト,217
アフリカ,ブルキナファソ,4
アフリカ,ザンビア,18
アフリカ,ジンバブエ,22
