地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,インド,タイ,英国,ネパール,フランス,ミャンマー,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,421695,162635,115845,30722,18607,9644,7275,6799,6801,5530,5259,52578,416636,5059
1,13100,区部,352436,137401,98183,23275,15430,8873,5904,6053,5858,5220,5015,41224,347336,5100
4,13101,千代田区,2736,1016,448,45,227,109,39,71,39,233,15,494,2731,5
4,13102,中央区,5054,2012,1079,127,313,316,77,105,58,113,36,818,4954,100
4,13103,港区,22127,3259,3883,1021,4669,946,204,1444,77,901,52,5671,21824,303
4,13104,新宿区,35702,11912,14540,817,923,251,677,425,863,1088,1240,2966,34993,709
4,13105,文京区,7384,2828,2284,200,329,123,151,99,124,210,116,920,7245,139
4,13106,台東区,12653,5244,4381,711,188,626,225,82,177,106,71,842,12287,366
4,13107,墨田区,9767,4428,2320,1351,123,72,374,60,45,47,74,873,9531,236
4,13108,江東区,21229,10226,5414,1474,351,1116,367,122,128,118,145,1768,19871,1358
4,13109,品川区,11586,4034,2613,750,616,706,167,245,394,140,206,1715,11975,-389
4,13110,目黒区,7528,1463,1561,576,791,199,132,381,208,238,62,1917,7810,-282
4,13111,大田区,18594,7328,4060,2155,604,348,424,176,651,98,103,2647,18873,-279
4,13112,世田谷区,16292,4051,4403,861,1506,400,226,639,233,396,85,3492,15969,323
4,13113,渋谷区,10217,2057,1782,344,1683,159,210,818,140,535,39,2450,10307,-90
4,13114,中野区,12729,4590,4281,456,427,206,229,217,403,179,271,1470,12190,539
4,13115,杉並区,11311,3783,3470,510,653,114,202,240,538,163,167,1471,11545,-234
4,13116,豊島区,19520,11474,3561,422,376,122,257,163,477,201,940,1527,18324,1196
4,13117,北区,16184,8712,3378,946,207,159,159,109,160,61,711,1582,16113,71
4,13118,荒川区,15687,6446,7145,557,126,76,148,41,239,41,250,618,15479,208
4,13119,板橋区,18342,9923,4181,1417,272,76,252,146,171,96,184,1624,18188,154
4,13120,練馬区,13977,5267,4694,940,466,207,252,191,207,122,43,1588,13863,114
4,13121,足立区,23330,8494,8658,3415,208,104,419,85,175,39,54,1679,23398,-68
4,13122,葛飾区,14679,6917,4198,1478,139,87,247,69,153,34,86,1271,14450,229
4,13123,江戸川区,25808,11937,5849,2702,233,2351,466,125,198,61,65,1821,25416,392
1,13200,市部,68346,25100,17506,7164,3106,761,1344,739,939,310,243,11134,68373,-27
4,13201,八王子市,9236,3669,2232,1084,252,108,137,64,141,32,30,1487,9277,-41
4,13202,立川市,3633,1647,999,321,124,45,31,19,53,5,6,383,3684,-51
4,13203,武蔵野市,2360,862,577,86,234,41,49,58,41,33,9,370,2424,-64
4,13204,三鷹市,3086,916,848,186,336,13,76,89,24,34,16,548,3104,-18
4,13205,青梅市,1589,433,261,362,59,20,59,11,8,2,1,373,1552,37
4,13206,府中市,4508,1677,1032,471,275,42,109,51,30,23,29,769,4504,4
4,13207,昭島市,2182,850,649,222,50,11,26,8,27,1,5,333,2246,-64
4,13208,調布市,4077,1444,1245,286,166,85,100,41,46,26,22,616,4029,48
4,13209,町田市,5440,2266,1245,491,231,77,118,72,30,25,20,865,5448,-8
4,13210,小金井市,2404,1023,409,115,153,26,49,50,101,21,15,442,2355,49
4,13211,小平市,4292,1219,1963,269,91,11,50,31,15,11,13,619,4239,53
4,13212,日野市,2480,1136,543,236,77,40,37,23,56,7,12,313,2468,12
4,13213,東村山市,2363,867,698,284,47,15,37,17,45,7,14,332,2268,95
4,13214,国分寺市,1766,749,486,116,94,10,18,28,33,11,3,218,1730,36
4,13215,国立市,1447,532,396,82,66,23,33,15,49,4,3,244,1457,-10
4,13218,福生市,2388,654,326,401,135,31,137,8,104,1,3,588,2462,-74
4,13219,狛江市,954,335,249,95,52,5,36,19,34,11,1,117,983,-29
4,13220,東大和市,1046,280,329,275,29,8,30,11,0,0,3,81,1054,-8
4,13221,清瀬市,1046,415,243,162,32,0,24,4,5,6,6,149,1044,2
4,13222,東久留米市,1772,520,348,248,243,25,44,27,6,6,3,302,1771,1
4,13223,武蔵村山市,1222,407,186,288,41,3,24,2,1,3,0,267,1222,0
4,13224,多摩市,2285,1038,582,248,69,23,24,19,37,13,4,228,2307,-22
4,13225,稲城市,1100,405,281,164,30,14,20,12,2,2,2,168,1123,-23
4,13227,羽村市,1588,232,133,301,66,20,14,10,23,0,2,787,1682,-94
4,13228,あきる野市,675,168,174,98,45,4,11,4,1,1,0,169,649,26
4,13229,西東京市,3407,1356,1072,273,109,61,51,46,27,25,21,366,3291,116
1,13550,町村部,913,134,156,283,71,10,27,7,4,0,1,220,927,-14
2,13300,西多摩郡,685,116,73,216,58,10,17,5,4,0,1,185,699,-14
4,13303,瑞穂町,579,89,59,194,33,10,16,4,4,0,1,169,585,-6
4,13305,日の出町,73,21,10,15,15,0,0,0,0,0,0,12,81,-8
4,13307,檜原村,10,0,3,2,5,0,0,0,0,0,0,0,11,-1
4,13308,奥多摩町,23,6,1,5,5,0,1,1,0,0,0,4,22,1
2,13350,島部,228,18,83,67,13,0,10,2,0,0,0,35,228,0
3,13360,大島支庁,58,10,10,3,1,0,7,0,0,0,0,27,61,-3
3,13380,三宅支庁,36,2,18,14,1,0,0,0,0,0,0,1,38,-2
3,13400,八丈支庁,115,5,50,49,4,0,3,1,0,0,0,3,114,1
3,13420,小笠原支庁,19,1,5,1,7,0,0,1,0,0,0,4,15,4
,,,,,,,,,,,,,,,,
外国人登録人口　平成22年10月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人登録人口 （平成22年10月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成２２年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
注２）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
