< 輸  出 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,産業機械,再利用資材,その他化学工業品,自動車部品,電気機械
,"868,294",100.0%,"139,983","129,346","119,350","115,834","51,399"
,84.4%,,90.4%,62.9%,85.8%,106.3%,89.7%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,自動車部品,産業機械,電気機械,取合せ品,その他化学工業品
,"83,370",9.6%,"40,438","13,202","6,459","3,044","2,779"
,55.5%,,77.4%,46.0%,71.4%,86.0%,31.6%
北米東岸(カリビア海含む),,,産業機械,自動車部品,その他化学工業品,紙・パ　ル　プ,電気機械
,"74,140",8.5%,"31,411","15,774","5,368","4,290","3,581"
,124.2%,,130.1%,139.2%,114.7%,93.8%,149.3%
北欧・地中海,,,産業機械,自動車部品,ゴム製品,その他化学工業品,電気機械
,"171,161",19.7%,"40,640","28,185","16,855","15,631","15,312"
,149.3%,,145.5%,373.0%,118.6%,115.0%,171.3%
南米西岸,,,再利用資材,産業機械,窯業品,その他化学工業品,ゴム製品
,"1,972",0.2%,"1,230",220,168,106,101
,1288.9%,,-,-,-,-,-
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,その他化学工業品,輸送用容器,自動車部品,産業機械,製造食品
,"2,926",0.3%,801,375,355,333,306
,20.4%,,16.6%,625.0%,47.1%,12.3%,40.4%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,その他化学工業品,再利用資材,産業機械,自動車部品,電気機械
,"357,077",41.1%,"62,980","58,616","37,391","27,109","17,850"
,82.4%,,96.4%,61.4%,78.3%,92.3%,82.1%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,再利用資材,産業機械,その他化学工業品,衣服・身廻品・はきもの,電気機械
,"34,400",4.0%,"6,204","4,994","4,802","2,359","1,910"
,84.0%,,48.6%,169.4%,79.7%,163.1%,68.4%
中国(香港含む),,,再利用資材,その他化学工業品,産業機械,電気機械,その他製造工業品
,"143,248",16.5%,"59,127","26,883","11,792","6,151","5,971"
,68.8%,,67.9%,78.5%,59.7%,53.0%,79.9%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
