 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,867,500","2,063,315","4,804,185","36,261,318","11,192,352","25,068,966","4,714,768","1,448,821","3,265,947","24,439,882","7,874,218","16,565,664"
外航計,"3,814,020","904,827","2,909,193","19,655,885","5,018,659","14,637,226","3,731,872","869,827","2,862,045","19,164,941","4,812,386","14,352,555"
外航定期計,"3,731,872","869,827","2,862,045","19,164,941","4,812,386","14,352,555","3,731,872","869,827","2,862,045","19,164,941","4,812,386","14,352,555"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"418,932","83,370","335,562","2,605,700","810,958","1,794,742","418,932","83,370","335,562","2,605,700","810,958","1,794,742"
北米東岸(カリビア海含む),"155,357","74,140","81,217","668,225","272,644","395,581","155,357","74,140","81,217","668,225","272,644","395,581"
北欧・地中海,"388,927","171,161","217,766","1,448,723","682,747","765,976","388,927","171,161","217,766","1,448,723","682,747","765,976"
南米西岸,"23,476","1,972","21,504","197,629","24,255","173,374","23,476","1,972","21,504","197,629","24,255","173,374"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"42,789","2,926","39,863","128,132","13,048","115,084","42,789","2,926","39,863","128,132","13,048","115,084"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,573,779","358,092","1,215,687","8,319,548","2,010,046","6,309,502","1,573,779","358,092","1,215,687","8,319,548","2,010,046","6,309,502"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"147,221","34,400","112,821","766,574","205,011","561,563","147,221","34,400","112,821","766,574","205,011","561,563"
中国(香港含む),"981,391","143,766","837,625","5,030,410","793,677","4,236,733","981,391","143,766","837,625","5,030,410","793,677","4,236,733"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"82,148","35,000","47,148","490,944","206,273","284,671",-,-,-,-,-,-
内航計,"3,053,480","1,158,488","1,894,992","16,605,433","6,173,693","10,431,740","982,896","578,994","403,902","5,274,941","3,061,832","2,213,109"
内航定期計,"1,794,357","1,015,945","778,412","9,911,715","5,441,350","4,470,365","968,517","564,705","403,812","5,210,334","3,005,537","2,204,797"
北海道,"356,889","204,974","151,915","1,911,400","1,075,673","835,727","356,889","204,974","151,915","1,911,400","1,075,673","835,727"
東北,"26,982","15,125","11,857","165,280","90,524","74,756","26,982","15,125","11,857","165,280","90,524","74,756"
関東,"43,815","23,523","20,292","231,028","116,875","114,153",-,-,-,442,-,442
伊豆諸島,"6,500","4,067","2,433","38,289","25,376","12,913",-,-,-,"4,344","3,173","1,171"
中部,"28,522","5,304","23,218","109,539","26,645","82,894","28,522","5,304","23,218","109,539","26,645","82,894"
近畿,"6,278",628,"5,650","58,361","7,044","51,317","6,278",628,"5,650","58,361","7,044","51,317"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,218,654","684,466","534,188","6,825,008","3,672,279","3,152,729","443,129","260,816","182,313","2,388,158","1,375,544","1,012,614"
沖縄,"106,717","77,858","28,859","572,810","426,934","145,876","106,717","77,858","28,859","572,810","426,934","145,876"
内航不定期,"1,259,123","142,543","1,116,580","6,693,718","732,343","5,961,375","14,379","14,289",90,"64,607","56,295","8,312"
,,,,,,,,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
