 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,26,141,26,141,
,総トン数,,"328,536","1,781,676","328,536","1,781,676",
取扱貨物,計,計,"775,525","4,436,850","775,525","4,436,850",
,,出荷,"423,650","2,296,735","423,650","2,296,735",
,,入荷,"351,875","2,140,115","351,875","2,140,115",
取　扱　台　数,バ　ス,計,6,37,6,37,
,,出荷,4,17,4,17,
,,入荷,2,20,2,20,
,トラック,計,"6,993","39,981","6,993","39,981",
,,出荷,"3,860","20,891","3,860","20,891",
,,入荷,"3,133","19,090","3,133","19,090",
,乗用車,計,"4,931","26,801","4,931","26,801",
,,出荷,"2,942","15,920","2,942","15,920",
,,入荷,"1,989","10,881","1,989","10,881",
乗降人員,計,,"3,373","16,173","3,373","16,173",
,乗船,,"1,724","8,445","1,724","8,445",
,降船,,"1,649","7,728","1,649","7,728",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
