 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,846","14,410,844","9,767","74,282,214",661,"12,024,445","3,478","63,212,015"
外航計,403,"10,728,467","2,144","55,363,051",377,"10,012,993","2,030","52,916,104"
外航定期計,377,"10,012,993","2,030","52,916,104",377,"10,012,993","2,030","52,916,104"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),30,"2,131,384",204,"13,609,444",30,"2,131,384",204,"13,609,444"
北米東岸(カリビア海含む),12,"989,643",43,"3,443,596",12,"989,643",43,"3,443,596"
北欧・地中海,9,"885,139",33,"3,238,657",9,"885,139",33,"3,238,657"
南米西岸,3,"394,773",19,"2,564,948",3,"394,773",19,"2,564,948"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,8,"258,484",25,"1,042,950",8,"258,484",25,"1,042,950"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,139,"3,366,207",735,"18,312,318",139,"3,366,207",735,"18,312,318"
台湾,-,-,-,-,-,-,-,-
韓国,40,"341,771",223,"1,935,689",40,"341,771",223,"1,935,689"
中国(香港含む),136,"1,645,592",748,"8,768,502",136,"1,645,592",748,"8,768,502"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,26,"715,474",114,"2,446,947",-,-,-,-
内航計,"1,443","3,682,377","7,623","18,919,163",284,"2,011,452","1,448","10,295,911"
内航定期計,528,"2,610,979","2,777","13,662,509",274,"1,969,468","1,421","10,230,169"
北海道,98,"1,000,189",482,"5,293,874",98,"1,000,189",482,"5,293,874"
東北,51,"44,090",291,"238,116",50,"43,341",285,"233,622"
関東,71,"37,924",462,"148,195",-,-,2,998
伊豆諸島,156,"274,302",750,"1,499,128",-,-,1,155
中部,38,"53,659",162,"211,247",38,"53,659",162,"211,247"
近畿,7,"18,609",75,"199,875",7,"18,609",75,"199,875"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,86,"958,931",437,"4,826,362",60,"630,395",296,"3,044,686"
沖縄,21,"223,275",118,"1,245,712",21,"223,275",118,"1,245,712"
内航不定期,915,"1,071,398","4,846","5,256,654",10,"41,984",27,"65,742"
,,,,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
