"科目","金額[百万円]"
"年度","2016"
"決算日","20170331"
"資産の部 固定資産","3405096"
"資産の部 固定資産 有形固定資産","3317099"
"資産の部 固定資産 有形固定資産 事業用資産","623829"
"資産の部 固定資産 有形固定資産 事業用資産 土地","426147"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","29"
"資産の部 固定資産 有形固定資産 事業用資産 建物","313762"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-126059"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","15830"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-9200"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","0"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","0"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","0"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他","2"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","-1"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","3319"
"資産の部 固定資産 有形固定資産 インフラ資産","2691634"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2600148"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1400"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-603"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","103581"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-12892"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","0"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","0"
"資産の部 固定資産 有形固定資産 物品","3897"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2261"
"資産の部 固定資産 無形固定資産","2717"
"資産の部 固定資産 無形固定資産 ソフトウェア","2702"
"資産の部 固定資産 無形固定資産 その他","15"
"資産の部 固定資産 投資その他の資産","85281"
"資産の部 固定資産 投資その他の資産 投資及び出資金","382"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","326"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","33"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","23"
"資産の部 固定資産 投資その他の資産 長期延滞債権","3697"
"資産の部 固定資産 投資その他の資産 長期貸付金","1182"
"資産の部 固定資産 投資その他の資産 基金","81053"
"資産の部 固定資産 投資その他の資産 基金 減債基金","0"
"資産の部 固定資産 投資その他の資産 基金 その他","81053"
"資産の部 固定資産 投資その他の資産 その他","0"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-1034"
"資産の部 流動資産","99761"
"資産の部 流動資産 現金預金","22394"
"資産の部 流動資産 未収金","2951"
"資産の部 流動資産 短期貸付金","0"
"資産の部 流動資産 基金","73706"
"資産の部 流動資産 基金 財政調整基金","73706"
"資産の部 流動資産 基金 減債基金","0"
"資産の部 流動資産 棚卸資産","1"
"資産の部 流動資産 その他","715"
"資産の部 流動資産 徴収不能引当金","-6"
"資産の部 繰延資産","0"
"資産の部 資産合計","3504858"
"負債の部 固定負債","21650"
"負債の部 固定負債 地方債等","2339"
"負債の部 固定負債 長期未払金","4239"
"負債の部 固定負債 退職手当引当金","15063"
"負債の部 固定負債 損失補償等引当金","0"
"負債の部 固定負債 その他","9"
"負債の部 流動負債","19753"
"負債の部 流動負債 1年内償還予定地方債等","883"
"負債の部 流動負債 未払金","5902"
"負債の部 流動負債 未払費用","1"
"負債の部 流動負債 前受金","1"
"負債の部 流動負債 前受収益","0"
"負債の部 流動負債 賞与等引当金","989"
"負債の部 流動負債 預り金","11964"
"負債の部 流動負債 その他","14"
"負債の部 負債合計","41403"
"純資産の部 固定資産等形成分","3478803"
"純資産の部 余剰分（不足分）","-15351"
"純資産の部 他団体出資等分","3"
"純資産の部 純資産合計","3463455"
"負債及び純資産合計","3504858"

"連結会計財務書類（貸借対照表）(平成29年3月31日現在)","Ver201703"
