地域階層,地域コード,地域,年齢階層,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
0,13000,総数,0,総数,13794933,6775557,7019376,13277052,6522919,6754133,517881,252638,265243
0,13000,総数,1,0～4,505605,258957,246648,489009,250329,238680,16596,8628,7968
0,13000,総数,1,5～9,544772,278316,266456,527942,269650,258292,16830,8666,8164
0,13000,総数,1,10～14,530720,272593,258127,517526,265682,251844,13194,6911,6283
0,13000,総数,1,15～19,530006,270230,259776,516829,263366,253463,13177,6864,6313
0,13000,総数,1,20～24,766812,382215,384597,708129,350952,357177,58683,31263,27420
0,13000,総数,1,25～29,947467,476270,471197,868351,435338,433013,79116,40932,38184
0,13000,総数,1,30～34,924800,468286,456514,852607,431661,420946,72193,36625,35568
0,13000,総数,1,35～39,980623,499618,481005,922952,470928,452024,57671,28690,28981
0,13000,総数,1,40～44,1029811,524447,505364,982508,501687,480821,47303,22760,24543
0,13000,総数,1,45～49,1150176,582288,567888,1112704,565107,547597,37472,17181,20291
0,13000,総数,1,50～54,1126595,571904,554691,1092447,557507,534940,34148,14397,19751
0,13000,総数,1,55～59,895809,460521,435288,869511,449643,419868,26298,10878,15420
0,13000,総数,1,60～64,718074,364834,353240,701326,357974,343352,16748,6860,9888
0,13000,総数,1,65～69,657707,325539,332168,646163,320708,325455,11544,4831,6713
0,13000,総数,1,70～74,816887,388663,428224,809737,385432,424305,7150,3231,3919
0,13000,総数,1,75～79,605160,266187,338973,600891,264293,336598,4269,1894,2375
0,13000,総数,1,80～84,506167,204821,301346,503309,203689,299620,2858,1132,1726
0,13000,総数,1,85～89,348396,124911,223485,346723,124327,222396,1673,584,1089
0,13000,総数,1,90～94,157182,44704,112478,156493,44477,112016,689,227,462
0,13000,総数,1,95～99,44982,9357,35625,44751,9279,35472,231,78,153
0,13000,総数,1,100以上,7181,896,6285,7143,890,6253,38,6,32
0,13000,総数,1,不詳者,1,-,1,1,-,1,-,-,-
1,13100,区部,0,総数,9522872,4669453,4853419,9092428,4458427,4634001,430444,211026,219418
1,13100,区部,1,0～4,355131,181576,173555,341261,174381,166880,13870,7195,6675
1,13100,区部,1,5～9,367914,187605,180309,353672,180238,173434,14242,7367,6875
1,13100,区部,1,10～14,346875,178118,168757,335672,172235,163437,11203,5883,5320
1,13100,区部,1,15～19,337114,171703,165411,326205,165986,160219,10909,5717,5192
1,13100,区部,1,20～24,527883,260727,267156,480344,235323,245021,47539,25404,22135
1,13100,区部,1,25～29,717064,358548,358516,651026,324739,326287,66038,33809,32229
1,13100,区部,1,30～34,693999,350062,343937,632575,319161,313414,61424,30901,30523
1,13100,区部,1,35～39,718158,364986,353172,669184,340526,328658,48974,24460,24514
1,13100,区部,1,40～44,736324,373882,362442,696603,354428,342175,39721,19454,20267
1,13100,区部,1,45～49,804388,405641,398747,773290,391052,382238,31098,14589,16509
1,13100,区部,1,50～54,774221,391216,383005,746678,379226,367452,27543,11990,15553
1,13100,区部,1,55～59,609531,312875,296656,588338,303938,284400,21193,8937,12256
1,13100,区部,1,60～64,482059,245508,236551,468434,239888,228546,13625,5620,8005
1,13100,区部,1,65～69,431861,214978,216883,422417,211049,211368,9444,3929,5515
1,13100,区部,1,70～74,532130,254737,277393,526338,252122,274216,5792,2615,3177
1,13100,区部,1,75～79,390646,171391,219255,387219,169866,217353,3427,1525,1902
1,13100,区部,1,80～84,327994,130376,197618,325694,129467,196227,2300,909,1391
1,13100,区部,1,85～89,229879,79919,149960,228546,79449,149097,1333,470,863
1,13100,区部,1,90～94,104317,28762,75555,103764,28584,75180,553,178,375
1,13100,区部,1,95～99,30489,6195,24294,30302,6126,24176,187,69,118
1,13100,区部,1,100以上,4895,648,4247,4866,643,4223,29,5,24
1,13100,区部,1,不詳者,-,-,-,-,-,-,-,-,-
4,13101,千代田区,0,総数,67049,33485,33564,64235,32022,32213,2814,1463,1351
4,13101,千代田区,1,0～4,3042,1554,1488,2994,1533,1461,48,21,27
4,13101,千代田区,1,5～9,3318,1701,1617,3248,1660,1588,70,41,29
4,13101,千代田区,1,10～14,2847,1436,1411,2779,1402,1377,68,34,34
4,13101,千代田区,1,15～19,2199,1081,1118,2142,1053,1089,57,28,29
4,13101,千代田区,1,20～24,3233,1627,1606,2966,1478,1488,267,149,118
4,13101,千代田区,1,25～29,5241,2846,2395,4846,2650,2196,395,196,199
4,13101,千代田区,1,30～34,5607,3020,2587,5199,2818,2381,408,202,206
4,13101,千代田区,1,35～39,5931,3115,2816,5628,2949,2679,303,166,137
4,13101,千代田区,1,40～44,6031,3099,2932,5740,2953,2787,291,146,145
4,13101,千代田区,1,45～49,6078,3035,3043,5819,2899,2920,259,136,123
4,13101,千代田区,1,50～54,5232,2577,2655,5016,2461,2555,216,116,100
4,13101,千代田区,1,55～59,4078,2083,1995,3891,1990,1901,187,93,94
4,13101,千代田区,1,60～64,2943,1517,1426,2847,1466,1381,96,51,45
4,13101,千代田区,1,65～69,2381,1174,1207,2333,1146,1187,48,28,20
4,13101,千代田区,1,70～74,2831,1331,1500,2797,1313,1484,34,18,16
4,13101,千代田区,1,75～79,2191,980,1211,2170,967,1203,21,13,8
4,13101,千代田区,1,80～84,1647,659,988,1626,651,975,21,8,13
4,13101,千代田区,1,85～89,1289,419,870,1273,408,865,16,11,5
4,13101,千代田区,1,90～94,673,191,482,668,187,481,5,4,1
4,13101,千代田区,1,95～99,226,34,192,223,32,191,3,2,1
4,13101,千代田区,1,100以上,31,6,25,30,6,24,1,-,1
4,13101,千代田区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13102,中央区,0,総数,171419,81477,89942,163357,77482,85875,8062,3995,4067
4,13102,中央区,1,0～4,9256,4662,4594,8968,4513,4455,288,149,139
4,13102,中央区,1,5～9,8419,4259,4160,8117,4091,4026,302,168,134
4,13102,中央区,1,10～14,6033,3085,2948,5847,2989,2858,186,96,90
4,13102,中央区,1,15～19,4441,2222,2219,4303,2153,2150,138,69,69
4,13102,中央区,1,20～24,6130,3008,3122,5754,2817,2937,376,191,185
4,13102,中央区,1,25～29,11834,5697,6137,10972,5268,5704,862,429,433
4,13102,中央区,1,30～34,15043,7126,7917,13709,6491,7218,1334,635,699
4,13102,中央区,1,35～39,16842,7935,8907,15626,7359,8267,1216,576,640
4,13102,中央区,1,40～44,16943,8028,8915,15956,7541,8415,987,487,500
4,13102,中央区,1,45～49,17458,8244,9214,16746,7884,8862,712,360,352
4,13102,中央区,1,50～54,15275,7354,7921,14744,7082,7662,531,272,259
4,13102,中央区,1,55～59,11019,5515,5504,10581,5301,5280,438,214,224
4,13102,中央区,1,60～64,7410,3741,3669,7122,3598,3524,288,143,145
4,13102,中央区,1,65～69,5570,2725,2845,5390,2630,2760,180,95,85
4,13102,中央区,1,70～74,6680,3087,3593,6580,3033,3547,100,54,46
4,13102,中央区,1,75～79,4785,2007,2778,4737,1980,2757,48,27,21
4,13102,中央区,1,80～84,3824,1426,2398,3776,1409,2367,48,17,31
4,13102,中央区,1,85～89,2754,918,1836,2734,911,1823,20,7,13
4,13102,中央区,1,90～94,1269,354,915,1262,349,913,7,5,2
4,13102,中央区,1,95～99,382,77,305,381,76,305,1,1,-
4,13102,中央区,1,100以上,52,7,45,52,7,45,-,-,-
4,13102,中央区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13103,港区,0,総数,257183,120947,136236,240254,112215,128039,16929,8732,8197
4,13103,港区,1,0～4,12759,6499,6260,12162,6202,5960,597,297,300
4,13103,港区,1,5～9,12655,6348,6307,11905,5973,5932,750,375,375
4,13103,港区,1,10～14,9967,5173,4794,9410,4868,4542,557,305,252
4,13103,港区,1,15～19,7744,3905,3839,7338,3701,3637,406,204,202
