地域階層,地域コード,地域,年少人口(0～14歳)／総数(人),年少人口(0～14歳)／男(人),年少人口(0～14歳)／女(人),生産年齢人口(15～64歳)／総数(人),生産年齢人口(15～64歳)／男(人),生産年齢人口(15～64歳)／女(人),老年人口(65歳以上)／総数(人),老年人口(65歳以上)／男(人),老年人口(65歳以上)／女(人)
0,13000,総数,1534477,785661,748816,8627364,4384163,4243201,3115210,1353095,1762115
1,13100,区部,1030605,526854,503751,6032677,3054267,2978410,2029146,877306,1151840
4,13101,千代田区,9021,4595,4426,44094,22717,21377,11120,4710,6410
4,13102,中央区,22932,11593,11339,115513,55494,60019,24912,10395,14517
4,13103,港区,33477,17043,16434,163537,77575,85962,43240,17597,25643
4,13104,新宿区,28631,14492,14139,212732,110486,102246,65952,28580,37372
4,13105,文京区,28538,14539,13999,144874,70362,74512,43174,18005,25169
4,13106,台東区,17253,8798,8455,127727,67528,60199,44833,20668,24165
4,13107,墨田区,27319,13965,13354,176384,90409,85975,60129,26602,33527
4,13108,江東区,62556,32056,30500,322683,163992,158691,111438,48664,62774
4,13109,品川区,46986,23908,23078,263032,132938,130094,81143,34645,46498
4,13110,目黒区,30558,15801,14757,184129,88032,96097,54795,22794,32001
4,13111,大田区,76211,38959,37252,465173,239233,225940,164217,72469,91748
4,13112,世田谷区,106639,54692,51947,603347,290729,312618,185194,77541,107653
4,13113,渋谷区,23605,11963,11642,153093,75014,78079,42536,17597,24939
4,13114,中野区,29391,15058,14333,219817,115597,104220,67050,28462,38588
4,13115,杉並区,59785,30509,29276,375245,184995,190250,119470,50221,69249
4,13116,豊島区,24723,12538,12185,178290,92889,85401,56129,24270,31859
4,13117,北区,34858,17808,17050,209292,108964,100328,85658,36901,48757
4,13118,荒川区,22756,11580,11176,126793,65406,61387,48424,21572,26852
4,13119,板橋区,58095,29891,28204,352443,178797,173646,131013,56944,74069
4,13120,練馬区,85302,43699,41603,473253,236048,237205,160974,69184,91790
4,13121,足立区,72084,36960,35124,415315,218353,196962,168569,74408,94161
4,13122,葛飾区,49744,25539,24205,277822,144597,133225,112887,49890,62997
4,13123,江戸川区,80141,40868,39273,428089,224112,203977,146289,65187,81102
