地域コード,地域,町丁別地域階層,町丁別地域,世帯数(世帯),人口／総数(人),人口／男(人),人口／女(人)
13101,千代田区,0,千代田区総数,37773,67049,33485,33564
13101,千代田区,1,丸の内一丁目,18,19,13,6
13101,千代田区,1,丸の内二丁目,1,1,1,0
13101,千代田区,1,丸の内三丁目,0,0,0,0
13101,千代田区,1,大手町一丁目,9,14,9,5
13101,千代田区,1,大手町二丁目,0,0,0,0
13101,千代田区,1,内幸町一丁目,1,1,0,1
13101,千代田区,1,内幸町二丁目,0,0,0,0
13101,千代田区,1,有楽町一丁目,8,10,6,4
13101,千代田区,1,有楽町二丁目,1,1,1,0
13101,千代田区,1,霞が関一丁目,0,0,0,0
13101,千代田区,1,霞が関二丁目,0,0,0,0
13101,千代田区,1,霞が関三丁目,7,7,7,0
13101,千代田区,1,永田町一丁目,10,10,8,2
13101,千代田区,1,永田町二丁目,331,563,305,258
13101,千代田区,1,隼町,298,377,297,80
13101,千代田区,1,平河町一丁目,611,1036,476,560
13101,千代田区,1,平河町二丁目,542,1010,476,534
13101,千代田区,1,麹町一丁目,394,706,346,360
13101,千代田区,1,麹町二丁目,313,587,288,299
13101,千代田区,1,麹町三丁目,241,438,200,238
13101,千代田区,1,麹町四丁目,286,605,281,324
13101,千代田区,1,麹町五丁目,66,101,39,62
13101,千代田区,1,麹町六丁目,131,267,129,138
13101,千代田区,1,紀尾井町,311,562,324,238
13101,千代田区,1,一番町,1830,4104,1873,2231
13101,千代田区,1,二番町,825,1780,850,930
13101,千代田区,1,三番町,1704,3630,1653,1977
13101,千代田区,1,四番町,1147,2614,1219,1395
13101,千代田区,1,五番町,463,1007,444,563
13101,千代田区,1,六番町,727,1788,816,972
13101,千代田区,1,皇居外苑,0,0,0,0
13101,千代田区,1,日比谷公園,0,0,0,0
13101,千代田区,1,千代田,90,90,60,30
13101,千代田区,1,北の丸公園,337,679,404,275
13101,千代田区,1,九段南一丁目,18,31,14,17
13101,千代田区,1,九段南二丁目,459,831,379,452
13101,千代田区,1,九段南三丁目,478,772,385,387
13101,千代田区,1,九段南四丁目,593,1393,683,710
13101,千代田区,1,九段北一丁目,710,1120,581,539
13101,千代田区,1,九段北二丁目,138,252,94,158
13101,千代田区,1,九段北三丁目,34,62,35,27
13101,千代田区,1,九段北四丁目,331,648,309,339
13101,千代田区,1,富士見一丁目,533,1160,583,577
13101,千代田区,1,富士見二丁目,1599,3215,1475,1740
13101,千代田区,1,飯田橋一丁目,210,350,170,180
13101,千代田区,1,飯田橋二丁目,842,1503,684,819
13101,千代田区,1,飯田橋三丁目,197,442,206,236
13101,千代田区,1,飯田橋四丁目,381,692,330,362
13101,千代田区,1,一ツ橋一丁目,0,0,0,0
13101,千代田区,1,一ツ橋二丁目,35,49,26,23
13101,千代田区,1,神田神保町一丁目,953,1570,746,824
13101,千代田区,1,神田神保町二丁目,745,1079,588,491
