階層コード,地域コード,地域,人口総数／平成30年2月１日,人口総数／平成30年１月１日,人口総数／平成29年2月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13639750,13637348,13532863,2402,0.02,106887,0.79
1,13100,区部,9400235,9396595,9306500,3640,0.04,93735,1.01
1,13200,市部,4155663,4156737,4141797,-1074,-0.03,13866,0.33
1,13300,郡部,57842,57968,58267,-126,-0.22,-425,-0.73
1,13350,島部,26010,26048,26299,-38,-0.15,-289,-1.1
,,,,,,,,,
住民基本台帳による世帯と人口_平成30年2月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
