階層コード,地域コード,地域,人口総数／平成30年１月１日,人口総数／平成29年12月１日,人口総数／平成29年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13637348,13639352,13530053,-2004,-0.01,107295,0.79
1,13100,区部,9396595,9398032,9302962,-1437,-0.02,93633,1.01
1,13200,市部,4156737,4157251,4142500,-514,-0.01,14237,0.34
1,13300,郡部,57968,57973,58284,-5,-0.01,-316,-0.54
1,13350,島部,26048,26096,26307,-48,-0.18,-259,-0.98
,,,,,,,,,
住民基本台帳による世帯と人口_平成30年１月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
