事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成27,2015,年平均,19.5,164,149.1,14.9,13.7,83,80,3
５人以上,TL 調査産業計,平成28,2016,年平均,19.5,163,148.8,14.2,13.7,82.7,79.9,2.8
５人以上,TL 調査産業計,平成29,2017,年平均,19.5,163.4,149.2,14.2,13.5,81.5,78.9,2.6
５人以上,TL 調査産業計,平成30,2018,年平均,19.5,162.5,148.8,13.7,13.4,81.2,78.3,2.9
５人以上,TL 調査産業計,平成31・令和元,2019,年平均,19.1,159.5,145.2,14.3,12.7,77.5,74.5,3
５人以上,TL 調査産業計,令和２,2020,年平均,18.7,155.1,142.2,12.9,12,72.5,69.9,2.6
５人以上,TL 調査産業計,令和２,2020,1月,18.1,150.8,137.1,13.7,12.1,74.4,71.4,3
５人以上,TL 調査産業計,令和２,2020,2月,18.3,153.2,139,14.2,12.1,74.9,71.9,3
５人以上,TL 調査産業計,令和２,2020,3月,19,158,143.8,14.2,11.9,73.5,70.5,3
５人以上,TL 調査産業計,令和２,2020,4月,19.3,158.9,146.5,12.4,10.9,64.9,63,1.9
５人以上,TL 調査産業計,令和２,2020,5月,16.9,137.9,128,9.9,10.1,61.4,59.3,2.1
５人以上,TL 調査産業計,令和２,2020,6月,19.3,158,146.6,11.4,12,71.1,68.8,2.3
５人以上,TL 調査産業計,令和２,2020,7月,19.9,163.3,150.4,12.9,12.7,74.9,72.5,2.4
５人以上,TL 調査産業計,令和２,2020,8月,17.9,147.9,135.7,12.2,12,71.6,69.2,2.4
５人以上,TL 調査産業計,令和２,2020,9月,18.6,153.9,141.3,12.6,12.6,75.4,72.9,2.5
５人以上,TL 調査産業計,令和２,2020,10月,19.7,163.5,149.8,13.7,12.8,77.1,74.4,2.7
５人以上,TL 調査産業計,令和２,2020,11月,19.1,158.9,145.3,13.6,12.6,75.1,72.4,2.7
５人以上,TL 調査産業計,令和２,2020,12月,18.9,157,143.4,13.6,12.5,75.5,72.6,2.9
５人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,154.8,135.1,19.7,12.1,82.9,82.5,0.4
５人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,18.6,154.8,136,18.8,17.8,129.2,129,0.2
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,18.9,157.1,137.1,20,15.7,116.8,116.5,0.3
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,1月,17.9,147.1,128,19.1,18.6,137.8,137.8,－
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,2月,16.9,141,122.6,18.4,14.8,98,98,－
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,3月,19.6,160.9,141.6,19.3,13.4,100.7,100.7,－
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,4月,20.2,167.3,147.2,20.1,14.8,110,110,－
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,5月,17.5,145.1,127.2,17.9,16.5,127.5,127.5,－
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,6月,20.9,171.2,152,19.2,13.9,105,104.7,0.3
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,7月,20.2,167.5,146.6,20.9,16.1,118.7,118.2,0.5
５人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,8月,18.6,155.7,136.1,19.6,16.1,122.5,122.5,－
