事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,令和２,2020,2月,17.5,147.1,131.6,15.5,12.2,81.9,78.2,3.7
500人以上,令和２,2020,3月,18.4,154.8,138.6,16.2,12,80.4,76.7,3.7
500人以上,令和２,2020,4月,19.2,160.1,145,15.1,11.8,78.9,75.2,3.7
500人以上,令和２,2020,5月,17,141.1,128.4,12.7,10.6,71.3,68.2,3.1
500人以上,令和２,2020,6月,18.6,154.7,140.8,13.9,11.9,77.9,74.7,3.2
500人以上,令和２,2020,7月,19.7,163.5,148.2,15.3,13,85,81.4,3.6
500人以上,令和２,2020,8月,17.8,148.9,134.5,14.4,12.1,80.3,76.8,3.5
500人以上,令和２,2020,9月,17.8,149.3,134.8,14.5,12.6,83.8,80.2,3.6
500人以上,令和２,2020,10月,19.5,162.5,146.8,15.7,13,85,81.4,3.6
500人以上,令和２,2020,11月,18.6,156,140.3,15.7,12.7,83,79.5,3.5
500人以上,令和２,2020,12月,18.4,153.9,138.5,15.4,12.6,81.2,77.7,3.5
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年年報,,,,,,,,,,,
第９表　規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,
