事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
30人以上,平成31・令和元,2019,年平均（前年比（％））,5.9,0,-2.9,15.5,14.3,15.6,8.3,6.9,0.6,4.4,-4.7,-18.8,0.5,-6.1,-7,9.5
30人以上,令和２,2020,年平均（前年比（％））,-8.8,-15.5,-14.3,-4.3,-3.7,-7.2,-6.1,8.4,-13.5,-12.9,-51.8,-24.6,-27.7,-1.2,-16.4,-13.8
30人以上,令和２,2020,1月（前年同月比（％））,2.4,-8.1,-8.9,-16.8,9.4,4.5,5.3,17,-1.5,-3.8,-9.6,12,-17.9,18.1,-4.7,-2.7
30人以上,令和２,2020,2月（前年同月比（％））,-1.6,-7.9,-19.9,-24.6,1.8,6.5,3.1,17,0,-10.4,-27.5,23.1,-15.7,1.6,-11.5,-4.5
30人以上,令和２,2020,3月（前年同月比（％））,-5.2,-13,-23.4,-10.7,4.7,5.9,-1,15.5,-7.9,-6.5,-44.3,-26.3,-33.8,9.1,-9.7,-12.4
30人以上,令和２,2020,4月（前年同月比（％））,-18.6,-27.3,-31.2,-20.5,-7.5,-11.5,-17.4,11.6,-20.6,-17.7,-66.2,-61.9,-54.5,-4.8,-28.9,-24.6
30人以上,令和２,2020,5月（前年同月比（％））,-26.2,-31.2,-32.8,-29.7,-12.7,-32,-26.5,1.2,-33,-27.7,-85.7,-61.8,-52.2,-7.1,-35,-34.5
30人以上,令和２,2020,6月（前年同月比（％））,-16.3,-20.2,-19.8,8.6,-9.3,-22.8,-14.4,-2.7,-30.9,-20.2,-78.2,-48.3,-17.5,-21.2,-14.9,-13.1
30人以上,令和２,2020,7月（前年同月比（％））,-8.5,-14.7,-19.1,1.2,-6.7,1,-3,10.4,-15.2,-5.2,-53.5,-47,-20,-11.2,8.5,-15.1
30人以上,令和２,2020,8月（前年同月比（％））,-8.9,-15.1,-9.7,22,-8.4,-7.6,-10.5,4.2,-7.9,-6.2,-59.2,-39,-8.7,-3.3,-2,-16.5
30人以上,令和２,2020,9月（前年同月比（％））,-10.1,-16.3,-9,-3.1,-8.4,-10.7,-2.1,2.2,-10.5,-17.3,-57.9,-32.9,-22.1,0,-27.9,-14.7
30人以上,令和２,2020,10月（前年同月比（％））,-5.2,-7.4,5.3,-6.1,-6.3,-5.6,-3.9,12.8,-13.1,-19.7,-42.6,8.8,-25,0,-17.3,-9
30人以上,令和２,2020,11月（前年同月比（％））,-5.3,-14.3,3.7,11.5,0,-5.3,-4.9,4.6,-11.5,-10.9,-50,2.7,-26.4,3.3,-31.1,-11.2
30人以上,令和２,2020,12月（前年同月比（％））,-1.6,-4.8,-0.7,58.3,1.8,-8.6,4.2,8.3,-5.1,-5.9,-51.9,-14,-19.6,5.1,-9.7,-5.7
,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和２年年報,,,,,,,,,,,,,,,,,,,
第20表　労働時間指数（所定外労働時間）,,,,,,,,,,,,,,,,,,,
（平成27年平均=100）,,,,,,,,,,,,,,,,,,,
