規模,和暦年,西暦年,年平均・月・前年同月比,調査産業計,調査産業計／前年比・前年同月比（％）,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成26,2014,年平均,99.6,0.6,96.6,106.5,91.2,104.9,82.6,95.5,97.4,96.2,120.1,85.7,126.7,98.5,109.5,90.5,104.1
５人以上,平成27,2015,年平均,100,0.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,95.1,-4.9,93.6,94.6,110.1,97,95.2,95.2,95.7,96.2,101.6,99.4,71.7,105,98.8,95.6,88.7
５人以上,平成29,2017,年平均,94.7,-0.4,111,94.1,88.4,87.8,94.4,96,93.8,100.8,106.9,101,79.9,119.4,90.8,89.2,83.2
５人以上,平成30,2018,年平均,90.6,-4.3,112.4,106,95.3,74.4,90.4,98.4,84.2,95.3,93.7,102.3,90,172.1,97.3,165.6,78.2
５人以上,平成31・令和元,2019,年平均,94.8,4.6,110.2,100.1,109.4,85.8,102.7,103,90.2,98.1,95,95.3,87.3,165.2,94.8,152.9,85.3
５人以上,令和元,2019,5月,93.3,1.7,111.8,98.4,114.5,77.4,100.5,103.5,86.5,96.5,98.7,89.9,90.8,162.5,91.1,168.4,87.1
５人以上,令和元,2019,6月,93.3,0,104.8,99.2,ｘ,86.8,100.5,101.2,93,99.3,94,89.9,86.2,145,105.4,140.5,80.6
５人以上,令和元,2019,7月,95,6.5,107.5,95.1,ｘ,91.1,96.5,104.7,96.8,98.6,86.1,97.1,93.1,162.5,96.4,127.8,87.9
５人以上,令和元,2019,8月,90.8,6.8,102.1,93.5,82.4,85.3,97,100,94.1,91.5,82.8,102.9,87.4,110,89.3,98.7,83.9
５人以上,令和元,2019,9月,94.2,9.8,109.6,94.3,112.6,91.1,99.5,100,90.3,97.2,93.4,100,85.1,165,94.6,154.4,83.1
５人以上,令和元,2019,10月,97.5,7.4,110.7,92.7,125.2,94.2,104.5,107.1,93.5,102.8,104,92.8,82.8,165,98.2,144.3,87.1
５人以上,令和元,2019,11月,97.5,2.6,115,95.1,100.6,87.4,104.5,105.9,96.8,101.4,100,97.1,73.6,177.5,105.4,168.4,90.3
５人以上,令和元,2019,12月,95,5.6,103.2,99.2,79.2,86.8,110.1,102.4,91.4,90.8,98,98.6,83.9,155,91.1,163.3,84.7
５人以上,令和２,2020,1月,90.8,1.8,95.7,85.4,106.9,83.7,99,98.8,91.9,91.5,86.8,98.6,96.6,140,100,150.6,83.9
５人以上,令和２,2020,2月,93.3,-1,109.6,88.6,114.5,86.8,110.1,96.5,91.9,94.3,95.4,91.3,95.4,152.5,96.4,119,83.1
５人以上,令和２,2020,3月,93.3,-4.3,109.1,84.6,132.7,92.1,110.6,101.2,100,97.2,96,69.6,63.2,132.5,98.2,144.3,80.6
５人以上,令和２,2020,4月,81.7,-18.3,99.5,75.6,94.3,82.1,95.5,84.7,99.5,82.3,79.5,42,36.8,105,89.3,105.1,71
５人以上,令和２,2020,5月,66.7,-28.5,78.1,62.6,83,68.9,68.2,68.2,84.3,68.8,72.2,26.1,31,85,75,89.9,58.9
５人以上,令和２,2020,5月（前年同月比（％））,－,－,-30.1,-36.4,-27.5,-11,-32.1,-34.1,-2.5,-28.7,-26.8,-71,-65.9,-47.7,-17.7,-46.6,-32.4
