事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
30人以上,TL 調査産業計,平成27,2015,年平均,4093908,66952,64591,4096860,945116,37283,36800,945007
30人以上,TL 調査産業計,平成28,2016,年平均,4099294,67710,63824,4103185,983871,39543,39281,984128
30人以上,TL 調査産業計,平成29,2017,年平均,4153340,68888,63539,4158925,995050,41724,39298,997240
30人以上,TL 調査産業計,平成30,2018,年平均,4429433,73133,70615,4432896,1109149,39862,40537,1107528
30人以上,TL 調査産業計,平成31・令和元,2019,年平均,4522994,79239,70562,4532077,1129826,50166,48291,1131296
30人以上,TL 調査産業計,令和２,2020,年平均,4572744,73233,70865,4575471,1104527,40137,46840,1097464
30人以上,TL 調査産業計,令和２,2020,1月,4536052,56658,56352,4536416,1162021,36200,38860,1159303
30人以上,TL 調査産業計,令和２,2020,2月,4523870,40570,45502,4519476,1166490,45183,45913,1165222
30人以上,TL 調査産業計,令和２,2020,3月,4514891,54522,79281,4490303,1177667,40210,69748,1147958
30人以上,TL 調査産業計,令和２,2020,4月,4521451,319677,191541,4651653,1118961,61530,99147,1079278
30人以上,TL 調査産業計,令和２,2020,5月,4649600,51264,65504,4636286,1081701,31291,62742,1049324
30人以上,TL 調査産業計,令和２,2020,6月,4614076,49521,60748,4603407,1066594,40052,28945,1077143
30人以上,TL 調査産業計,令和２,2020,7月,4600689,71718,71477,4600908,1079862,41896,33589,1088191
30人以上,TL 調査産業計,令和２,2020,8月,4601305,44101,58665,4586227,1087319,29602,40716,1076719
30人以上,TL 調査産業計,令和２,2020,9月,4584732,40213,54734,4570846,1078010,44072,39575,1081872
30人以上,TL 調査産業計,令和２,2020,10月,4591445,65847,77829,4578976,1066949,40659,36325,1071770
30人以上,TL 調査産業計,令和２,2020,11月,4555433,49806,50847,4554552,1093049,39442,30086,1102245
30人以上,TL 調査産業計,令和２,2020,12月,4579384,34900,37903,4576610,1075699,31507,36437,1070540
30人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,1391,31,35,1388,1,0,0,1
30人以上,"C 鉱業,採石業,砂利採取業",平成31・令和元,2019,年平均,1370,26,29,1366,12,0,0,12
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,年平均,1446,30,22,1454,13,1,0,14
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,1月,1387,60,57,1390,12,3,1,14
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,2月,1341,18,9,1349,3,3,0,7
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,3月,1397,16,24,1389,19,0,2,17
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,4月,1389,111,44,1456,17,0,0,17
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,5月,1461,26,6,1482,12,0,1,10
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,6月,1474,10,8,1476,18,0,0,18
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,7月,1476,20,22,1474,18,0,0,18
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,8月,1481,18,13,1486,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,9月,1486,18,10,1494,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,10月,1494,23,33,1484,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,11月,1484,20,12,1492,11,0,0,11
30人以上,"C 鉱業,採石業,砂利採取業",令和２,2020,12月,1485,18,24,1479,18,0,0,18
30人以上,D 建設業,平成27,2015,年平均,211504,2346,2007,211844,1689,28,54,1662
30人以上,D 建設業,平成28,2016,年平均,214584,1989,2046,214528,1418,35,40,1413
30人以上,D 建設業,平成29,2017,年平均,214776,2076,1702,215150,1083,10,32,1062
30人以上,D 建設業,平成30,2018,年平均,214332,2290,2205,214415,6788,122,122,6790
30人以上,D 建設業,平成31・令和元,2019,年平均,228039,4363,2329,230073,6110,202,176,6136
30人以上,D 建設業,令和２,2020,年平均,250487,3209,2648,251048,3337,65,49,3352
30人以上,D 建設業,令和２,2020,1月,244468,2000,2000,244468,3709,51,38,3722
30人以上,D 建設業,令和２,2020,2月,244690,1380,1104,244967,3500,30,23,3506
30人以上,D 建設業,令和２,2020,3月,244963,2034,2462,244533,3510,19,15,3516
30人以上,D 建設業,令和２,2020,4月,245028,17278,6372,255933,3021,152,127,3047
30人以上,D 建設業,令和２,2020,5月,255836,1573,2648,254760,3144,40,38,3147
30人以上,D 建設業,令和２,2020,6月,254451,1876,2062,254278,3456,10,29,3424
30人以上,D 建設業,令和２,2020,7月,254265,3339,3330,254274,3437,74,125,3386
30人以上,D 建設業,令和２,2020,8月,254790,2895,5625,252059,2870,104,99,2876
30人以上,D 建設業,令和２,2020,9月,251836,1617,1245,252209,3099,8,39,3067
30人以上,D 建設業,令和２,2020,10月,252211,2736,2914,252035,3065,108,29,3142
30人以上,D 建設業,令和２,2020,11月,251274,1174,1023,251425,3903,57,24,3936
30人以上,D 建設業,令和２,2020,12月,252027,600,993,251634,3334,127,6,3455
30人以上,E 製造業,平成27,2015,年平均,465266,5925,6148,465067,29524,820,883,29437
30人以上,E 製造業,平成28,2016,年平均,470653,5756,5170,471242,31655,771,825,31597
30人以上,E 製造業,平成29,2017,年平均,471081,5453,5403,471120,26165,717,602,26291
30人以上,E 製造業,平成30,2018,年平均,389354,5038,4918,389441,30824,487,603,30741
30人以上,E 製造業,平成31・令和元,2019,年平均,410353,5586,5386,410549,21747,355,433,21673
30人以上,E 製造業,令和２,2020,年平均,388679,5043,4481,389210,38055,1266,1180,38171
30人以上,E 製造業,令和２,2020,1月,386002,4002,3558,386416,32560,3260,534,35316
30人以上,E 製造業,令和２,2020,2月,377844,1454,3044,376233,38589,714,3431,35893
30人以上,E 製造業,令和２,2020,3月,377124,4270,2856,378536,42801,535,1046,42292
30人以上,E 製造業,令和２,2020,4月,385880,28405,10887,403400,37098,766,971,36891
30人以上,E 製造業,令和２,2020,5月,405009,2126,6815,400286,35652,540,1058,35168
30人以上,E 製造業,令和２,2020,6月,392398,2569,5835,389130,38116,1710,829,38999
30人以上,E 製造業,令和２,2020,7月,395932,3757,4815,394816,32198,1012,494,32774
30人以上,E 製造業,令和２,2020,8月,391826,2150,2833,390951,35289,1218,468,36231
30人以上,E 製造業,令和２,2020,9月,390904,2071,3131,389804,36074,729,664,36179
30人以上,E 製造業,令和２,2020,10月,387666,5067,5393,387328,43993,2641,1292,45354
30人以上,E 製造業,令和２,2020,11月,388899,1860,2757,388003,41519,690,1059,41149
30人以上,E 製造業,令和２,2020,12月,384664,2779,1850,385607,42774,1371,2316,41815
30人以上,F 電気・ガス・熱供給・水道業,平成27,2015,年平均,16772,232,251,16757,227,2,2,225
30人以上,F 電気・ガス・熱供給・水道業,平成28,2016,年平均,13500,140,149,13491,229,26,2,253
30人以上,F 電気・ガス・熱供給・水道業,平成29,2017,年平均,15115,221,106,15229,363,11,3,370
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,年平均,28644,339,428,28554,638,31,38,631
30人以上,F 電気・ガス・熱供給・水道業,平成31・令和元,2019,年平均,25120,453,764,24808,656,8,15,648
30人以上,F 電気・ガス・熱供給・水道業,令和２,2020,年平均,24399,355,309,24446,526,14,16,524
30人以上,F 電気・ガス・熱供給・水道業,令和２,2020,1月,23984,87,162,23911,535,14,10,537
30人以上,F 電気・ガス・熱供給・水道業,令和２,2020,2月,23909,57,50,23918,539,4,0,541
30人以上,F 電気・ガス・熱供給・水道業,令和２,2020,3月,23874,50,108,23817,585,0,8,576
30人以上,F 電気・ガス・熱供給・水道業,令和２,2020,4月,23806,2651,1714,24745,587,57,35,607
30人以上,F 電気・ガス・熱供給・水道業,令和２,2020,5月,24744,46,121,24670,608,2,4,605
